,Concept_ID,ja,ady
82,Schnee::N,雪,осы́
83,Eis::N,氷,мылы
84,Frost::N,霜,
85,Kälte::N,寒さ,чъыӏэ́
86,Hitze::N,暑さ,фэба́е
87,Raureif::N,霧氷,
88,Regenbogen::N,虹, лэгъупэкъо́пс
89,Donner::N,雷,шыблэ́
90,Strömung::N,流れ,ток
91,Tropfen::N,滴,ткӏопс
92,Tropfen::N,滴,гъуаткӏу
93,Schaum::N,泡,тхъурбэ
94,Schmutz::N,汚れ,псынжъы
95,See::N,湖,хыку́м
96,See::N,湖,псыхъура́й
97,Sumpf::N,沼,орыжъ
98,Moor::N,湿原,орыжъ
99,Wiese::N,草原,хъупӏэ́
100,Wiese::N,草原,мэкъупӏ
101,Wald::N,森,мэзы́
102,Hügel::N,丘,ӏуашъхь
103,Anhöhe::N,高み,чӏыӏэтыгъ
104,Berg::N,山,къушъхьэ́
105,Gipfel::N,頂上,шыгу
106,Höhle::N,洞窟,гъочӏэгъ
107,Abhang::N,斜面,чапэ
108,Quelle::N,泉,псынэчэ́чъ
109,Bach::N,小川,псышкуашку
110,Fluss::N,川,псыхъо́
111,Ufer::N,岸,нэпкъы
112,Küste::N,海岸,ӏушъо
113,Festland::N,陸,чӏл́ыгу
114,Meer::N,海,хы
115,Bucht::N,湾,хыблыгу
116,Insel::N,島,хыгъэхъу́н
117,Blume::N,花,къэгъа́гь
118,Gras::N,草,уцы́
119,Wurzel::N,根,лъапсэ́
120,Baum::N,木,чъыгы́
121,Stamm::N,幹,пкъы
122,Rinde::N,皮層,пхъашъо́
123,Ast::N,枝,куамэ
124,Zweig::N,小枝,къутамэ́
125,Blatt::N,葉,тхьап
126,Birke::N,樺,пчэн
127,Kiefer[Baum]::N,松,сэснэй
128,Weide[Baum]::N,柳,пце́л
129,Tanne::N,樅,ель
130,Horn::N,角,бжъэ
131,Feder::N,羽根,къамӏы́й
132,Fell::N,毛皮,шъо
133,Flügel::N,羽,тамэ́
134,Klaue::N,鉤爪,лъэбжъа́н
135,Kralle::N,爪,лъакъо
136,Schwanz::N,尻尾,кӏэ
137,Ei::N,卵,кӏэнкӏэ́
138,Nest::N,巣,набгъо́
139,Bau::N,穴,гъу
140,Bau::N,穴,бы
141,Tier::N,動物,псэу́шъхь
142,Herde::N,群れ,ӏэхъогъу
143,Kuh::N,牛,чэмы́
144,Bulle::N,雄牛,цу
145,Pferd::N,馬,шы
146,Schaf::N,羊,мэлы́
147,Schwein::N,豚,къо
148,Hund::N,犬,бьэ
149,Katze::N,猫,чэты́у
150,Bär::N,熊,мышъэ́
151,Eichhörnchen::N,栗鼠,цызэ́
152,Elch::N,ヘラジカ,лось
153,Fuchs::N,狐,баджэ́
154,Hase::N,兎,тхьакӏумкӏы́хь
155,Maus::N,鼠,цыгъо́
156,Wolf::N,狼,тыгъу́жъ
157,Vogel::N,鳥,бзы́у
158,Schwarm::N,群れ,отэр
159,Huhn::N,鶏,чэты́
160,Hahn::N,雄鶏,атакъэ́
161,Gans::N,ガチョウ,къа́з
162,Adler::N,鷲,
163,Ente::N,鴨,псычэ́т
164,Eule::N,フクロウ,тыгъурыгъу
165,Kranich::N,鶴,къэрэ́у
166,Krähe::N,烏,къолэ́жъ
167,Kuckuck::N,郭公,куку́у
168,Schwan::N,白鳥,
169,Fisch::N,魚,пцэжъы́й
170,Barsch::N,鱸,тхыкъэц
171,Hecht::N,川魳,лэнд
172,Schlange[Tier]::N,蛇,блэ́
173,Wurm::N,虫,хьамлыу
174,Spinne::N,蜘蛛,бэдж
175,Ameise::N,蟻,къамзэ́гу
176,Laus::N,虱,цӏэ
177,Mücke::N,蚊,аргъо́й
178,Fliege::N,蝿,бадзэ́
179,Schmetterling::N,蝶,хьампӏыра́шъу
180,Beere::N,漿果,маткӏо
181,Apfel::N,林檎,мыӏэры́с
182,Pilz::N,茸,хьаӏу
183,Zwiebel::N,玉葱,бжьыны́
184,Saat::N,種,чылапхъ
185,Korn::N,粒,цэ
186,Heu::N,干し草,мэкъу
187,Schale::N,皮,кӏы́шъу
188,Grube::N,穴,машэ́
189,Falle::N,わな,зэраубытырэ́ ӏэмэпсы́м
190,Schlinge::N,輪,бзыуубыт
191,Spur::N,跡,ужы
192,Spur::N,跡,лъэуж
193,Asche::N,灰,яжьэ́
194,Dreck::N,泥,псынжъы
195,Eisen::N,鉄,гыучӏы́
196,Eisen::N,鉄,къэнджа́л
197,Gold::N,金,дышъэ́
198,Silber::N,銀,тыжьы́н
199,Kohle::N,炭,шӏомыкӏ
200,Glas::N,ガラス,апч
201,Lehm::N,ローム,етӏагъо́
202,Sand::N,砂,пшахъо
203,Mensch::N,人,цӏыфы́
204,Mann::N,男,хъулъфы́гъ
205,Mann::N,男性,хъулъфы́гъ
206,Frau::N,女,бӏылъфыгъэ́
207,Frau::N,女性,бӏылъфыгъэ́
208,Kind::N,子,кӏэлэцӏы́кӏу
209,Kind::N,子供,кӏэлэцӏы́кӏу
210,Junge::N,男の子,кӏэлэцӏы́кӏу
211,Mädchen::N,女の子,пшъэшъэжъый
212,Familie::N,家族,быны́
213,Familie::N,家族,уна́гъу
214,Großvater::N,祖父,тэтэ́жъ
215,Großvater::N,おじいさん,тэтэ́жъ
216,Großmutter::N,祖母,нэнэ́жъ
217,Großmutter::N,おばあさん,нэнэ́жъ
218,Eltern::N,親,ны-тыхэ́р
219,Eltern::N,両親,ны-тыхэ́р
220,Vater::N,父,ты
221,Vater::N,お父さん,ты
222,Mutter::N,母,ны
223,Mutter::N,お母さん,ны
224,Sohn::N,息子,къо
225,Sohn::N,息子さん,къо
226,Tochter::N,娘,пхъу
227,Tochter::N,お嬢さん,пхъу
228,Bruder::N,弟,шы
229,Schwester::N,妹,шы́пхъу
230,Onkel::N,伯父,янэ́ш
231,Onkel::N,伯父さん,янэ́ш
232,Tante::N,叔母,атэшыпхъу
233,Tante::N,叔母さん,атэшыпхъу
234,Ehemann::N,夫,лӏы
235,Ehemann::N,主人,лӏы
236,Ehefrau::N,妻,шъу́з
237,Ehefrau::N,奥さん,шъу́з
238,Freude::N,喜び,гушӏуа́гъу
239,Gelächter::N,笑い,щхыныр
240,Glück::N,幸せ,насы́п
241,Kummer::N,悩み,тхьамыкӏагъу
242,Wunsch::N,希望,шӏонгъоны́гъ
243,Lust::N,気,шӏонгъоны́гъ
244,Geist::N,精神,гу
245,Gedanke::N,考え,гупшыс
246,Gedächtnis::N,記憶,память
247,Verstand::N,理解力,акъы́л
248,Sinn::N,意味,мэхьанэ
249,Grund::N,理由,ушъхьагъу
250,Wahrheit::N,真実,шъыпкъэ́
251,Gespräch::N,会話,гущыӏ
252,Märchen::N,童話,пшысэ
253,Erzählung::N,物語,къэба́р
254,Nachricht::N,報告,къэба́р
255,Neuigkeit::N,ニュース,къэбарыкӏ
256,Name::N,名前,цӏэ
257,Rätsel::N,謎,коджэхь-къоджэшх
258,Rede::N,演説,гущыӏ
259,Sprache::N,言語,бзэ
260,Stimme::N,声,макъэ́
261,Wort::N,言葉,гущыӏ
262,Zeichen::N,記号,тамы́гъ
263,Ruf::N,呼び声,джэ макъ
264,Lärm::N,騒音,макъэ
265,Laut::N,音,макъэ
266,Ton::N,音,
267,Lied::N,歌,орэ́д
268,Ruhe::N,静けさ,самбырыныгъ
269,Leute::N,人々,цӏыфхэ́р
270,Volk::N,民族,цӏыф лъэпкъ
271,Arbeit::N,仕事,ӏофшӏакӏэ́н
272,Gast::N,客,хьакӏэ́
273,Geschenk::N,贈り物,шӏухьафтын
274,Spiel::N,遊び,еоны́р
275,Spiel::N,遊び,джэгуны́р
276,Spiel::N,遊び,къегъэӏоны́р
277,Gesellschaft::N,社会,обществ
278,Hilfe::N,援助,ӏэпыӏэгъу
279,Freund::N,友達,ныбджэгъу
280,Kamerad::N,同志,ныбджэгъу
281,Angelegenheit::N,件,ӏофы́
282,Anzahl::N,数,пчъагъэ́
283,Art::N,種類,изэрэщы́т
284,Art::N,種類,лъэпкъ
285,Stück::N,部分,такъы́р
286,Teil::N,部分,щыщ
287,Teil::N,部分,ӏахь
288,Hälfte::N,半分,ныкъо́
289,Kreis::N,円,хъура́й
290,Kreuz::N,十字,къащ
291,Linie::N,線,хъахъ
292,Linie::N,線,итхъа́гъ
293,Strich::N,線,хъахъ
294,Strich::N,線,итхъагъ
295,Abstand::N,距離,азыфагу
296,Entfernung::N,距離,чӏыгууанэ
297,Gegend::N,辺,чӏыпӏэ́
298,Gegend::N,地域,чӏыпӏэ́
299,Platz::N,ゆとり,азыфагу
300,Ort::N,所,чӏыпӏэ́
301,Ort::N,場所,чӏыпӏэ́
302,Seite::N,横,лъэны́къу
303,Mitte::N,真ん中,гузэ́гу
304,Gegenstand::N,物件,пкъыгъо
305,Sache::N,物,
306,Rand::N,端,цакӏэ́
307,Kante::N,縁,цэгэналъ
308,Ecke::N,角,къогъу
309,Spitze::N,先頭,пакӏэ
310,Ende::N,端,кӏэ
311,Loch::N,穴,гъуа́н
312,Winkel::N,片隅,къогъу
313,Muster::N,模様,тхыпхъэ
314,Größe::N,大きさ,иина́гъ
315,Länge::N,長さ,икӏыхьа́гъ
316,Höhe::N,高さ,лъэгагъ
317,Gewicht::N,重さ,онтэгъугъэ́
318,Menge::N,量,пчъагъэ́
319,Haufen::N,堆積,ӏат
320,Reihe::N,並び,саты́р
321,Boot::N,ボート,къуашъо́
322,Ruder::N,オール,къошъобэ́щ
323,Schlitten::N,そり,
324,Ski::N,スキー,лыжэхэр
325,Lagerfeuer::N,篝火,пхъэмашӏу
326,Last::N,荷物,
327,Gang::N,歩み,кӏоныр
328,Schritt::N,歩,лъэубэ́къу
329,Norden::N,北,темы́р
330,Süden::N,南,къыблэ́
331,Westen::N,西,тыгъэкъохьа́пӏ
332,Osten::N,東,тыгьэкъокӏы́пӏ
333,Holz::N,木,чъыгы́
334,Holz::N,木材,чъыгы́
335,Brett::N,板,пхъэ́мбгъу
336,Platte::N,盤,упсыхьагъ
337,Stütze::N,支柱,кӏэгъэкъон
338,Stange::N,棒,къорэ́гъ
339,Stock::N,杖,бэщ
340,Stab::N,棒,бэщ кӏы́хь
341,Rohr::N,管,онджэкъ
342,Haus::N,家,унэ́
343,Heim::N,家,унэ́
344,Ofen::N,ストーブ,гъэжъэн
345,Fußboden::N,床,джэхашъу
346,Tisch::N,机,стол
347,Stuhl::N,椅子,пхъэнтӏэ́кӏу
348,Wiege::N,揺籃,кушъэ́
349,Bett::N,ベッド,пӏэкӏо́р
350,Regal::N,棚,мэкӏай
351,Kiste::N,箱,ящык
352,Fenster::N,窓,шъхьаныгъу́пчъ
353,Tür::N,戸,пчъэ
354,Tür::N,ドア,пчъэ
355,Tor::N,門,къэла́пчъ
356,Zaun::N,垣根,шӏыхьагъэ́
357,Dach::N,屋根,шъхьэ́
358,Leiter::N,梯子,лъэо́й
359,Leiter::N,梯子,дэкӏояпӏэ́
360,Besen::N,ほうき,пхъэнкӏы́пхъ
361,Spaten::N,スコップ,къазгъы́р
362,Schaufel::N,シャベル,хэӏалъ
363,Gabel::N,フォーク,цацэ
364,Löffel::N,スプーン,джэмы́шх
365,Messer::N,ナイフ,шъэжъы́й
366,Nagel::N,釘,гъучӏыӏу́н
367,Netz::N,網,хъытыу
368,Haken::N,鉤,хьажтӏаркъу
369,Haken::N,フック,хьажтӏаркъу
370,Griff::N,取っ手,къопс
371,Schloss::N,錠,ӏункӏы́бз
372,Bild::N,絵,сурэ́т
373,Figur::N,像,
374,Puppe::N,人形,нысхъа́п
375,Beutel::N,袋,дзыо́
376,Bündel::N,束,
377,Bündel::N,包み,
378,Tasche::N,かばん,ӏэлъмэ́къ
379,Eimer::N,バケツ,щалъ
380,Deckel::N,蓋,шъхьэ
381,Geschirr::N,食器,хьакъу-шыкъу
382,Sack::N,袋,дзыо́
383,Tasse::N,カップ,чашк
384,Topf::N,鍋,кастрюль
385,Kessel::N,釜,шыуа́н
386,Essen::N,食事,шхэн
387,Nahrung::N,食物,шхэн
388,Speise::N,料理,шхыныгъу
389,Fleisch::N,肉,лы
390,Getreide::N,麦,лэжьыгъацэ́
391,Getreide::N,穀物,лэжьыгъацэ́
392,Brei::N,粥,пӏастэ́
393,Brot::N,パン,хьалыгъу
394,Scheibe::N,枚,такъы́р
395,Scheibe::N,切れ,такъы́р
396,Fett::N,脂肪,дагъэ́
397,Butter::N,バター,тхъу
398,Öl::N,油,тхъу
399,Salz::N,塩,щыгъу
400,Suppe::N,スープ,хьантхъупс
401,Honig::N,蜂蜜,шъоу́
402,Milch::N,牛乳,щэ
403,Tee::N,茶,щай
404,Tee::N,お茶,щай
405,Leder::N,革,кӏы́шъу
406,Wolle::N,毛糸,цы
407,Stoff::N,布,шэкӏы
408,Nadel::N,針,бгъэ́хаӏу
409,Faden::N,糸,ӏуда́н
410,Knopf::N,ボタン,занкӏэу
411,Knoten::N,結び目,зэкъодзапӏэ
412,Farbe::N,ペンキ,краск
413,Kleidung::N,衣服,щыгъы́ны
414,Hemd::N,シャツ,джан
415,Kragen::N,襟,пшъапӏ
416,Ärmel::N,袖,гъуап
417,Hose::N,ズボン,гъончэ́дж
418,Gürtel::N,帯,бгыры́пх
419,Gürtel::N,ベルト,бгыры́пх
420,Mütze::N,帽子,паӏо́
421,Schuh::N,靴,
422,Stiefel::N,ブーツ,щазым
423,Ring::N,輪,ӏэлъы́н
424,Band::N,リボン,лент
425,Kamm::N,櫛,мажь
426,Spiegel::N,鏡,гъундж
427,Riemen::N,緒,бгыры́пх
428,Schnur::N,紐,кӏапсэ́
429,Leine::N,綱,шъокӏапс
430,Decke::N,掛け布団,чыхӏэн
431,Kissen::N,枕,шъхьант
432,Tuch::N,スカーフ,шъхьэтехъу
433,Handtuch::N,タオル,ӏаплъэкӏ
434,Kraft::N,力,къары́у
435,Kraft::N,力,кӏуачӏэ́
436,Stärke::N,強さ,кӏуачӏэ́
437,Gesundheit::N,健康,псауныгъ
438,Krankheit::N,病気,узы
439,Schmerz::N,痛み,узы
440,Wunde::N,傷,уӏагъэ́
441,Fieber::N,熱,техьа́гъу
442,Fieber::N,熱,жъоку
443,Arznei::N,薬,ӏэзэ́гъу
444,Brücke::N,橋,лъэмы́д ж
445,Brunnen::N,井戸,псынэ́
446,Weide::N,牧場,хъупӏэ́
447,Pfad::N,小路,лъагъу
448,Weg::N,道,гъо́гу
449,Straße::N,街道,гъо́гу
450,Dorf::N,村,къуа́дж
451,Stadt::N,町,къалэ́
452,Stadt::N,都市,къалэ́
453,Brief::N,手紙,тхэн
454,Brief::N,手紙,письмэ
455,Buch::N,本,тхы́лъ
456,Buchstabe::N,文字,хьары́ф
457,Zeitung::N,新聞,газет
458,Leben::N,生活,гъашӏэ́
459,Tod::N,死,аджал
460,Grab::N,墓,бэны́
461,Kirche::N,教会,чылы́с
462,Sünde::N,罪,гунахь
463,Gott::N,神,тхьэ
464,Arbeiter::N,労働者,рабоч
465,Chef::N,上司,гъэр
466,Meister::N,達人,ӏэпыӏа́с
467,Meister::N,マイスター,ӏэпыӏа́с
468,Arzt::N,医者,
469,Lehrer::N,先生,кӏэлэегъа́дж
470,Geld::N,金,ахъщ
471,Geschäft::N,取り引き,ӏофшӏэн
472,Laden::N,店,туча́н
473,Preis::N,値段,уасэ́
474,Ware::N,商品,хьап-щып
475,Nutzen::N,利益,чар
476,Nutzen::N,利益,федэ́
477,Reichtum::N,豊かさ,байныгъ
478,Welt::N,世界,дуна́й
479,Land::N,国,хэгъэ́́гу
480,Staat::N,国家,къэралыгъу
481,König::N,国王,пачъы́хь
482,Macht::N,権力,шынэгъакзэ́
483,Grenze::N,国境,гъуна́пкъ
484,Krieg::N,戦争,зао́
485,Feind::N,敵,пы́и
486,Gewalt::N,暴力,егъэзыгъэныгъ
487,Kampf::N,戦い,бэнэныгъ
488,Bogen[Waffe]::N,弓,щабз
489,Pfeil::N,矢,щэбза́щ
490,Gewehr::N,銃,шхонч
491,Fehler::N,間違い,хэукъоныгъ
492,Lüge::N,嘘,пцӏы
493,Schaden::N,損害,зэра́р
494,Unglück::N,不幸,тхьамыкӏагъу
495,Schuld::N,罪,мысагъэ́
496,Alter::N,年,ныбжь
497,Alter::N,年齢,ныбжь
498,Schluss::N,終わり,кӏэ
499,Zeit::N,時,уахътэ́
500,Zeit::N,時間,уахътэ́
501,Tag::N,日,мафэ́
502,Morgen::N,朝,пчэды́жь
503,Mittag::N,昼,щэджагьу́
504,Abend::N,晩,пчыхьэ́
505,Abend::N,夕方,пчыхьэ́
506,Nacht::N,夜,чэщы́
507,Woche::N,週,тхьамафэ́
508,Monat::N,月,мазэ́
509,Jahr::N,年,илъэ́с
510,Frühling::N,春,гъатхэ́
511,Sommer::N,夏,гъэмафэ́
512,Herbst::N,秋,бжыхьэ́
513,Winter::N,冬,кӏыма́ф
514,Januar::N,一月,январь
515,Februar::N,二月,февраль
516,März::N,三月,март
517,April::N,四月,апрель
518,Mai::N,五月,май
519,Juni::N,六月,июнь
520,Juli::N,七月,июль
521,August::N,八月,август
522,September::N,九月,сентябрь
523,Oktober::N,十月,октябрь
524,November::N,十一月,ноябрь
525,Dezember::N,十二月,декабрь
526,Montag::N,月曜日,блыпэ́
527,Dienstag::N,火曜日,гъубдж
528,Mittwoch::N,水曜日,бэрэскэжъый
529,Donnerstag::N,木曜日,мэфэ́ку
530,Freitag::N,金曜日,бэрэскэшху
531,Samstag::N,土曜日,шэмбэ́т
532,Sonntag::N,日曜日,тхьаума́ф
533,groß::A,大きい,ины́
534,klein::A,小さい,цӏы́кӏу
535,lang::A,長い,кӏыхьэ́
536,kurz::A,短い,кӏэкӏы́
537,breit::A,広い,шъуамбгъо́
538,schmal::A,狭い,бгъузэ́
539,dicht::A,密な,ӏужъу́
540,dick[Gegenstand]::A,厚い,ӏужъу́
541,dünn::A,薄い,пӏуакӏэ́
542,fein::A,細い,пӏуакӏэ́
543,fest::A,硬い,пытэ́
544,flach::A,平らな,тешъо́
545,glatt::A,滑らかな,зэны́бжь
546,hart::A,堅い,пытэ́
547,weich::A,柔らかい,шъабэ́
548,rund::A,丸い,хъура́й
549,spitz::A,尖った,папцӏэ́
550,scharf::A,鋭い,чан
551,stumpf::A,鈍い,цако́
552,schwer::A,重い,онтэ́гъу
553,schön::A,綺麗な,дахэ́
554,heiß::A,熱い,жъо́ркъ
555,warm::A,温かい,фабэ́у
556,kalt::A,寒い,чъыӏэ́
557,kalt::A,冷たい,чъыӏэ́
558,kühl::A,涼しい,чъыӏэтагъ
559,frisch::A,ひんやりした,чъыӏэтагъ
560,feucht::A,湿った,шынагъэ зиӏэ
561,feucht::A,湿った,шынэгъакӏэ зиӏэ
562,nass::A,濡れた,цӏынэ́
563,trocken::A,乾いた,гъушъ
564,trocken::A,乾いた,чъэпхъыгъ
565,voll::A,いっぱいの,из
566,voll::A,いっぱいの,изыбз
567,leer::A,空の,нэкӏы́
568,offen::A,開いた,зэдэхыгъэ
569,geschlossen::A,閉まった,зэфэшӏыгъ
570,sauber::A,清潔な,къабзэ́
571,schmutzig::A,汚い,шӏо́и
572,roh::A,生の,мыжъо́
573,reif::A,熟した,чъэпхъыгъ
574,lecker::A,美味しい,го́хьы
575,süß::A,甘い,ӏэшӏу
576,bitter::A,苦い,дыджы́
577,sauer::A,酸っぱい,хафэ́
578,hell::A,明るい,нэфын
579,dunkel::A,暗い,мэзэхэ
580,schwarz::A,黒い,шӏуцӏэ
581,weiß::A,白い,фыжьы́
582,rot::A,赤い,плъыжьы́
583,gelb::A,黄色い,гъожьы́
584,blau::A,青い,шхъуантӏэ
585,grün::A,緑の,шхъуантӏэ
586,grau::A,灰色の,шхъо
587,bunt::A,色取り取りの,къолэны
588,billig::A,安い,пыут
589,teuer::A,高い,сикӏа́с
590,teuer::A,高い,силъа́пӏ
591,wertvoll::A,貴重な,пкӏэ зиӏ
592,wertvoll::A,貴重な,уасэ́ зыфа́шӏ
593,blind::A,盲目の,нэшъу́
594,taub::A,耳が聞こえない,дэгу
595,kräftig::A,強力な,лъэ́ш
596,stark::A,強い,лъэ́ш
597,schwach::A,弱い,хъыбэй
598,fett::A,太った,пщэры́
599,schlank::A,ほっそりした,ищыгъэ
600,hübsch::A,素敵な,дахэ́
601,böse::A,悪い,ябгэ
602,dumm::A,馬鹿な,делэ
603,faul::A,怠惰な,шъхьахы́нэ
604,fleißig::A,勤勉な,егугъурэ
605,geizig::A,けちな,тхьацэ
606,klug::A,賢い,акъылышӏу́
607,klug::A,頭のいい,акъылышӏу́
608,geschickt::A,器用な,ӏэпэӏэсэ́
609,geschickt::A,器用な,шо́у шӏыгъэ́
610,lieb::A,愛らしい,псэм фэд
611,lustig::A,楽しい,чэф
612,sanft::A,温和な,ӏушъа́б
613,hungrig::A,空腹の,гъаблэ́
614,krank::A,病気の,сыма́дж
615,nackt::A,裸の,пцӏанэ́
616,traurig::A,悲しい,нэшхъэй
617,lebendig::A,生きた,
618,gut::A,良い,дэгъу́
619,schlecht::A,悪い,дэи
620,schlecht::A,駄目な,дэи
621,richtig::A,正しい,тэрэз
622,schlimm::A,ひどい,щынэгъо
623,wahr::A,本当の,шъыпкъэ́
624,alt::A,古い,жъы
625,neu::A,新しい,кӏэ
626,ehemalig::A,以前の,-щтыгъэ
627,ehemalig::A,以前の,-гъэ
628,alt[Lebewesen]::A,年を取った,жъы
629,jung::A,若い,ныбжьыкӏэ́
630,arm::A,貧乏な,тхьамы́кӏ
631,reich::A,裕福な,бай
632,bekannt::A,有名な,нэӏуа́с
633,berühmt::A,有名な,цӏэры́ӏу
634,fremd::A,見知らぬ,хымэ
635,verschieden::A,色々な,зэфэшъхьафы
636,nah::A,近い,благъэ́
637,fern::A,遠い,чыжьэ
638,linker::A,左の,сэмэ́гу
639,rechter::A,右の,джабгъу
640,anderer::A,別の,нэмы́кӏ
641,erster::A,一番目,апэр
642,zweiter::A,二番目,я́тӏонэр
643,dritter::A,三番目,ящэнэр
644,letzter::A,最後の,аужыр
645,allein::ADV,一人で,зы
646,auf einmal::ADV,同時に,ардэдэм
647,auf einmal::ADV,同時に,асыхьатым
648,zusammen::ADV,一緒に,зэгъусэхэ́у
649,lange::ADV,長い間,бэрэ́
650,plötzlich::ADV,急に,зэкӏэм
651,sofort::ADV,すぐに,ардэдэм
652,sofort::ADV,すぐに,асыхьатым
653,später::ADV,後で,нэужым
654,jetzt::ADV,今,джы
655,heute::ADV,今日,непэ́
656,morgen::ADV,明日,неу́щы
657,bald::ADV,間もなく,псынкӏэу
658,dann::ADV,それから,нэужым
659,gestern::ADV,昨日,тыгъуа́с
660,einst::ADV,過去に,зэгорэ́м
661,damals::ADV,あの時,армэ
662,damals::ADV,あの時,ащыгъум
663,danach::ADV,その後で,нэужым
664,vorher::ADV,以前に,нахьыпэм
665,zuerst::ADV,まず,
666,zuerst::ADV,最初に,
667,einmal::ADV,一回,зэ
668,manchmal::ADV,時々,
669,oft::ADV,よく,бэрэ
670,immer::ADV,いつも,ренэ́у
671,niemals::ADV,一度も...ない,
672,hier::ADV,こちら,
673,hierhin::ADV,ここへ,
674,hierhin::ADV,こちらへ,
675,von hier::ADV,ここから,
676,dort::ADV,そちら,модэ
677,dorthin::ADV,そこへ,модэ́
678,dorthin::ADV,そちらへ,модэ́
679,geradeaus::ADV,真っ直ぐに,занкӏэу
680,vorwärts::ADV,前へ,ыпэкӏэ
681,rückwärts::ADV,後ろへ,ыужыкӏэ́
682,zurück::ADV,後ろへ,ыужыкӏэ́
683,unten::ADV,下に,ычӏэкӏэ́
684,hinab::ADV,下へ,ычӏэгъы́
685,hinab::ADV,下へ,ычӏэкӏэ́
686,oben::ADV,上に,ышъхьагъы
687,hinauf::ADV,上へ,ышъхьагъыкӏэ
688,überall::ADV,どこでも,тыди́
689,überall::ADV,どこでも,тыдэкӏи́
690,nicht::ADV,ない,-п
691,nicht::ADV,ない,мы-
692,ein wenig::ADV,少し,тӏэкӏу
693,ein wenig::ADV,ちょっと,тӏэкӏу
694,kaum::ADV,ほとんど～ない,къоды́й
695,sehr::ADV,とても,дэд
696,so::ADV,こう,ащ фэд
697,so::ADV,こう,мыщ фэд
698,so::ADV,こう,джащ фэд
699,noch::ADV,まだ,джыри
700,nur::ADV,～だけ,ныӏэ́п
701,schon::ADV,もう,
702,wieder::ADV,再び,джыри
703,vergebens::ADV,無駄に,пкӏэнчъэ́у
704,vor::PRP,前に,пашъхьэ́
705,hinter::PRP,後ろに,кӏы́б
706,unter::PRP,下に,чӏэ-
707,durch::PRP,通して,пхыры-
708,neben::PRP,横に,дэжь
709,zwischen::PRP,間に,азыфа́гу
710,wegen::PRP,為に,къы-
711,wegen::PRP,せいで,къы-
712,dies::PRN,これ,ар
