,Concept_ID,ca,hy
244,Tochter::N,filla,դուստր
245,Bruder::N,germà,եղբայր
246,Schwester::N,germana,քույր
247,Onkel::N,oncle,քեռի
248,Onkel::N,oncle,հորեղբայր
249,Tante::N,tia,մորաքույր
250,Ehemann::N,espòs,մարդ
251,Ehemann::N,espòs,ամուսին
252,Ehefrau::N,muller,կին ամուսին
253,Freude::N,goig,ուրախություն
254,Freude::N,alegria,ուրախություն
255,Gelächter::N,riallada,ծիծաղ
256,Glück::N,felicitat,երջանկություն
257,Kummer::N,pena,վիշտ
258,Wunsch::N,desig,ցանկություն
259,Lust::N,ganes,փափագ
260,Lust::N,ganes,իղձ
261,Geist::N,ment,ոգի
262,Geist::N,esperit,ոգի
263,Gedanke::N,pensament,միտք
264,Gedächtnis::N,memòria,հիշողություն
265,Verstand::N,raó,խելք
266,Verstand::N,seny,խելք
267,Sinn::N,solta,իմաստ
268,Sinn::N,sentit,իմաստ
269,Grund::N,raó,պատճառ
270,Grund::N,causa,պատճառ
271,Wahrheit::N,veritāt,ճշմարտություն
272,Gespräch::N,conversa,զրույց
273,Märchen::N,conte,պայիկի պատմություն
274,Erzählung::N,narració,պատմվածք
275,Erzählung::N,narració,պատմություն
276,Nachricht::N,missatge,հաղորդագրություն
277,Neuigkeit::N,novetat,լուր
278,Neuigkeit::N,novetat,նորություն
279,Name::N,nom,անուն
280,Rätsel::N,endevinalla,բարդ խնդիր
281,Rede::N,discurs,ճառ
282,Rede::N,discurs,ելույթ
283,Sprache::N,llēngua,լեզու
284,Stimme::N,veu,ձայն
285,Wort::N,mot,բառ
286,Wort::N,paraula,բառ
287,Zeichen::N,signe,նշան
288,Zeichen::N,senyal,նշան
289,Ruf::N,crida,կոչ
290,Ruf::N,crida,կանչ
291,Lärm::N,sorōll,աղմուկ
292,Laut::N,so,հնչյուն
293,Laut::N,so,ձայն
294,Ton::N,to,տոն
295,Lied::N,cançó,երգ
296,Ruhe::N,calma,անդորրություն
297,Ruhe::N,silenci,անդորրություն
298,Leute::N,gent,մարդիկ
299,Volk::N,poble,ազգ
300,Arbeit::N,labor,գործ
301,Arbeit::N,labor,աշխատանք
302,Arbeit::N,treball,գործ
303,Arbeit::N,treball,աշխատանք
304,Gast::N,hoste,հյուր
305,Geschenk::N,regal,նվեր
306,Geschenk::N,obsequi,նվեր
307,Spiel::N,joc,խաղ
308,Gesellschaft::N,companyia,ընկերություն
309,Hilfe::N,ajut,օգնությթուն
310,Freund::N,amīc,ընկեր
311,Freund::N,amīc,բարեկամ
312,Kamerad::N,company,ուղեկից
313,Kamerad::N,camarada,ուղեկից
314,Angelegenheit::N,afer,բան
315,Angelegenheit::N,afer,գործ
316,Angelegenheit::N,assumpte,բան
317,Angelegenheit::N,assumpte,գործ
318,Anzahl::N,nombre,քանակ
319,Anzahl::N,nombre,գումար
320,Anzahl::N,quantitat,քանակ
321,Anzahl::N,quantitat,գումար
322,Art::N,tipus,տեսակ
323,Art::N,classe,տեսակ
324,Stück::N,peça,կտոր
325,Teil::N,part,մաս
326,Hälfte::N,meitat,կես
327,Kreis::N,cercle,շիջանակ
328,Kreuz::N,creu,խաչ
329,Linie::N,línia,գիծ
330,Strich::N,traç,գիծ
331,Strich::N,ratlla,գիծ
332,Abstand::N,distància,անջրպետ
333,Entfernung::N,distància,հեռավորություն
334,Gegend::N,regió,շրջան
335,Gegend::N,contrada,շրջան
336,Platz::N,cabuda,տարածություն
337,Ort::N,lloc,տեղ
338,Ort::N,lloc,վայր
339,Seite::N,banda,կողմ
340,Seite::N,costāt,կողմ
341,Mitte::N,mig,մեջտեղ
342,Mitte::N,centre,մեջտեղ
343,Gegenstand::N,objecte,առարկա
344,Sache::N,cosa,բան
345,Rand::N,vora,վերջք
346,Rand::N,marge,վերջք
347,Kante::N,caire,եզր
348,Kante::N,cantell,եզր
349,Ecke::N,cantonada,անկյուն
350,Spitze::N,punta,ծայր
351,Ende::N,cap,ծայր
352,Loch::N,forāt,անցք
353,Winkel::N,racó,անկյուն
354,Muster::N,dibuix,օրինակ
355,Muster::N,disseny,օրինակ
356,Größe::N,grandària,մեծություն
357,Länge::N,longitud,երկարություն
358,Höhe::N,altura,բարձրություն
359,Höhe::N,altitud,բարձրություն
360,Gewicht::N,pes,կշիռ
361,Menge::N,quantitat,քանակ
362,Haufen::N,pila,դեզ
363,Haufen::N,pila,կույտ
364,Reihe::N,fila,շարք
365,Reihe::N,fila,կարգ
366,Boot::N,bot,նավակ
367,Boot::N,barca,նավակ
368,Ruder::N,rem,թի
369,Ruder::N,rem,թիակ
370,Schlitten::N,trineu,բալխիր
371,Ski::N,esquí,դահուկ
372,Lagerfeuer::N,foc de campament,բացօդեայ կրակ
373,Last::N,càrrega,բեռ
374,Gang::N,marxa,զբոսանք
375,Schritt::N,pas,քայլ
376,Norden::N,nord,հյուսիս
377,Süden::N,sud,հարավ
378,Westen::N,oest,արեւմուտք
379,Westen::N,occident,արեւմուտք
380,Osten::N,est,արեւելք
381,Osten::N,orient,արեւելք
382,Holz::N,fusta,փայտ
383,Brett::N,taula,տախտակ
384,Platte::N,placa,թիթեղ
385,Stütze::N,suport,նեցուկ
386,Stange::N,vara,ձող
387,Stock::N,pal,փայտ
388,Stab::N,bastó,ցուպ
389,Stab::N,bastó,գավազան
390,Rohr::N,tub,խողովակ
391,Haus::N,casa,տուն
392,Heim::N,llar,տուն
393,Ofen::N,estufa,վառարան
394,Fußboden::N,terra,հատակ
395,Tisch::N,taula,սեղան
396,Stuhl::N,cadira,աթոռ
397,Wiege::N,bressol,օրորոց
398,Bett::N,llit,անկողին
399,Regal::N,prestatgeria,դարակ
400,Kiste::N,caixa,տուփ
401,Fenster::N,finestra,պատուհան
402,Tür::N,porta,դուռ
403,Tor::N,portal,դարպաս
404,Zaun::N,tanca,ցանկապատ
405,Dach::N,teulada,տանիք
406,Dach::N,teulada,կտուր
407,Leiter::N,escala,սանդուղք
408,Leiter::N,escala de mà,սանդուղք
409,Besen::N,escombra,ավել
410,Spaten::N,pala,բահ
411,Schaufel::N,pala,թի
412,Gabel::N,forquilla,պատառաքաղ
413,Löffel::N,cullera,գդալ
414,Messer::N,coltell,դանակ
415,Nagel::N,clau,մեխ
416,Netz::N,filat,ցանց
417,Haken::N,ganxo,կարթ
418,Griff::N,puny,կոթ
419,Griff::N,puny,բռնակ
420,Griff::N,mànec,կոթ
421,Griff::N,mànec,բռնակ
422,Schloss::N,pany,կողպեք
423,Bild::N,imatge,նկար
424,Bild::N,imatge,պատկեր
425,Figur::N,figura,քանդակ
426,Figur::N,figura,պատկեր
427,Puppe::N,nina,տիկնիկ
428,Beutel::N,bossa,տոպրակ
429,Bündel::N,feix,կապոց
430,Bündel::N,paquet,կապոց
431,Tasche::N,bossa,պայուսակ
432,Eimer::N,galleda,դույլ
433,Deckel::N,tapa,կափարիչ
434,Deckel::N,tapadora,կափարիչ
435,Geschirr::N,vaixella,ամանեղեն
436,Sack::N,sac,պարկ
437,Sack::N,sac,տոպրակ
438,Sack::N,saca,պարկ
439,Sack::N,saca,տոպրակ
440,Tasse::N,tassa,թաս
441,Tasse::N,tassa,գավաթ
442,Topf::N,pot,անոթ
443,Topf::N,olla,անոթ
444,Kessel::N,caldera,կաթսա
445,Essen::N,àpat,կերակուր
446,Essen::N,menjada,կերակուր
447,Nahrung::N,aliment,ուտելիք
448,Speise::N,plat,խորտիկ
449,Speise::N,plat,կերակուր
450,Fleisch::N,carn,միս
451,Getreide::N,cereals,հացահատիկ
452,Brei::N,puré,լանդակ
453,Brot::N,pa,հաց
454,Scheibe::N,tall,կտոր
455,Scheibe::N,tall,պատառ
456,Scheibe::N,llesca,կտոր
457,Scheibe::N,llesca,պատառ
458,Fett::N,greix,ճարպ
459,Butter::N,mantega,կարագ
460,Öl::N,oli,ձեթ
461,Salz::N,sal,աղ
462,Suppe::N,sopa,սուպ
463,Suppe::N,sopa,ապուր
464,Honig::N,mel,մեղր
465,Milch::N,llet,կաթ
466,Tee::N,te,թեյ
467,Leder::N,cuir,կաշի
468,Wolle::N,llana,բուրդ
469,Stoff::N,tela,գործվածք
470,Nadel::N,agulla,ասեղ
471,Faden::N,fil,թել
472,Knopf::N,botó,կոճակ
473,Knoten::N,nus,հանգույց
474,Farbe::N,pintura,ներկ
475,Kleidung::N,roba,հագուստ
476,Kleidung::N,vestits,հագուստ
477,Hemd::N,camisa,վերնաշապիկ
478,Kragen::N,coll,օձիք
479,Ärmel::N,màniga,թեւք
480,Hose::N,pantalōns,շալվար
481,Gürtel::N,cinturó,գոտի
482,Mütze::N,gorra,կեպի
483,Schuh::N,sabata,կոշիկ
484,Stiefel::N,bota,երկարաճիթ կոշիկ
485,Ring::N,anell,զնգալ
486,Band::N,veta,ժապավեն
487,Band::N,cinta,ժապավեն
488,Kamm::N,pinta,սանր
489,Spiegel::N,mirāll,հայելի
490,Riemen::N,corretja,փոկ
491,Schnur::N,corda,լար
492,Leine::N,corretja,փոկ
493,Decke::N,manta,վերմակ
494,Decke::N,flassada,վերմակ
495,Kissen::N,coixí,բարձ
496,Tuch::N,mocador,թաշկինակ
497,Handtuch::N,tovallola,սրբիչ
498,Kraft::N,força,ուժ
499,Stärke::N,vigor,պնդություն
500,Stärke::N,vigor,ամրություն
501,Gesundheit::N,salut,առողջություն
502,Krankheit::N,malaltia,ախտ
503,Krankheit::N,malaltia,հիվանդություն
504,Schmerz::N,dolor,ցավ
505,Schmerz::N,dolor,տանջանք
506,Wunde::N,ferida,վերք
507,Fieber::N,febre,տենդ
508,Arznei::N,medicament,դեղ
509,Brücke::N,pont,կամուրջ
510,Brunnen::N,pou,հոր
511,Brunnen::N,pou,ջրհոր
512,Weide::N,pastura,արոտավայր
513,Pfad::N,senda,արահետ
514,Pfad::N,sender,արահետ
515,Weg::N,camí,ուղի
516,Straße::N,carretera,ճանապարհ
517,Dorf::N,poble,գյուղ
518,Stadt::N,ciutāt,քաղաք
519,Brief::N,carta,նամակ
520,Buch::N,llibre,գիրք
521,Buchstabe::N,lletra,տառ
522,Buchstabe::N,lletra,գիր
523,Zeitung::N,diāri,լրագիր
524,Leben::N,vida,կյանք
525,Tod::N,mort,մահ
526,Grab::N,tomba,գերեզման
527,Kirche::N,església,եկեղեցի
528,Sünde::N,pecat,մեղք
529,Gott::N,déu,աստված
530,Arbeiter::N,obrer,բանվոր
531,Arbeiter::N,obrer,աշխատող
532,Chef::N,cap,տեր
533,Meister::N,mestre,վարպետ
534,Arzt::N,metge,բժիշկ
535,Lehrer::N,mestre,ուսուցիչ
536,Geld::N,dinērs,փող
537,Geschäft::N,negoci,գործ
538,Geschäft::N,negoci,աշխատանք
539,Laden::N,tenda,կրպակ
540,Laden::N,tenda,խանութ
541,Laden::N,botiga,կրպակ
542,Laden::N,botiga,խանութ
543,Preis::N,preu,գին
544,Ware::N,mercaderia,ապրանք
545,Nutzen::N,profit,օգուտ
546,Reichtum::N,riquesa,հարստություն
547,Welt::N,món,աշխարհ
548,Land::N,país,երկիր
549,Staat::N,estat,պետություն
550,König::N,rei,արքա
551,König::N,rei,թագավոր
552,Macht::N,poder,իշխանություն
553,Macht::N,potència,իշխանություն
554,Grenze::N,frontera,սահման
555,Krieg::N,guerra,պատերազմ
556,Feind::N,enemic,թշնամի
557,Gewalt::N,violència,բռնություն
558,Gewalt::N,violència,սաստկություն
559,Kampf::N,lluita,մարտ
560,Bogen[Waffe]::N,arc,աղեղ
561,Pfeil::N,fletxa,նետ
562,Gewehr::N,fusell,հրացան
563,Gewehr::N,escopeta,հրացան
564,Fehler::N,falta,սխալ
565,Lüge::N,mentida,սուտ
566,Schaden::N,dany,վնաս
567,Unglück::N,desgràcia,դժբախտություն
568,Schuld::N,culpa,պակասություն
569,Alter::N,edat,հասակ
570,Schluss::N,fi,վերջ
571,Schluss::N,fi,վախճան
572,Schluss::N,final,վերջ
573,Schluss::N,final,վախճան
574,Zeit::N,temps,ժամանակ
575,Tag::N,dia,օր
576,Morgen::N,matí,առավոտ
577,Mittag::N,migdia,կեսօր
578,Abend::N,vespre,երեկո
579,Nacht::N,nit,գիշեր
580,Woche::N,setmana,շաբաթ
581,Monat::N,mes,ամիս
582,Jahr::N,any,տարի
583,Frühling::N,primavera,գարուն
584,Sommer::N,estīu,ամառ
585,Herbst::N,tardor,աշուն
586,Winter::N,hivērn,ձմեռ
587,Januar::N,gener,հունվար
588,Februar::N,febrer,փետրվար
589,März::N,març,մարտ
590,April::N,abril,ապրիլ
591,Mai::N,maig,մայիս
592,Juni::N,juny,հունիս
593,Juli::N,juliol,հուլիս
594,August::N,agost,օգոստոս
595,September::N,setembre,սեպտեմբեր
596,Oktober::N,octubre,հոկտեմբեր
597,November::N,novembre,նոյեմբեր
598,Dezember::N,desembre,դեկտեմբեր
599,Montag::N,dilluns,երկուշաբթի
600,Dienstag::N,dimarts,երեքշաբթի
601,Mittwoch::N,dimecres,չորեքշաբթի
602,Donnerstag::N,dijous,հինգշաբթի
603,Freitag::N,divendres,ուրբաթ
604,Samstag::N,dissabte,շաբաթ
605,Sonntag::N,diumenge,կիրակի
606,groß::A,gros,մեծ
607,groß::A,gros,խոշոր
608,klein::A,petīt,պստիկ
609,klein::A,petīt,փոքրիկ
610,lang::A,llarg,երկար
611,kurz::A,curt,կարճ
612,breit::A,ample,լայն
613,schmal::A,estret,նեղ
614,dicht::A,dens,խիտ
615,dick[Gegenstand]::A,gruixūt,հաստ
616,dünn::A,prim,բարակ
617,fein::A,fi,նուրբ
618,fest::A,ferm,ամուր
619,fest::A,ferm,պինդ
620,fest::A,sòlid,ամուր
621,fest::A,sòlid,պինդ
622,flach::A,pla,տափակ
623,glatt::A,llis,հարթ
624,hart::A,dur,կարծր
625,weich::A,tou,մեղմ
626,weich::A,tou,փափուկ
627,rund::A,rodó,կլոր
628,spitz::A,punxegut,սրածայր
629,scharf::A,agut,սուր
630,stumpf::A,rom,գուլ
631,stumpf::A,esmussat,գուլ
632,schwer::A,pesāt,ծանր
633,schön::A,bonīc,սիրուն
634,schön::A,bonīc,գեղեցիկ
635,heiß::A,calēnt,թեժ
636,warm::A,càlid,տաք
637,warm::A,càlid,ջերմ
638,kalt::A,fred,ցուրտ
639,kühl::A,fresc,զով
640,frisch::A,fresc,թարմ
641,feucht::A,humit,ղոնավ
642,nass::A,mullat,թաց
643,trocken::A,sec,ցամաք
644,voll::A,ple,լի
645,voll::A,ple,լիքը
646,leer::A,buit,դատարկ
647,offen::A,obert,բաց
648,geschlossen::A,tancat,գոց
649,sauber::A,net,մաքուր
650,schmutzig::A,brut,կեղտոտ
651,roh::A,cru,հում
652,reif::A,madur,հասած
653,reif::A,madur,հասուն
654,lecker::A,deliciós,համեղ
655,süß::A,dolç,անուշ
656,bitter::A,amarg,կծու
657,sauer::A,agre,թթու
658,sauer::A,agre,թթված
659,hell::A,clar,պայծառ
660,hell::A,clar,խելամիտ
661,dunkel::A,fosc,մութ
662,schwarz::A,negre,սեւ
663,weiß::A,blanc,սպիտակ
664,rot::A,vermēll,կարմիր
665,gelb::A,groc,դեղին
666,blau::A,blau,կապույտ
667,grün::A,verd,կանաչ
668,grau::A,gris,գորշ
669,bunt::A,multicolor,գոյնզգոյն
670,billig::A,barat,էժան
671,teuer::A,car,թանկ
672,wertvoll::A,preciós,թանկարժեք
673,blind::A,cec,կույր
674,taub::A,sord,խուլ
675,kräftig::A,fort,հզոր
676,kräftig::A,vigorós,հզոր
677,stark::A,fort,ուժեղ
678,schwach::A,feble,տկար
679,schwach::A,feble,թույլ
680,fett::A,gras,գեր
681,schlank::A,esvelt,նիհար
682,hübsch::A,maco,գրավիչ
683,hübsch::A,maco,սիրունիկ
684,böse::A,dolent,չար
685,dumm::A,ximple,հիմար
686,dumm::A,estúpid,հիմար
687,faul::A,gandūl,ծույլ
688,faul::A,mandrós,ծույլ
689,fleißig::A,diligēnt,ջանասեր
690,fleißig::A,diligēnt,փութաջան
691,geizig::A,avar,ագահ
692,geizig::A,avar,կծծի
693,klug::A,intel·ligent,խելոք
694,klug::A,intel·ligent,ընդունակ
695,geschickt::A,hàbil,ճարտար
696,lieb::A,amat,սիրելի
697,lieb::A,estimat,սիրելի
698,lustig::A,alegre,զվարթ
699,sanft::A,suau,հեզ
700,hungrig::A,afamat,քաղցած
701,krank::A,malālt,հիվանդ
702,nackt::A,nu,մերկ
703,traurig::A,trist,տխուր
704,lebendig::A,viu,կենդանի
705,gut::A,bo,լավ
706,schlecht::A,dolēnt,վատ
707,richtig::A,just,ձիշտ
708,richtig::A,correcte,ձիշտ
709,schlimm::A,greu,լղրճուկ
710,wahr::A,vertader,ճիշտ
711,wahr::A,vertader,իրական
712,wahr::A,veritable,ճիշտ
713,wahr::A,veritable,իրական
714,alt::A,vell,հին
715,neu::A,nou,նոր
716,ehemalig::A,antic,նախկին
717,alt[Lebewesen]::A,vell,ծեր
718,alt[Lebewesen]::A,vell,պառավ
719,jung::A,jove,մատաղ
720,arm::A,pobre,աղքատ
721,reich::A,ric,հարուստ
722,bekannt::A,conegut,ծանոթ
723,berühmt::A,famós,հայտնի
724,berühmt::A,famós,հռչակավոր
725,fremd::A,estrany,օտար
726,verschieden::A,diferent,տարբեր
727,nah::A,pròxim,մոտ
728,nah::A,pròxim,մերձ
729,fern::A,llunyà,հեռավոր
730,fern::A,distant,հեռավոր
731,linker::A,esquerre,ձախ
732,rechter::A,dret,աջ
733,anderer::A,altre,այլ
734,anderer::A,altre,ուրիշ
735,erster::A,primer,առաջին
736,zweiter::A,segon,երկրորդ
737,dritter::A,tercer,երրորդ
738,letzter::A,últim,վերջին
739,allein::ADV,sol,միայնակ
740,auf einmal::ADV,d'una vegada,միասնաբար
741,zusammen::ADV,junt,միասին
742,zusammen::ADV,junt,իրար հետ
743,lange::ADV,molt de temps,երկար ժամանակ
744,plötzlich::ADV,de cop,հանկարծ
745,plötzlich::ADV,de sobte,հանկարծ
746,sofort::ADV,de seguida,իսկույն
747,später::ADV,més tard,ավելի ուշ
748,später::ADV,més tard,հետո
749,jetzt::ADV,ara,այժմ
750,heute::ADV,avūi,այսօր
751,morgen::ADV,demà,վաղը
752,bald::ADV,aviāt,շուտով
753,dann::ADV,després,ապա
754,dann::ADV,després,հետո
755,gestern::ADV,ahir,երեկ
756,einst::ADV,anteriorment,հին ատեն
757,damals::ADV,llavōrs,ատէնին
758,damals::ADV,aleshores,ատէնին
759,danach::ADV,després,ապա
760,danach::ADV,després,այն ժամանակ
761,vorher::ADV,abāns,առաջ
762,zuerst::ADV,primer,նախ
763,einmal::ADV,una vegada,մի անգամ
764,manchmal::ADV,de vegades,երբեմն
765,oft::ADV,sovint,հաճախ
766,immer::ADV,sempre,միշտ
767,niemals::ADV,no ... mai,երբեք
768,hier::ADV,aquí,այստեղ
769,hierhin::ADV,per aquí,այստեղ
770,von hier::ADV,des d'aquí,այդտեղից
771,dort::ADV,allí,այնտեղ
772,dorthin::ADV,hi,այնտեղ
773,geradeaus::ADV,tot dret,ուղիղ
774,vorwärts::ADV,endavānt,առաջ
775,rückwärts::ADV,endarrera,դեպի ետ
776,zurück::ADV,darrere,ետ
777,unten::ADV,a baix,ներքեւում
