,Concept_ID,da,ady
183,Pilz::N,svamp,хьаӏу
184,Zwiebel::N,løg,бжьыны́
185,Saat::N,sæd,чылапхъ
186,Korn::N,korn,цэ
187,Heu::N,hø,мэкъу
188,Schale::N,skræl,кӏы́шъу
189,Grube::N,grav,машэ́
190,Falle::N,fælde,зэраубытырэ́ ӏэмэпсы́м
191,Schlinge::N,snare,бзыуубыт
192,Spur::N,spor,ужы
193,Spur::N,spor,лъэуж
194,Asche::N,aske,яжьэ́
195,Dreck::N,snavs,псынжъы
196,Eisen::N,jern,гыучӏы́
197,Eisen::N,jern,къэнджа́л
198,Gold::N,guld,дышъэ́
199,Silber::N,sølv,тыжьы́н
200,Kohle::N,kul,шӏомыкӏ
201,Glas::N,glas,апч
202,Lehm::N,ler,етӏагъо́
203,Sand::N,sand,пшахъо
204,Mensch::N,mennesge,цӏыфы́
205,Mann::N,mand,хъулъфы́гъ
206,Frau::N,kvinde,бӏылъфыгъэ́
207,Kind::N,barn,кӏэлэцӏы́кӏу
208,Junge::N,dreng,кӏэлэцӏы́кӏу
209,Mädchen::N,pige,пшъэшъэжъый
210,Familie::N,familie,быны́
211,Familie::N,familie,уна́гъу
212,Großvater::N,bedstefar,тэтэ́жъ
213,Großmutter::N,bedstemor,нэнэ́жъ
214,Eltern::N,forældre,ны-тыхэ́р
215,Vater::N,far,ты
216,Mutter::N,mor,ны
217,Sohn::N,søn,къо
218,Tochter::N,datter,пхъу
219,Bruder::N,bror,шы
220,Schwester::N,søster,шы́пхъу
221,Onkel::N,onkel,янэ́ш
222,Tante::N,tante,атэшыпхъу
223,Ehemann::N,ægtemand,лӏы
224,Ehefrau::N,hustru,шъу́з
225,Freude::N,glæde,гушӏуа́гъу
226,Gelächter::N,latter,щхыныр
227,Glück::N,lykke,насы́п
228,Kummer::N,sorg,тхьамыкӏагъу
229,Wunsch::N,ønske,шӏонгъоны́гъ
230,Lust::N,lyst,шӏонгъоны́гъ
231,Geist::N,ånd,гу
232,Gedanke::N,tanke,гупшыс
233,Gedächtnis::N,hukommelse,память
234,Verstand::N,forstand,акъы́л
235,Sinn::N,mening,мэхьанэ
236,Sinn::N,betydning,мэхьанэ
237,Grund::N,grund,ушъхьагъу
238,Wahrheit::N,sandhed,шъыпкъэ́
239,Gespräch::N,samtale,гущыӏ
240,Märchen::N,eventyr,пшысэ
241,Erzählung::N,fortælling,къэба́р
242,Nachricht::N,efterretning,къэба́р
243,Neuigkeit::N,nyhed,къэбарыкӏ
244,Name::N,navn,цӏэ
245,Rätsel::N,gåde,коджэхь-къоджэшх
246,Rede::N,tale,гущыӏ
247,Sprache::N,sprog,бзэ
248,Stimme::N,stemme,макъэ́
249,Wort::N,ord,гущыӏ
250,Zeichen::N,tegn,тамы́гъ
251,Ruf::N,råb,джэ макъ
252,Lärm::N,larm,макъэ
253,Laut::N,lyd,макъэ
254,Ton::N,tone,
255,Lied::N,sang,орэ́д
256,Ruhe::N,ro,самбырыныгъ
257,Ruhe::N,hvile,самбырыныгъ
258,Leute::N,folk,цӏыфхэ́р
259,Leute::N,mennesker,цӏыфхэ́р
260,Volk::N,folk,цӏыф лъэпкъ
261,Arbeit::N,arbejde,ӏофшӏакӏэ́н
262,Gast::N,gæst,хьакӏэ́
263,Geschenk::N,gave,шӏухьафтын
264,Spiel::N,leg,еоны́р
265,Spiel::N,leg,джэгуны́р
266,Spiel::N,leg,къегъэӏоны́р
267,Gesellschaft::N,selskab,обществ
268,Hilfe::N,hjælp,ӏэпыӏэгъу
269,Freund::N,ven,ныбджэгъу
270,Kamerad::N,kammerat,ныбджэгъу
271,Angelegenheit::N,sag,ӏофы́
272,Angelegenheit::N,anliggende,ӏофы́
273,Anzahl::N,antal,пчъагъэ́
274,Art::N,art,изэрэщы́т
275,Art::N,art,лъэпкъ
276,Stück::N,stykke,такъы́р
277,Teil::N,del,щыщ
278,Teil::N,del,ӏахь
279,Hälfte::N,halvdel,ныкъо́
280,Kreis::N,cirkel,хъура́й
281,Kreuz::N,kors,къащ
282,Kreuz::N,kryds,къащ
283,Linie::N,linie,хъахъ
284,Linie::N,linie,итхъа́гъ
285,Strich::N,streg,хъахъ
286,Strich::N,streg,итхъагъ
287,Abstand::N,afstand,азыфагу
288,Entfernung::N,afstand,чӏыгууанэ
289,Gegend::N,egn,чӏыпӏэ́
290,Platz::N,plads,азыфагу
291,Ort::N,sted,чӏыпӏэ́
292,Seite::N,side,лъэны́къу
293,Mitte::N,midte,гузэ́гу
294,Gegenstand::N,genstand,пкъыгъо
295,Sache::N,sag,
296,Rand::N,rand,цакӏэ́
297,Kante::N,kant,цэгэналъ
298,Ecke::N,hjørne,къогъу
299,Spitze::N,spids,пакӏэ
300,Ende::N,ende,кӏэ
301,Loch::N,hul,гъуа́н
302,Winkel::N,vinkel,къогъу
303,Muster::N,mønster,тхыпхъэ
304,Größe::N,størrelse,иина́гъ
305,Länge::N,længde,икӏыхьа́гъ
306,Höhe::N,højde,лъэгагъ
307,Gewicht::N,vægt,онтэгъугъэ́
308,Menge::N,mængde,пчъагъэ́
309,Haufen::N,bunke,ӏат
310,Reihe::N,række,саты́р
311,Boot::N,båd,къуашъо́
312,Ruder::N,åre,къошъобэ́щ
313,Schlitten::N,kælk,
314,Schlitten::N,slæde,
315,Ski::N,ski,лыжэхэр
316,Lagerfeuer::N,lejrbål,пхъэмашӏу
317,Last::N,last,
318,Last::N,byrde,
319,Gang::N,gang,кӏоныр
320,Schritt::N,skridt,лъэубэ́къу
321,Norden::N,nord,темы́р
322,Süden::N,syd,къыблэ́
323,Westen::N,vest,тыгъэкъохьа́пӏ
324,Osten::N,øst,тыгьэкъокӏы́пӏ
325,Holz::N,træ,чъыгы́
326,Brett::N,bræt,пхъэ́мбгъу
327,Platte::N,plade,упсыхьагъ
328,Stütze::N,støtte,кӏэгъэкъон
329,Stange::N,stang,къорэ́гъ
330,Stock::N,stok,бэщ
331,Stab::N,stav,бэщ кӏы́хь
332,Rohr::N,rør,онджэкъ
333,Haus::N,hus,унэ́
334,Heim::N,hjem,унэ́
335,Ofen::N,ovn,гъэжъэн
336,Fußboden::N,gulv,джэхашъу
337,Tisch::N,bord,стол
338,Stuhl::N,stol,пхъэнтӏэ́кӏу
339,Wiege::N,vugge,кушъэ́
340,Bett::N,seng,пӏэкӏо́р
341,Regal::N,reol,мэкӏай
342,Kiste::N,kasse,ящык
343,Fenster::N,vindue,шъхьаныгъу́пчъ
344,Tür::N,dør,пчъэ
345,Tor::N,port,къэла́пчъ
346,Zaun::N,stakit,шӏыхьагъэ́
347,Dach::N,tag,шъхьэ́
348,Leiter::N,stige,лъэо́й
349,Leiter::N,stige,дэкӏояпӏэ́
350,Besen::N,kost,пхъэнкӏы́пхъ
351,Spaten::N,spade,къазгъы́р
352,Schaufel::N,skovl,хэӏалъ
353,Gabel::N,gaffel,цацэ
354,Löffel::N,ske,джэмы́шх
355,Messer::N,kniv,шъэжъы́й
356,Nagel::N,søm,гъучӏыӏу́н
357,Netz::N,net,хъытыу
358,Haken::N,krog,хьажтӏаркъу
359,Griff::N,tag,къопс
360,Griff::N,håndtag,къопс
361,Schloss::N,lås,ӏункӏы́бз
362,Bild::N,billede,сурэ́т
363,Figur::N,figur,
364,Puppe::N,dukke,нысхъа́п
365,Beutel::N,pose,дзыо́
366,Bündel::N,bylt,
367,Bündel::N,bundt,
368,Tasche::N,taske,ӏэлъмэ́къ
369,Eimer::N,spand,щалъ
370,Deckel::N,låg,шъхьэ
371,Geschirr::N,husgeråd,хьакъу-шыкъу
372,Sack::N,sæk,дзыо́
373,Tasse::N,kop,чашк
374,Topf::N,gryde,кастрюль
375,Kessel::N,kedel,шыуа́н
376,Essen::N,måltid,шхэн
377,Nahrung::N,mad,шхэн
378,Nahrung::N,næring,шхэн
379,Speise::N,ret,шхыныгъу
380,Fleisch::N,kød,лы
381,Getreide::N,korn,лэжьыгъацэ́
382,Brei::N,grød,пӏастэ́
383,Brot::N,brød,хьалыгъу
384,Scheibe::N,skive,такъы́р
385,Fett::N,fedt,дагъэ́
386,Butter::N,smør,тхъу
387,Öl::N,olie,тхъу
388,Salz::N,salt,щыгъу
389,Suppe::N,suppe,хьантхъупс
390,Honig::N,honning,шъоу́
391,Milch::N,mælk,щэ
392,Tee::N,te,щай
393,Leder::N,skind,кӏы́шъу
394,Wolle::N,uld,цы
395,Stoff::N,stof,шэкӏы
396,Nadel::N,nål,бгъэ́хаӏу
397,Faden::N,tråd,ӏуда́н
398,Knopf::N,knap,занкӏэу
399,Knoten::N,knude,зэкъодзапӏэ
400,Farbe::N,farve,краск
401,Kleidung::N,påklædning,щыгъы́ны
402,Hemd::N,skjorte,джан
403,Kragen::N,krave,пшъапӏ
404,Ärmel::N,ærme,гъуап
405,Hose::N,bukser,гъончэ́дж
406,Gürtel::N,bælte,бгыры́пх
407,Mütze::N,hue,паӏо́
408,Schuh::N,sko,
409,Stiefel::N,støvle,щазым
410,Ring::N,ring,ӏэлъы́н
411,Band::N,bånd,лент
412,Kamm::N,kam,мажь
413,Spiegel::N,spejl,гъундж
414,Riemen::N,rem,бгыры́пх
415,Schnur::N,snor,кӏапсэ́
416,Leine::N,snor,шъокӏапс
417,Decke::N,tæppe,чыхӏэн
418,Kissen::N,pude,шъхьант
419,Tuch::N,sjaltørklæde,шъхьэтехъу
420,Handtuch::N,håndklæde,ӏаплъэкӏ
421,Kraft::N,kraft,къары́у
422,Kraft::N,kraft,кӏуачӏэ́
423,Stärke::N,styrke,кӏуачӏэ́
424,Gesundheit::N,sundhed,псауныгъ
425,Krankheit::N,sygdom,узы
426,Schmerz::N,smerte,узы
427,Wunde::N,sår,уӏагъэ́
428,Fieber::N,feber,техьа́гъу
429,Fieber::N,feber,жъоку
430,Arznei::N,medicin,ӏэзэ́гъу
431,Arznei::N,lægemiddel,ӏэзэ́гъу
432,Brücke::N,bro,лъэмы́д ж
433,Brunnen::N,brønd,псынэ́
434,Weide::N,græsgang,хъупӏэ́
435,Pfad::N,sti,лъагъу
436,Weg::N,vej,гъо́гу
437,Straße::N,gade,гъо́гу
438,Dorf::N,landsby,къуа́дж
439,Stadt::N,by,къалэ́
440,Brief::N,brev,тхэн
441,Brief::N,brev,письмэ
442,Buch::N,bog,тхы́лъ
443,Buchstabe::N,bogstav,хьары́ф
444,Zeitung::N,avis,газет
445,Leben::N,liv,гъашӏэ́
446,Tod::N,død,аджал
447,Grab::N,grav,бэны́
448,Kirche::N,kirke,чылы́с
449,Sünde::N,synd,гунахь
450,Gott::N,gud,тхьэ
451,Arbeiter::N,arbejder,рабоч
452,Chef::N,chef,гъэр
453,Meister::N,mester,ӏэпыӏа́с
454,Arzt::N,læge,
455,Lehrer::N,lærer,кӏэлэегъа́дж
456,Geld::N,penge,ахъщ
457,Geschäft::N,forretning,ӏофшӏэн
458,Laden::N,butik,туча́н
459,Laden::N,forretning,туча́н
460,Preis::N,pris,уасэ́
461,Ware::N,vare,хьап-щып
462,Nutzen::N,nytte,чар
463,Nutzen::N,nytte,федэ́
464,Reichtum::N,rigdom,байныгъ
465,Welt::N,verden,дуна́й
466,Land::N,land,хэгъэ́́гу
467,Staat::N,stat,къэралыгъу
468,König::N,konge,пачъы́хь
469,Macht::N,magt,шынэгъакзэ́
470,Grenze::N,grænse,гъуна́пкъ
471,Krieg::N,krig,зао́
472,Feind::N,fjende,пы́и
473,Gewalt::N,vold,егъэзыгъэныгъ
474,Kampf::N,kamp,бэнэныгъ
475,Bogen[Waffe]::N,bue,щабз
476,Pfeil::N,pil,щэбза́щ
477,Gewehr::N,gevær,шхонч
478,Fehler::N,fejl,хэукъоныгъ
479,Lüge::N,løgn,пцӏы
480,Schaden::N,skade,зэра́р
481,Unglück::N,uheld,тхьамыкӏагъу
482,Unglück::N,ulykke,тхьамыкӏагъу
483,Schuld::N,skyld,мысагъэ́
484,Alter::N,alder,ныбжь
485,Schluss::N,slut,кӏэ
486,Schluss::N,slutning,кӏэ
487,Zeit::N,tid,уахътэ́
488,Tag::N,dag,мафэ́
489,Morgen::N,morgen,пчэды́жь
490,Mittag::N,middag,щэджагьу́
491,Abend::N,aften,пчыхьэ́
492,Nacht::N,nat,чэщы́
493,Woche::N,uge,тхьамафэ́
494,Monat::N,måned,мазэ́
495,Jahr::N,år,илъэ́с
496,Frühling::N,forår,гъатхэ́
497,Sommer::N,sommer,гъэмафэ́
498,Herbst::N,efterår,бжыхьэ́
499,Winter::N,vinter,кӏыма́ф
500,Januar::N,januar,январь
501,Februar::N,februar,февраль
502,März::N,marts,март
503,April::N,april,апрель
504,Mai::N,maj,май
505,Juni::N,juni,июнь
506,Juli::N,juli,июль
507,August::N,august,август
508,September::N,september,сентябрь
509,Oktober::N,oktober,октябрь
510,November::N,november,ноябрь
511,Dezember::N,december,декабрь
512,Montag::N,mandag,блыпэ́
513,Dienstag::N,tirsdag,гъубдж
514,Mittwoch::N,onsdag,бэрэскэжъый
515,Donnerstag::N,torsdag,мэфэ́ку
516,Freitag::N,fredag,бэрэскэшху
517,Samstag::N,lørdag,шэмбэ́т
518,Sonntag::N,søndag,тхьаума́ф
519,groß::A,stor,ины́
520,klein::A,lille,цӏы́кӏу
521,lang::A,lang,кӏыхьэ́
522,kurz::A,kort,кӏэкӏы́
523,breit::A,bred,шъуамбгъо́
524,schmal::A,smal,бгъузэ́
525,dicht::A,tæt,ӏужъу́
526,dick[Gegenstand]::A,tyk,ӏужъу́
527,dünn::A,tynd,пӏуакӏэ́
528,fein::A,fin,пӏуакӏэ́
529,fest::A,fast,пытэ́
530,flach::A,flad,тешъо́
531,glatt::A,glat,зэны́бжь
532,hart::A,hård,пытэ́
533,weich::A,blød,шъабэ́
534,rund::A,rund,хъура́й
535,spitz::A,spids,папцӏэ́
536,scharf::A,skarp,чан
537,stumpf::A,sløv,цако́
538,stumpf::A,stump,цако́
539,schwer::A,tung,онтэ́гъу
540,schön::A,skøn,дахэ́
541,heiß::A,hed,жъо́ркъ
542,warm::A,varm,фабэ́у
543,kalt::A,kold,чъыӏэ́
544,kühl::A,kølig,чъыӏэтагъ
545,frisch::A,frisk,чъыӏэтагъ
546,feucht::A,fugtig,шынагъэ зиӏэ
547,feucht::A,fugtig,шынэгъакӏэ зиӏэ
548,nass::A,våd,цӏынэ́
549,trocken::A,tør,гъушъ
550,trocken::A,tør,чъэпхъыгъ
551,voll::A,fuld,из
552,voll::A,fuld,изыбз
553,leer::A,tom,нэкӏы́
554,offen::A,åben,зэдэхыгъэ
555,geschlossen::A,lukket,зэфэшӏыгъ
556,sauber::A,ren,къабзэ́
557,schmutzig::A,snavset,шӏо́и
558,roh::A,rå,мыжъо́
559,reif::A,moden,чъэпхъыгъ
560,lecker::A,lækker,го́хьы
561,süß::A,sød,ӏэшӏу
562,bitter::A,bitter,дыджы́
563,sauer::A,sur,хафэ́
564,hell::A,lys,нэфын
565,dunkel::A,mørk,мэзэхэ
566,schwarz::A,sort,шӏуцӏэ
567,weiß::A,hvid,фыжьы́
568,rot::A,rød,плъыжьы́
569,gelb::A,gul,гъожьы́
570,blau::A,blå,шхъуантӏэ
571,grün::A,grøn,шхъуантӏэ
572,grau::A,grå,шхъо
573,bunt::A,broget,къолэны
574,billig::A,billig,пыут
575,teuer::A,dyr,сикӏа́с
576,teuer::A,dyr,силъа́пӏ
577,wertvoll::A,værdifuld,пкӏэ зиӏ
578,wertvoll::A,værdifuld,уасэ́ зыфа́шӏ
579,blind::A,blind,нэшъу́
580,taub::A,døv,дэгу
581,kräftig::A,kraftig,лъэ́ш
582,stark::A,stærk,лъэ́ш
583,schwach::A,svag,хъыбэй
584,fett::A,fed,пщэры́
585,schlank::A,slank,ищыгъэ
586,hübsch::A,køn,дахэ́
587,böse::A,ond,ябгэ
588,böse::A,slem,ябгэ
589,dumm::A,dum,делэ
590,faul::A,doven,шъхьахы́нэ
591,fleißig::A,flittig,егугъурэ
592,geizig::A,gerrig,тхьацэ
593,klug::A,klog,акъылышӏу́
594,geschickt::A,dygtig,ӏэпэӏэсэ́
595,geschickt::A,dygtig,шо́у шӏыгъэ́
596,geschickt::A,behændig,ӏэпэӏэсэ́
597,geschickt::A,behændig,шо́у шӏыгъэ́
598,lieb::A,rar,псэм фэд
599,lustig::A,lystig,чэф
600,sanft::A,blid,ӏушъа́б
601,hungrig::A,sulten,гъаблэ́
602,krank::A,syg,сыма́дж
603,nackt::A,nøgen,пцӏанэ́
604,traurig::A,bedrøvet,нэшхъэй
605,lebendig::A,levende,
606,gut::A,god,дэгъу́
607,schlecht::A,dårlig,дэи
608,richtig::A,rigtig,тэрэз
609,schlimm::A,slem,щынэгъо
610,wahr::A,sand,шъыпкъэ́
611,alt::A,gammel,жъы
612,neu::A,ny,кӏэ
613,ehemalig::A,forhenværende,-щтыгъэ
614,ehemalig::A,forhenværende,-гъэ
615,alt[Lebewesen]::A,gammel,жъы
616,jung::A,ung,ныбжьыкӏэ́
617,arm::A,fattig,тхьамы́кӏ
618,reich::A,rig,бай
619,bekannt::A,kendt,нэӏуа́с
620,berühmt::A,berømt,цӏэры́ӏу
621,fremd::A,fremmed,хымэ
622,verschieden::A,forskellig,зэфэшъхьафы
623,nah::A,nær,благъэ́
624,fern::A,fjern,чыжьэ
625,linker::A,venstre,сэмэ́гу
626,rechter::A,højre,джабгъу
627,anderer::A,anden,нэмы́кӏ
628,erster::A,første,апэр
629,zweiter::A,anden,я́тӏонэр
630,dritter::A,tredje,ящэнэр
631,letzter::A,sidste,аужыр
632,allein::ADV,alene,зы
633,auf einmal::ADV,på én gang,ардэдэм
634,auf einmal::ADV,på én gang,асыхьатым
635,zusammen::ADV,sammen,зэгъусэхэ́у
636,lange::ADV,længe,бэрэ́
637,plötzlich::ADV,pludselig,зэкӏэм
638,sofort::ADV,straks,ардэдэм
639,sofort::ADV,straks,асыхьатым
640,später::ADV,senere,нэужым
641,jetzt::ADV,nu,джы
642,heute::ADV,i dag,непэ́
643,morgen::ADV,i morgen,неу́щы
644,bald::ADV,snart,псынкӏэу
645,dann::ADV,så,нэужым
646,gestern::ADV,i går,тыгъуа́с
647,einst::ADV,engang,зэгорэ́м
648,damals::ADV,dengang,армэ
649,damals::ADV,dengang,ащыгъум
650,danach::ADV,derefter,нэужым
651,vorher::ADV,før,нахьыпэм
652,vorher::ADV,forud,нахьыпэм
653,zuerst::ADV,først,
654,einmal::ADV,en gang,зэ
655,manchmal::ADV,sommetider,
656,oft::ADV,ofte,бэрэ
657,immer::ADV,altid,ренэ́у
658,niemals::ADV,aldrig,
659,hier::ADV,her,
660,hierhin::ADV,hid,
661,hierhin::ADV,herhen,
662,von hier::ADV,herfra,
663,dort::ADV,der,модэ
664,dorthin::ADV,derhen,модэ́
665,geradeaus::ADV,lige ud,занкӏэу
666,vorwärts::ADV,fremad,ыпэкӏэ
667,rückwärts::ADV,baglæns,ыужыкӏэ́
668,zurück::ADV,tilbage,ыужыкӏэ́
669,unten::ADV,nede,ычӏэкӏэ́
670,unten::ADV,forneden,ычӏэкӏэ́
671,hinab::ADV,ned,ычӏэгъы́
672,hinab::ADV,ned,ычӏэкӏэ́
673,hinab::ADV,nedad,ычӏэгъы́
674,hinab::ADV,nedad,ычӏэкӏэ́
675,oben::ADV,oppe,ышъхьагъы
676,oben::ADV,ovenpå,ышъхьагъы
677,hinauf::ADV,op,ышъхьагъыкӏэ
678,hinauf::ADV,opad,ышъхьагъыкӏэ
679,überall::ADV,overalt,тыди́
680,überall::ADV,overalt,тыдэкӏи́
681,nicht::ADV,ikke,-п
682,nicht::ADV,ikke,мы-
683,ein wenig::ADV,lidt,тӏэкӏу
684,kaum::ADV,knap,къоды́й
685,kaum::ADV,næppe,къоды́й
686,sehr::ADV,meget,дэд
687,so::ADV,så,ащ фэд
688,so::ADV,så,мыщ фэд
689,so::ADV,så,джащ фэд
690,noch::ADV,endnu,джыри
691,nur::ADV,kun,ныӏэ́п
692,nur::ADV,bare,ныӏэ́п
693,schon::ADV,alt,
694,schon::ADV,allerede,
695,wieder::ADV,igen,джыри
696,vergebens::ADV,forgæves,пкӏэнчъэ́у
697,vor::PRP,foran,пашъхьэ́
698,vor::PRP,uden for,пашъхьэ́
699,hinter::PRP,bag,кӏы́б
700,hinter::PRP,bagved,кӏы́б
701,unter::PRP,under,чӏэ-
702,durch::PRP,gennem,пхыры-
703,durch::PRP,igennem,пхыры-
704,neben::PRP,ved siden af,дэжь
705,zwischen::PRP,mellem,азыфа́гу
706,wegen::PRP,på grund af,къы-
707,dies::PRN,dette,ар
708,das::PRN,det,а
709,das::PRN,det,мо
710,alles::PRN,alt,зэкӏэ́
711,ich::PRN,jeg,сэ
712,du::PRN,du,о
713,er::PRN,han,ар
714,wir::PRN,vi,тэ
