,Concept_ID,uk,cv
135,Feder::N,перо,тӗк
136,Fell::N,хутро,ҫӑм
137,Flügel::N,крило,ҫунат
138,Klaue::N,кіготь,чӗрне
139,Kralle::N,лапа,ура
140,Schwanz::N,хвіст,хӳре
141,Ei::N,яйце,ҫӑмарта
142,Nest::N,гніздо,йӑва
143,Bau::N,лігво,йӗнӗ
144,Tier::N,тварина,выльӑх
145,Herde::N,стадо,кӗтӳ
146,Kuh::N,корова,ӗне
147,Bulle::N,бик,вӑкӑр
148,Bulle::N,бугай,вӑкӑр
149,Pferd::N,кінь,лаша
150,Schaf::N,вівця,сурӑх
151,Schwein::N,свиня,сысна
152,Hund::N,собака,йытӑ
153,Katze::N,кішка,кушак
154,Bär::N,ведмідь,упа
155,Eichhörnchen::N,білка,пакша
156,Elch::N,лось,пӑши
157,Fuchs::N,лисиця,тилӗ
158,Hase::N,заєць,куян
159,Hase::N,заєць,мулкач
160,Maus::N,миша,шӑши
161,Wolf::N,вовк,кашкӑр
162,Vogel::N,птах,кайӑк
163,Vogel::N,птах,вӗҫен кайӑк
164,Schwarm::N,зграя,ушкӑн
165,Huhn::N,курка,чӑх
166,Huhn::N,курка,чӑхӑ
167,Hahn::N,півень,автан
168,Gans::N,гуска,хур
169,Adler::N,орел,ӑмӑрт кайӑк
170,Ente::N,качка,кӑвакал
171,Eule::N,сова,тӑмана
172,Kranich::N,журавель,тӑрна
173,Krähe::N,ворона,ула курак
174,Kuckuck::N,зозуля,куккук
175,Schwan::N,лебідь,акӑш
176,Fisch::N,риба,пулӑ
177,Barsch::N,окунь,уланкӑ
178,Hecht::N,щука,ҫӑрттан
179,Schlange[Tier]::N,змія,ҫӗлен
180,Wurm::N,черв’як,ӑман
181,Spinne::N,павук,эрешмен
182,Ameise::N,мурашка,кӑткӑ
183,Laus::N,воша,пыйтӑ
184,Mücke::N,комар,вӑрӑм туна
185,Fliege::N,муха,шӑна
186,Schmetterling::N,метелик,лӗпӗш
187,Beere::N,ягода,ҫырла
188,Apfel::N,яблуко,улма
189,Apfel::N,яблуко,пан улми
190,Pilz::N,гриб,кӑмпа
191,Zwiebel::N,цибуля,сухан
192,Saat::N,сім’я,вӑрӑ
193,Korn::N,зерно,тӗшӗ
194,Korn::N,зерно,пӗрчӗ
195,Heu::N,сіно,утӑ
196,Schale::N,шкірка,хупӑ
197,Grube::N,яма,шӑтӑк
198,Falle::N,пастка,тапӑ
199,Falle::N,пастка,капкӑн
200,Schlinge::N,петля,йӑлӑ
201,Spur::N,слід,йӗр
202,Asche::N,зола,кӗл
203,Asche::N,попіл,кӗл
204,Dreck::N,бруд,пылчӑк
205,Eisen::N,залізо,тимӗр
206,Gold::N,золото,ылтӑн
207,Silber::N,срібло,кӗмӗл
208,Kohle::N,вугілля,кӑмрӑк
209,Glas::N,скло,кӗленче
210,Lehm::N,глина,тӑм
211,Sand::N,пісок,хӑйӑр
212,Mensch::N,людина,ҫын
213,Mensch::N,людина,этем
214,Mann::N,чоловік,ар
215,Frau::N,жінка,хӗрарӑм
216,Kind::N,дитина,ача
217,Junge::N,хлопець,ача
218,Junge::N,хлопець,ар ҫын ача
219,Mädchen::N,дівчина,хӗр ача
220,Familie::N,сім’я,ҫемье
221,Familie::N,сім’я,кил-йыш
222,Familie::N,родина,ҫемье
223,Familie::N,родина,кил-йыш
224,Großvater::N,дідусь,кукаҫи
225,Großmutter::N,бабуся,кукамай
226,Eltern::N,батьки,аҫа-ама
227,Vater::N,батько,атте
228,Mutter::N,мати,анне
229,Sohn::N,син,ывӑл
230,Tochter::N,дочка,хӗр
231,Bruder::N,брат,ар тӑван
232,Schwester::N,сестра,аппа
233,Schwester::N,сестра,йӑмӑк
234,Onkel::N,дядько,мучи
235,Onkel::N,дядько,пичче
236,Tante::N,тітка,аппа
237,Ehemann::N,чоловік,упӑшка
238,Ehefrau::N,жінка,арӑм
239,Ehefrau::N,дружина,арӑм
240,Freude::N,радощі,савӑнӑҫ
241,Freude::N,радощі,хаваслӑх
242,Gelächter::N,сміх,кулӑ
243,Glück::N,щастя,телей
244,Glück::N,щастя,ӑраскал
245,Kummer::N,горе,хурлӑх
246,Wunsch::N,бажання,ӗмӗт
247,Wunsch::N,бажання,кӑмӑл
248,Lust::N,бажання,кӑмӑл
249,Geist::N,дух,чун-чӗм
250,Geist::N,дух,ыр-усал
251,Geist::N,дух,чун хавалӗ
252,Gedanke::N,думка,шухӑш
253,Gedächtnis::N,пам’ять,ас
254,Verstand::N,розум,ӑс
255,Verstand::N,розум,ӑс-тӑн
256,Verstand::N,розум,ӑс-хакӑл
257,Sinn::N,зміст,тупсӑм
258,Sinn::N,зміст,пӗлтерӗш
259,Sinn::N,значення,тупсӑм
260,Sinn::N,значення,пӗлтерӗш
261,Grund::N,причина,сӑлтав
262,Wahrheit::N,правда,чӑнлӑх
263,Gespräch::N,розмова,калаҫу
264,Märchen::N,байка,юмах
265,Erzählung::N,повість,акалав
266,Erzählung::N,повість,каласа пани
267,Erzählung::N,оповідання,акалав
268,Erzählung::N,оповідання,каласа пани
269,Nachricht::N,повідомлення,хыпар
270,Neuigkeit::N,новина,ҫӗнӗ хыпар
271,Name::N,ім’я,ят
272,Rätsel::N,загадка,сутмалли юмах
273,Rede::N,промова,сӑмах
274,Sprache::N,мова,чӗлхе
275,Stimme::N,голос,сасӑ
276,Wort::N,слово,сӑмах
277,Zeichen::N,знак,паллӑ
278,Ruf::N,оклик,йыхрав
279,Ruf::N,оклик,чӗнӳ
280,Lärm::N,шум,шав
281,Laut::N,звук,сасӑ
282,Ton::N,тон,сасӑ
283,Lied::N,пісня,юрӑ
284,Ruhe::N,спокій,канӑҫлӑх
285,Ruhe::N,спокій,лӑпкӑлӑх
286,Leute::N,люди,ҫамрӑксем
287,Leute::N,люди,ҫамрӑк ҫынсем
288,Volk::N,народ,халӑх
289,Arbeit::N,робота,ӗҫхӗл
290,Arbeit::N,робота,ӗҫлев
291,Gast::N,гість,хӑна
292,Geschenk::N,подарунок,парне
293,Geschenk::N,подарунок,кучченеҫ
294,Spiel::N,гра,вӑйӑ
295,Gesellschaft::N,товариство,общество
296,Hilfe::N,допомога,пулӑшу
297,Freund::N,друг,тус
298,Freund::N,приятель,тус
299,Kamerad::N,товариш,юлташ
300,Kamerad::N,товариш,тус
301,Angelegenheit::N,справа,ӗҫ
302,Anzahl::N,число,йыш
303,Anzahl::N,число,хисеп
304,Art::N,рід,тӗс
305,Stück::N,кусок,татӑк
306,Teil::N,частина,пай
307,Hälfte::N,половина,ҫурӑ
308,Kreis::N,круг,ункӑ
309,Kreis::N,круг,ҫавракӑш
310,Kreis::N,коло,ункӑ
311,Kreis::N,коло,ҫавракӑш
312,Kreuz::N,хрест,хӗрес
313,Linie::N,лінія,йӗр
314,Strich::N,штрих,йӗр
315,Abstand::N,проміжок,хушӑ
316,Entfernung::N,відстань,хушӑ
317,Gegend::N,місцевість,вырӑн
318,Platz::N,площа,хутлӑх
319,Ort::N,місце,вырӑн
320,Seite::N,сторона,ен
321,Seite::N,сторона,аяк
322,Seite::N,сторона,айӑк
323,Mitte::N,середина,варӑ
324,Gegenstand::N,предмет,япала
325,Sache::N,річ,япала
326,Rand::N,край,вӗҫ
327,Rand::N,край,хӗрӗ
328,Rand::N,край,хӗрри
329,Kante::N,ребро,хайкача
330,Kante::N,ребро,хысак
331,Ecke::N,ріг,кӗтес
332,Spitze::N,кінчик,вӗҫ
333,Ende::N,кінець,вӗҫ
334,Loch::N,діра,шӑтӑк
335,Winkel::N,куток,кӗтес
336,Muster::N,узор,эреш
337,Größe::N,розмір,пысӑкӑш
338,Länge::N,довжина,вӑрӑмӑш
339,Höhe::N,висота,ҫӳллӗш
340,Gewicht::N,вага,виҫе
341,Gewicht::N,вага,йывӑрӑш
342,Menge::N,кількість,йыш
343,Haufen::N,купа,купа
344,Reihe::N,ряд,рет
345,Boot::N,човен,кимӗ
346,Ruder::N,весло,кӗсмен
347,Schlitten::N,сани,ҫуна
348,Ski::N,лижа,йӗлтӗр
349,Lagerfeuer::N,вогнище,вут
350,Lagerfeuer::N,вогнище,кӑвайт
351,Last::N,тягар,сулмаклӑх
352,Last::N,тягар,йывӑр япала
353,Last::N,вантаж,сулмаклӑх
354,Last::N,вантаж,йывӑр япала
355,Gang::N,хід,куҫӑм
356,Schritt::N,крок,утӑм
357,Schritt::N,крок,пусӑм
358,Norden::N,північ,ҫурҫӗр
359,Süden::N,південь,кӑнтӑр
360,Westen::N,захід,анӑҫ
361,Westen::N,захід,хӗвел анӑҫ
362,Osten::N,схід,хӗвел тухӑҫ
363,Holz::N,дрова,йывӑҫ
364,Brett::N,дошка,хӑма
365,Platte::N,плита,плита
366,Stütze::N,підпірка,ура
367,Stange::N,жердина,шерте
368,Stock::N,палиця,патак
369,Stab::N,палиця,шӑчӑ
370,Rohr::N,труба,пӑрӑх
371,Haus::N,дім,ҫурт
372,Haus::N,хата,ҫурт
373,Heim::N,житло,кил
374,Ofen::N,піч,кӑмака
375,Fußboden::N,підлога,урай
376,Tisch::N,стіл,сӗтел
377,Stuhl::N,стілець,пукан
378,Wiege::N,колиска,сӑпка
379,Bett::N,ліжко,кравать
380,Bett::N,постіль,кравать
381,Regal::N,полиця,ҫӳлӗк
382,Regal::N,полиця,сентре
383,Kiste::N,ящик,ещӗк
384,Kiste::N,ящик,сунтӑх
385,Fenster::N,вікно,чӳрече
386,Tür::N,двері,алӑк
387,Tor::N,ворота,хапха
388,Zaun::N,паркан,хӳме
389,Zaun::N,огорожа,хӳме
390,Dach::N,дах,тӑрӑ
391,Leiter::N,драбина,пусма
392,Besen::N,мітла,шӑпӑр
393,Spaten::N,заступ,кӗреҫе
394,Schaufel::N,совок,кӗреҫе
395,Schaufel::N,лопата,кӗреҫе
396,Gabel::N,виделка,вилка
397,Löffel::N,ложка,кашӑк
398,Messer::N,ніж,ҫӗҫӗ
399,Nagel::N,цвях,пӑта
400,Netz::N,сіть,тетел
401,Haken::N,крюк,йӑрхах
402,Haken::N,крюк,ҫекӗл
403,Griff::N,ручка,хӑлӑп
404,Griff::N,держак,хӑлӑп
405,Schloss::N,замок,ҫӑра
406,Bild::N,картина,сӑн
407,Bild::N,картина,сӑнлӑх
408,Bild::N,картина,картина
409,Figur::N,фігура,кӗлетке
410,Puppe::N,лялька,пукане
411,Beutel::N,мішечок,михӗ
412,Beutel::N,торбинка,михӗ
413,Bündel::N,в’язка,ҫыхӑ
414,Bündel::N,в’язка,тӗрке
415,Tasche::N,сумка,сумка
416,Eimer::N,відро,витре
417,Deckel::N,кришка,хупӑ
418,Geschirr::N,посуд,савӑт-сапа
419,Sack::N,мішок,михӗ
420,Tasse::N,чашка,курка
421,Topf::N,горщик,кастрюль
422,Kessel::N,котел,хуран
423,Essen::N,їжа,апат
424,Nahrung::N,харч,апат-ҫимӗс
425,Speise::N,страва,апат
426,Speise::N,страва,ҫимӗҫ
427,Fleisch::N,м’ясо,аш
428,Fleisch::N,м’ясо,какай
429,Getreide::N,хліб,тырӑ
430,Getreide::N,збіжжя,тырӑ
431,Brei::N,каша,пӑтӑ
432,Brot::N,хліб,ҫӑкӑр
433,Scheibe::N,скибочка,чӗлӗ
434,Scheibe::N,скибочка,касӑк
435,Fett::N,жир,ҫу
436,Butter::N,масло,ҫу
437,Öl::N,олія,ҫу
438,Salz::N,сіль,тӑвар
439,Suppe::N,суп,яшка
440,Honig::N,мед,пыл
441,Milch::N,молоко,сӗт
442,Tee::N,чай,чей
443,Leder::N,шкіра,сӑран
444,Wolle::N,шерсть,ҫӑм
445,Stoff::N,тканина,тӗртӗм
446,Nadel::N,голка,йӗп
447,Faden::N,нитка,ҫип
448,Knopf::N,ґудзик,тӳме
449,Knoten::N,вузол,йӑлӑ
450,Farbe::N,фарба,сӑрӑ
451,Kleidung::N,одяг,тум
452,Kleidung::N,одяг,ҫипуҫ
453,Kleidung::N,одяг,тум-тир
454,Kleidung::N,убрання,тум
455,Kleidung::N,убрання,ҫипуҫ
456,Kleidung::N,убрання,тум-тир
457,Hemd::N,сорочка,кӗпе
458,Kragen::N,комір,ҫуха
459,Ärmel::N,рукав,ҫанӑ
460,Hose::N,брюки,шӑлавар
461,Gürtel::N,пояс,пиҫиххи
462,Mütze::N,шапка,ҫӗлӗк
463,Schuh::N,ботинок,пушмак
464,Schuh::N,ботинок,ботинок
465,Stiefel::N,чобіт,атӑ
466,Ring::N,кільце,ҫӗрӗ
467,Band::N,стрічка,хаю
468,Band::N,стрічка,йӗсме
469,Kamm::N,гребінець,тура
470,Spiegel::N,дзеркало,тӗкӗр
471,Spiegel::N,дзеркало,куҫ кӗски
472,Riemen::N,ремінь,чӗн
473,Schnur::N,вірьовка,кантра
474,Leine::N,шворка,касмӑк
475,Decke::N,ковдра,утиял
476,Kissen::N,подушка,ҫытар
477,Kissen::N,подушка,минтер
478,Tuch::N,хустка,тутӑр
479,Handtuch::N,рушник,ал шӑлли
480,Kraft::N,сила,вӑй
481,Kraft::N,сила,хӑват
482,Stärke::N,сила,хал
483,Stärke::N,сила,хӑват
484,Gesundheit::N,здоров’я,хал
485,Gesundheit::N,здоров’я,сывлӑх
486,Krankheit::N,хвороба,чир
487,Schmerz::N,біль,ырату
488,Wunde::N,рана,суран
489,Fieber::N,гарячка,сив чир
490,Arznei::N,ліки,эмел
491,Brücke::N,міст,кӗпер
492,Brunnen::N,колодязь,ҫӑл
493,Brunnen::N,колодязь,пусӑ
494,Weide::N,пасовище,ҫаран
495,Pfad::N,стежка,йӗр
496,Pfad::N,стежка,сукмак
497,Weg::N,шлях,ҫул
498,Weg::N,шлях,ҫул-йӗр
499,Weg::N,дорога,ҫул
500,Weg::N,дорога,ҫул-йӗр
501,Straße::N,вулиця,ҫӳрев
502,Straße::N,вулиця,ҫул ҫӳрени
503,Dorf::N,село,ял
504,Stadt::N,місто,хула
505,Brief::N,лист,ҫыру
506,Buch::N,книга,кӗнеке
507,Buch::N,книжка,кӗнеке
508,Buchstabe::N,буква,сас палли
509,Buchstabe::N,літера,сас палли
510,Zeitung::N,газета,хаҫат
511,Leben::N,життя,пурнӑҫ
512,Tod::N,смерть,вилӗм
513,Grab::N,могила,масар шӑтӑкӗ
514,Kirche::N,церква,чиркӳ
515,Sünde::N,гріх,ҫылӑх
516,Gott::N,бог,турӑ
517,Arbeiter::N,робітник,рабочи
518,Chef::N,хазяїн,пуҫлӑх
519,Meister::N,умілець,ӑста
520,Meister::N,умілець,мастер
521,Arzt::N,лікар,врач
522,Arzt::N,лікар,тухтӑр
523,Lehrer::N,вчитель,учитель
524,Lehrer::N,вчитель,вӗрентекен
525,Geld::N,гроші,укҫа
526,Geschäft::N,заняття,бизнес
527,Laden::N,магазин,магазин
528,Laden::N,крамниця,магазин
529,Preis::N,ціна,хак
530,Ware::N,товар,тавар
531,Nutzen::N,вигода,пайта
532,Nutzen::N,користь,пайта
533,Reichtum::N,багатство,мул
534,Welt::N,світ,тӗнче
535,Land::N,країна,ҫӗр-шыв
536,Staat::N,держава,патшàлӑх
537,König::N,король,король
538,Macht::N,влада,власть
539,Grenze::N,кордон,чикӗ
540,Krieg::N,війна,вӑрҫӑ
541,Feind::N,ворог,тӑшман
542,Gewalt::N,насильство,ирӗксӗрлӳ
543,Kampf::N,бій,кӗрешӳ
544,Kampf::N,боротьба,кӗрешӳ
545,Bogen[Waffe]::N,лук,ухӑ
546,Pfeil::N,стріла,ҫӗмрен
547,Pfeil::N,стріла,ухӑ йӗппи
548,Gewehr::N,рушниця,пӑшал
549,Gewehr::N,гвинтівка,пӑшал
550,Fehler::N,помилка,йӑнӑш
551,Lüge::N,брехня,суя
552,Lüge::N,брехня,ултав
553,Schaden::N,шкода,сиен
554,Schaden::N,збиток,сиен
555,Unglück::N,нещастя,шар
556,Unglück::N,нещастя,инкек
557,Schuld::N,провина,айӑп
558,Alter::N,вік,ҫул шучӗ
559,Alter::N,літа,ҫул шучӗ
560,Schluss::N,кінець,пӗтни
561,Schluss::N,кінець,пӗтмӗш
562,Zeit::N,час,вӑхӑт
563,Tag::N,день,кун
564,Morgen::N,ранок,ир
565,Mittag::N,південь,кӑнтӑрла
566,Abend::N,вечір,каҫ
567,Nacht::N,ніч,каҫ
568,Woche::N,тиждень,эрне
569,Monat::N,місяць,уйӑх
570,Jahr::N,рік,ҫулталӑк
571,Frühling::N,весна,ҫур
572,Frühling::N,весна,ҫуркунне
573,Sommer::N,літо,ҫу
574,Sommer::N,літо,ҫулла
575,Herbst::N,осінь,кӗр
576,Herbst::N,осінь,кӗркунне
577,Winter::N,зима,хӗл
578,Winter::N,зима,хӗлле
579,Januar::N,січень,январь
580,Februar::N,лютий,февраль
581,Februar::N,лютий,кӗҫӗн кӑрлач
582,März::N,березень,март
583,März::N,березень,пуш уйӑхӗ
584,April::N,квітень,апрель
585,Mai::N,травень,май
586,Juni::N,червень,июнь
587,Juli::N,липень,июль
588,August::N,серпень,август
589,September::N,вересень,сентябрь
590,September::N,вересень,авӑн уйӑхӗ
591,Oktober::N,жовтень,октябрь
592,November::N,листопад,ноябрь
593,Dezember::N,грудень,раштав
594,Dezember::N,грудень,декабрь
595,Montag::N,понеділок,тунти кун
596,Dienstag::N,вівторок,ытлари кун
597,Mittwoch::N,середа,юн кун
598,Donnerstag::N,четвер,кӗҫнерни кун
599,Freitag::N,п’ятниця,эрне кун
600,Samstag::N,субота,шӑмат кун
601,Sonntag::N,неділя,вырсарни кун
602,groß::A,великий,пысӑк
603,klein::A,малий,пӗчӗк
604,klein::A,маленький,пӗчӗк
605,lang::A,довгий,вӑрӑм
606,kurz::A,короткий,кӗске
607,breit::A,широкий,сарлака
608,schmal::A,вузький,ансӑр
609,dicht::A,густий,йӑвӑ
610,dick[Gegenstand]::A,товстий,хулӑн
611,dünn::A,тонкий,ҫинҫе
612,dünn::A,тонкий,ҫӳхе
613,fein::A,дрібний,тарай
614,fein::A,дрібний,вӗлтӗрти
615,fest::A,міцний,тӗреклӗ
616,flach::A,плоский,лаптак
617,glatt::A,рівний,такӑр
618,glatt::A,гладенький,такӑр
619,hart::A,твердий,хытӑ
620,weich::A,м’який,ҫемҫе
621,rund::A,круглий,ҫавра
622,spitz::A,гострокінцевий,шӗвӗр
623,scharf::A,гострий,ҫивӗч
624,stumpf::A,тупий,мӑка
625,stumpf::A,тупий,пуклак
626,stumpf::A,тупий,тӗрӗнчӗк
627,stumpf::A,тупий,ӑнкарусӑр
628,schwer::A,важкий,йывӑр
629,schön::A,вродливий,илемлӗ
630,heiß::A,жаркий,вӗри
631,heiß::A,гарячий,вӗри
632,warm::A,теплий,ӑшӑ
633,kalt::A,холодний,сивӗ
634,kühl::A,прохолодний,уҫӑ
635,frisch::A,свіжий,уҫӑ
636,feucht::A,вогкий,йӗпе
637,nass::A,мокрий,нӳрӗ
638,trocken::A,сухий,типӗ
639,voll::A,повний,тулли
640,leer::A,пустий,пушӑ
641,offen::A,відкритий,уҫӑ
642,geschlossen::A,закритий,хупӑ
643,geschlossen::A,зачинений,хупӑ
644,sauber::A,чистий,таса
645,sauber::A,охайний,таса
646,schmutzig::A,брудний,пылчӑклӑ
647,schmutzig::A,брудний,вараланчӑк
648,roh::A,сирий,чӗрӗ
649,reif::A,зрілий,пулнӑ
650,reif::A,зрілий,пиҫӗхнӗ
651,reif::A,зрілий,аталаннӑ
652,reif::A,зрілий,пиҫсе ҫитнӗ
653,lecker::A,смачний,тутлӑ
654,lecker::A,смачний,техӗмлӗ
655,süß::A,солодкий,пылак
656,bitter::A,гіркий,йӳҫӗ
657,sauer::A,кислий,йӳҫӗ
658,sauer::A,кислий,йӳҫек
659,sauer::A,кислий,кӑвасак
660,hell::A,світлий,ҫутӑ
661,dunkel::A,темний,тӗттӗм
662,schwarz::A,чорний,хура
663,weiß::A,сивий,шурӑ
664,rot::A,червоний,хӗрлӗ
665,gelb::A,жовтий,сарӑ
666,blau::A,синій,кӑвак
667,grün::A,зелений,симӗс
668,grün::A,зелений,пиҫмен
669,grün::A,зелений,ӑс пухман
670,grau::A,сірий,кӑвак
671,bunt::A,барвистий,чӑпар
672,billig::A,дешевий,йӳнӗ
673,teuer::A,дорогий,хаклӑ
674,wertvoll::A,цінний,паха
675,blind::A,сліпий,суккӑр
676,taub::A,глухий,хӑлхасӑр
677,kräftig::A,могутній,хӑватлӑ
678,stark::A,сильний,вирлӗ
679,schwach::A,слабкий,халсӑр
680,fett::A,жирний,самӑр
681,fett::A,жирний,мӑнтӑр
682,fett::A,товстий,самӑр
683,fett::A,товстий,мӑнтӑр
684,schlank::A,тонкий,йӑрӑс
685,schlank::A,тонкий,яштака
686,schlank::A,стрункий,йӑрӑс
687,schlank::A,стрункий,яштака
688,hübsch::A,чарівний,хитре
689,böse::A,злий,усал
690,böse::A,лихий,усал
691,dumm::A,дурний,ухмах
692,faul::A,ледачий,наян
693,faul::A,ледачий,юлхав
694,faul::A,ледачий,ӳркенчӗк
695,fleißig::A,старанний,хастар
696,geizig::A,скупий,хытӑ
697,klug::A,мудрий,ӑслӑ
698,klug::A,розумний,ӑслӑ
699,geschickt::A,умілий,ӑста
700,lieb::A,милий,савнӑ
701,lustig::A,веселий,хаваслӑ
702,sanft::A,лагідний,ачаш
703,hungrig::A,голодний,выҫӑ
704,krank::A,слабий,чирлӗ
705,nackt::A,голий,ҫара
706,traurig::A,сумний,салхуллӑ
707,lebendig::A,живий,чӗрӗ
708,gut::A,добрий,аван
709,gut::A,добрий,лайӑх
710,schlecht::A,поганий,япӑх
711,schlecht::A,поганий,начар
712,schlecht::A,кепський,япӑх
713,schlecht::A,кепський,начар
714,richtig::A,правильний,тӗрӗс
715,schlimm::A,бридкий,йӗрӗнчӗк
716,wahr::A,справжній,чӑн
717,alt::A,старий,кивӗ
718,neu::A,новий,ҫӗнӗ
719,ehemalig::A,колишній,пулнӑ
720,alt[Lebewesen]::A,старий,ватӑ
721,jung::A,молодий,яш
722,jung::A,молодий,ҫамрӑк
723,arm::A,бідний,чухӑн
724,reich::A,багатий,пуян
725,bekannt::A,знайомий,пӗлӗш
726,berühmt::A,славетний,чаплӑ
727,fremd::A,чужий,ют
728,verschieden::A,різний,расна
729,nah::A,близький,ҫывӑх
730,nah::A,близький,ҫывӑхри
731,fern::A,далекий,инҫе
732,fern::A,далекий,аякри
733,linker::A,лівий,сулахай
734,rechter::A,правий,сылтӑм
735,anderer::A,інакший,урӑх
736,erster::A,перший,пӗрремӗш
737,zweiter::A,другий,иккӗмӗш
738,dritter::A,третій,виҫҫӗмӗш
739,letzter::A,останній,юлашки
740,allein::ADV,сам,пӗччен
