,Concept_ID,av,he
217,Großmutter::N,кӏодо,סבתא
218,Eltern::N,эбел-эмен,הורים
219,Vater::N,эмен,אב
220,Mutter::N,эбел,אם
221,Sohn::N,вас,בן
222,Tochter::N,яс,בת
223,Bruder::N,вац,אח
224,Schwester::N,яц,אחות
225,Onkel::N,даци,דוד
226,Tante::N,ада,דודה
227,Ehemann::N,рос,איש
228,Ehemann::N,рос,בעל
229,Ehefrau::N,чӏужу,אשה
230,Freude::N,ракӏбохи,שמחה
231,Gelächter::N,релъи,צחוק
232,Glück::N,талихӏ,אשר
233,Glück::N,талихӏ-рохел,אשר
234,Kummer::N,хӏалкъай,יגון
235,Kummer::N,хӏалкъай,עגמה
236,Wunsch::N,къасд,אחול
237,Wunsch::N,къасд,משאלה
238,Lust::N,гъира,חשק
239,Lust::N,гъира,תשוקה
240,Geist::N,чӏанкӏ,רוח
241,Geist::N,рухӏ-жан,רוח
242,Gedanke::N,пикру,מחשבה
243,Verstand::N,лумалъи,שכל
244,Verstand::N,цӏодорлъи,שכל
245,Sinn::N,магӏна,מובן
246,Sinn::N,магӏна,משמעות
247,Grund::N,багьана,סבה
248,Wahrheit::N,ритӏухълъи,אמת
249,Gespräch::N,накъит,דיון
250,Märchen::N,маргьа,אגדה
251,Erzählung::N,къиса,ספור
252,Nachricht::N,хабар,ידיעה
253,Neuigkeit::N,хабар-гӏазаб,חדשה
254,Name::N,цӏар,שם
255,Rätsel::N,бицанкӏо,תעלומה
256,Rede::N,речь,נאום
257,Rede::N,калам,נאום
258,Sprache::N,мацӏ,לשון
259,Stimme::N,гьаракь,קול
260,Wort::N,рагӏи,מלה
261,Zeichen::N,ишара,סימן
262,Zeichen::N,гӏаламат,סימן
263,Ruf::N,ахӏи,קריאה
264,Lärm::N,хъуй,רעש
265,Lärm::N,хъуди,רעש
266,Laut::N,гьаракь,הגה
267,Laut::N,сас,הגה
268,Lied::N,кечӏ,שיר
269,Ruhe::N,рахӏат,שלוה
270,Leute::N,гӏадамал,אנשים
271,Volk::N,халкъ,עם
272,Arbeit::N,хӏалтӏи,עבודה
273,Gast::N,гьобол,אורח
274,Geschenk::N,сайигъат,מתנה
275,Spiel::N,хӏай,משחק
276,Spiel::N,расанди,משחק
277,Gesellschaft::N,жамагӏат,חברה
278,Hilfe::N,кумек,עזרה
279,Freund::N,гьудул,חבר
280,Freund::N,гьудул,ידיד
281,Kamerad::N,гьалмагъ,רע
282,Angelegenheit::N,къваригӏел,ענין
283,Anzahl::N,рикӏкӏен,מספר
284,Art::N,жинс,סוג
285,Stück::N,кесек,חתיכה
286,Teil::N,пай,פרק
287,Hälfte::N,бащдаб,חצי
288,Kreis::N,гор,מעגל
289,Kreuz::N,хъанч,צלב
290,Linie::N,мухъ,קו
291,Strich::N,хӏучч,קו קצר
292,Abstand::N,манзил,מרחק
293,Entfernung::N,манзил,מרחק
294,Gegend::N,рахъ,נוף
295,Platz::N,бакӏ,שטח
296,Ort::N,бакӏ,אתר
297,Ort::N,бакӏ,מקום
298,Seite::N,рахъ,צד
299,Mitte::N,бакьулъбакӏ,אמצע
300,Gegenstand::N,жо,אוביקט
301,Sache::N,жо,דבר
302,Rand::N,мицӏир,פרור
303,Kante::N,рагӏал,קצה
304,Kante::N,рагӏа-ракьан,קצה
305,Ecke::N,цили,פנה
306,Spitze::N,тӏогь,קצה
307,Ende::N,кӏал,סוף
308,Loch::N,каратӏ,חר
309,Muster::N,накъиш,תבנית
310,Größe::N,кӏодо́лъи,גדל
311,Länge::N,халалъи,ארך
312,Höhe::N,борхалъи,קומה
313,Höhe::N,борхалъи,גבה
314,Gewicht::N,бакӏлъи,משקל
315,Haufen::N,гъуни,ערמה
316,Reihe::N,ирга́,רצף
317,Boot::N,раса,סירה
318,Ruder::N,раххан,משוט
319,Schlitten::N,чанагъ,מזחלת
320,Ski::N,лыжаби,מגלשים
321,Lagerfeuer::N,цӏа,מדורה
322,Last::N,бакӏлъи,משא
323,Gang::N,хьвади,הליכה
324,Gang::N,хьвада-чӏвади,הליכה
325,Schritt::N,гали,צעד
326,Norden::N,шимал,צפון
327,Süden::N,юг,דרום
328,Süden::N,къибла,דרום
329,Westen::N,гъарб,מערב
330,Westen::N,магъриб,מערב
331,Osten::N,шаркъ,מזרח
332,Osten::N,машрикъ,מזרח
333,Holz::N,цӏул,עץ
334,Brett::N,хъарщи,קרש
335,Platte::N,къоно,לוח
336,Stange::N,гӏер,מוט
337,Stock::N,тӏил,מקל
338,Stab::N,гӏер,מוט
339,Rohr::N,турба,צנור
340,Haus::N,ригь,בית
341,Haus::N,рукъзал,בית
342,Heim::N,рукъ,בית
343,Ofen::N,печь,תנור
344,Fußboden::N,чӏабар,רצפה
345,Tisch::N,стол,שלחן
346,Stuhl::N,бакӏу,כסא
347,Wiege::N,кини,ערש
348,Bett::N,кровать,מטה
349,Regal::N,хъарщи,מדף
350,Kiste::N,ящик,תבה
351,Kiste::N,ящик,ארגז
352,Kiste::N,тӏалагъуд,תבה
353,Kiste::N,тӏалагъуд,ארגז
354,Fenster::N,гордо,חלון
355,Tür::N,нуцӏа,דלת
356,Tor::N,каву,שער
357,Zaun::N,раци,גדר
358,Dach::N,тӏох,גג
359,Leiter::N,мали,סלם
360,Besen::N,жул,מטאטא
361,Spaten::N,бел,את
362,Schaufel::N,раххан,את
363,Gabel::N,гӏучӏ,מזלג
364,Löffel::N,гъуд,כף
365,Messer::N,нус,סכין
366,Nagel::N,магӏ,מסמר
367,Netz::N,гьин,רשת
368,Haken::N,гъанцӏа,וו
369,Haken::N,гъанцӏа,קרס
370,Griff::N,гӏоркь,ידית
371,Schloss::N,кӏулал,מנעול
372,Bild::N,сурат,תמונה
373,Puppe::N,нани,בבה
374,Beutel::N,таргьа,שק
375,Bündel::N,къай,צרור
376,Tasche::N,сумка,שקית
377,Tasche::N,къвачӏа,שקית
378,Eimer::N,ведро,דלי
379,Deckel::N,тӏалъел,מכסה
380,Deckel::N,дадитӏалъел,מכסה
381,Geschirr::N,цӏарагӏ,כלים
382,Sack::N,хъап,שק
383,Sack::N,къандалъо,שק
384,Tasse::N,чашка,ספל
385,Topf::N,хьаг,סיר
386,Kessel::N,хьаг,קנקן
387,Kessel::N,гереги,קנקן
388,Essen::N,тӏагӏам,אכל
389,Essen::N,тӏагӏам,ארוחה
390,Nahrung::N,квен,הזנה
391,Nahrung::N,квен,תזונה
392,Speise::N,квен,מאכל
393,Speise::N,квен,ארוחה
394,Fleisch::N,гьан,בשר
395,Getreide::N,бугӏа-ролъ,דגן
396,Getreide::N,могьолабл_культураби,דגן
397,Brei::N,карщ,מחית
398,Brot::N,чед,לחם
399,Scheibe::N,мочӏу,עגול
400,Scheibe::N,мочӏу,פרוסה
401,Fett::N,беэнлъи,שמן
402,Butter::N,нах,חמאה
403,Öl::N,нах,שמן
404,Salz::N,цӏам,מלח
405,Suppe::N,чурпа,מרק
406,Honig::N,гьоцӏо,דבש
407,Milch::N,рахь,חלב
408,Tee::N,чай,תה
409,Leder::N,тӏом,עור
410,Wolle::N,квас,צמר
411,Stoff::N,ххам,בד
412,Stoff::N,ххам,אריג
413,Nadel::N,рокӏкӏен,מחט
414,Faden::N,кун,חוט
415,Knopf::N,маргъал,כפתור
416,Knoten::N,гарацӏ,קשר
417,Farbe::N,релъен,צבע
418,Kleidung::N,ретӏел,בגדים
419,Hemd::N,гурде,חלצה
420,Kragen::N,габур,צוארון
421,Ärmel::N,къвал,שרוול
422,Hose::N,тӏажу,מכנסים
423,Gürtel::N,рачел,חגורה
424,Mütze::N,тӏагъур,כובע
425,Stiefel::N,этек,מגף
426,Stiefel::N,чакма,מגף
427,Ring::N,баргъич,טבעת
428,Band::N,лента,סרט
429,Kamm::N,гьоркьо,מסרק
430,Spiegel::N,матӏу,מראה
431,Riemen::N,рижу,רצועה
432,Decke::N,одея́ло,שמיכה
433,Kissen::N,къандалъо,כרית
434,Tuch::N,квархьи,צעיף
435,Handtuch::N,беркӏалрацӏцӏ,מגבת
436,Kraft::N,гуч,כוח
437,Kraft::N,къуват,כוח
438,Stärke::N,хӏалкӏвей,און
439,Gesundheit::N,сахлъи́,בריאות
440,Krankheit::N,унти,מחלה
441,Krankheit::N,щокълъи,מחלה
442,Schmerz::N,унти,כאב
443,Wunde::N,ругъун,פציעה
444,Fieber::N,цӏа-кан,חם
445,Arznei::N,дару,תרופה
446,Brücke::N,кьо,גשר
447,Brunnen::N,гъуй,באר
448,Weide::N,рицӏцӏ,אחו
449,Weide::N,рицӏцӏ,מרעה
450,Weide::N,лъичӏирма,אחו
451,Weide::N,лъичӏирма,מרעה
452,Weide::N,гӏурдаллъи,אחו
453,Weide::N,гӏурдаллъи,מרעה
454,Weide::N,ри́цӏигъветӏ,אחו
455,Weide::N,ри́цӏигъветӏ,מרעה
456,Weide::N,рицӏцӏигъветӏ,אחו
457,Weide::N,рицӏцӏигъветӏ,מרעה
458,Pfad::N,сухъмахъ,שביל
459,Pfad::N,сухъмахъ,מדרכה
460,Weg::N,нух,דרך
461,Straße::N,нух,כביש
462,Dorf::N,росу,כפר
463,Stadt::N,шагьар,עיר
464,Brief::N,кагъат,מכתב
465,Brief::N,рисалат,מכתב
466,Buch::N,тӏехь,ספר
467,Buchstabe::N,хӏарп,אות
468,Zeitung::N,газет,עתון
469,Leben::N,яшав,חיים
470,Tod::N,хвел,מות
471,Grab::N,хоб,קבר
472,Kirche::N,килиса,כנסיה
473,Sünde::N,хӏакъ,חטא
474,Sünde::N,мунагь,חטא
475,Gott::N,бичас,אל
476,Gott::N,аллагь,אל
477,Arbeiter::N,хӏалтӏухъан,פועל
478,Chef::N,хӏаким,ראש
479,Chef::N,хӏаким,מנהל
480,Chef::N,начальник,ראש
481,Chef::N,начальник,מנהל
482,Meister::N,устар,ממחה
483,Meister::N,мастер,ממחה
484,Meister::N,махщалилав,ממחה
485,Arzt::N,жайрахӏ,רופא
486,Lehrer::N,мугӏалим,מורה
487,Geld::N,гӏарац,כסף
488,Laden::N,тукен,חנות
489,Preis::N,багьа,מחיר
490,Ware::N,къайи,סחורה
491,Nutzen::N,мунпагӏат,תועלת
492,Reichtum::N,бечелъи,עשר
493,Welt::N,дуниял,עולם
494,Land::N,улка,ארץ
495,Land::N,икълим,ארץ
496,Staat::N,пачалихъ,מדינה
497,König::N,пача,מלך
498,König::N,малик,מלך
499,König::N,къирал,מלך
500,König::N,падишагь,מלך
501,Macht::N,кверщел,כוח
502,Grenze::N,гӏорхъи,גבול
503,Krieg::N,рагъ,מלחמה
504,Feind::N,тушман,אויב
505,Gewalt::N,зулму,אלימות
506,Kampf::N,къеркьей,קרב
507,Kampf::N,къеркьей,לחימה
508,Bogen[Waffe]::N,газаргъо,קשת
509,Pfeil::N,чӏор,חץ
510,Gewehr::N,туманкӏ,רובה
511,Fehler::N,гъалатӏ,טעות
512,Lüge::N,гьереси,שקר
513,Schaden::N,зиян,נזק
514,Schaden::N,зарал,נזק
515,Unglück::N,балагь,מזל רע
516,Schuld::N,гӏайиб,אשמה
517,Alter::N,гӏумру,גיל
518,Schluss::N,ахир,סיום
519,Zeit::N,заман,זמן
520,Tag::N,къо,יום
521,Morgen::N,радалмех,בקר
522,Mittag::N,къадемех,צהרים
523,Abend::N,релъедамех,ערב
524,Nacht::N,сордо,לילה
525,Woche::N,анкь,שבוע
526,Monat::N,моцӏ,חדש
527,Jahr::N,сон,שנה
528,Jahr::N,лъагӏел,שנה
529,Frühling::N,их,אביב
530,Sommer::N,рии,קיץ
531,Herbst::N,хасалихълъи,סתו
532,Winter::N,кьин,חרף
533,Januar::N,январь,ינואר
534,Februar::N,февра́ль,פברואר
535,März::N,март,מרץ
536,April::N,апрель,אפריל
537,Mai::N,май,מאי
538,Juni::N,июнь,יוני
539,Juli::N,июль,יולי
540,August::N,август,אוגוסט
541,September::N,сентябрь,ספטמבר
542,Oktober::N,октябрь,אוקטובר
543,November::N,ноябрь,נובמבר
544,Dezember::N,декабрь,דצמבר
545,Montag::N,итни,יום שני
546,Dienstag::N,талат,יום שלישי
547,Mittwoch::N,арбагӏ,יום רביעי
548,Donnerstag::N,хамиз,יום חמישי
549,Freitag::N,рузман,יום ששי
550,Samstag::N,щамат,יום שבת
551,Sonntag::N,гьатӏан,יום ראשון
552,groß::A,кӏудияб,גדול
553,klein::A,гьитӏинаб,קטן
554,lang::A,халатаб,ארך
555,kurz::A,къокъаб,קצר
556,breit::A,гӏебаб,רחב
557,schmal::A,къваридаб,צר
558,dicht::A,ризаб,צפוף
559,dick[Gegenstand]::A,бицатаб,עבה
560,dünn::A,тӏеренаб,דק
561,fein::A,тӏеренаб,מעדן
562,fest::A,къвакӏараб,מוצק
563,flach::A,чӏепараб,שטוח
564,glatt::A,цӏвакараб,חלק
565,hart::A,кьварараб,קשיח
566,weich::A,тамахаб,רך
567,rund::A,гургинаб,עגל
568,spitz::A,бегӏераб,חד
569,scharf::A,рекӏараб,חד
570,stumpf::A,тӏехӏараб,קהה
571,stumpf::A,рекӏинчӏеб,קהה
572,schwer::A,бакӏаб,כבד
573,schön::A,берцинаб,יפה
574,heiß::A,лагьараб,חם
575,warm::A,хинаб,חם
576,kalt::A,квачараб,קר
577,kühl::A,квачараб,צונן
578,frisch::A,цӏияб,טרי
579,feucht::A,рагьараб,לח
580,nass::A,би́ччараб,רטוב
581,trocken::A,бакъвараб,יבש
582,leer::A,чӏобогояб,ריק
583,offen::A,рагьараб,פתוח
584,geschlossen::A,рахараб-къараб,סגור
585,sauber::A,бацӏцӏадаб,נקי
586,schmutzig::A,гъизараб,מלכלך
587,roh::A,хамаб,חי
588,roh::A,гӏатӏгояб,חי
589,reif::A,барщараб,בשל
590,lecker::A,тӏагӏамаб,טעים
591,süß::A,гьуинаб,מתוק
592,bitter::A,кьогӏаб,מר
593,sauer::A,цӏекӏаб,חמוץ
594,hell::A,канаб,בהיר
595,dunkel::A,бецӏаб,עמום
596,schwarz::A,чӏегӏераб,שחר
597,weiß::A,хъахӏаб,לבן
598,rot::A,багӏараб,אדם
599,gelb::A,гӏобилаб,צהב
600,gelb::A,тӏогьилаб,צהב
601,blau::A,хъахӏилаб,כחל
602,grün::A,гӏурччинаб,ירק
603,grau::A,накӏкӏуяб,אפר
604,bunt::A,къвекӏаб,צבעוני
605,bunt::A,чара-гъараб,צבעוני
606,billig::A,учузаб,זול
607,teuer::A,хири́яб,יקר
608,wertvoll::A,къиматаб,יקר ערך
609,blind::A,беццаб,עור
610,taub::A,гъугъаб,חרש
611,kräftig::A,гучаб,חסן
612,stark::A,къуватаб,חזק
613,schwach::A,гӏажизаб,חלש
614,fett::A,кьарияб,שמן
615,schlank::A,чергесаб,רזה
616,hübsch::A,гьайбатаб,יפה תאר
617,böse::A,ракӏквешаб,רשע
618,dumm::A,гьагаб,טפש
619,dumm::A,гӏантаб,טפש
620,faul::A,кӏохӏалаб,עצלן
621,faul::A,кӏухӏа́лаб,עצלן
622,fleißig::A,хӏаракатаб,חרוץ
623,geizig::A,къарумаб,קמצן
624,klug::A,лумияб,נבון
625,klug::A,лумияб,פקח
626,geschickt::A,махщел бугев,מימן
627,lieb::A,гӏазизаб,יקר
628,lieb::A,гӏазизаб,אהוב
629,lustig::A,кепаб,עליז
630,sanft::A,хӏалимаб,עדין
631,sanft::A,хӏере́наб,עדין
632,hungrig::A,бакъараб,רעב
633,krank::A,щокъаб,חולה
634,krank::A,унтараб,חולה
635,nackt::A,гӏицӏаб,ערום
636,nackt::A,чӏанкӏараб,ערום
637,traurig::A,пашманаб,עצוב
638,lebendig::A,чӏагояб,חי
639,gut::A,лъикӏаб,טוב
640,schlecht::A,къадараб,גרוע
641,richtig::A,битӏараб,נכון
642,schlimm::A,нажасаб,רע
643,schlimm::A,къабихӏаб,רע
644,wahr::A,хӏакъаб,אמתי
645,wahr::A,битӏараб,אמתי
646,alt::A,басрияб,ישן
647,neu::A,цӏияб,חדש
648,ehemalig::A,цебе́госеб,לשעבר
649,alt[Lebewesen]::A,хераб,זקן
650,jung::A,тӏинчӏаб,צעיר
651,jung::A,гӏолохъанаб,צעיר
652,arm::A,пакъираб,עני
653,reich::A,бечедаб,עשיר
654,bekannt::A,лъалеб,ידוע
655,berühmt::A,машгьураб,מפרסם
656,fremd::A,чияр,זר
657,verschieden::A,батӏи-батӏияб,שונה
658,nah::A,гӏагарда бугеб,קרוב
659,fern::A,рикӏкӏадаб,רחוק
660,linker::A,квегӏаб,שמאלי
661,rechter::A,кваранаб,ימין
662,anderer::A,батӏияб,אחר
663,erster::A,тӏоцебесеб,ראשון
664,zweiter::A,кӏиабилеб,שני
665,dritter::A,лъабабилеб,שלישי
666,letzter::A,ахирисеб,אחרון
667,allein::ADV,ялгъузго,לבד
668,auf einmal::ADV,цихӏинтӏаго,בו-זמנית
669,zusammen::ADV,цойида,ביחד
670,plötzlich::ADV,цойидасанго,לפתע
671,plötzlich::ADV,цойидасанго,פתאום
672,sofort::ADV,гьебсагӏат,מיד
673,jetzt::ADV,гьанже,עכשיו
674,heute::ADV,жакъа,היום
675,morgen::ADV,метер,מחר
676,bald::ADV,гьабсагӏаталъ,בקרוב
677,dann::ADV,цинги,אחר-כך
678,gestern::ADV,сон,אתמול
679,einst::ADV,цин,לפנים
680,damals::ADV,гьебмехалъ,אז
681,damals::ADV,гьебмехалда,אז
682,danach::ADV,цинги,אחר-כך
683,danach::ADV,хадуса,אחר-כך
684,vorher::ADV,цебе,לפני זה
685,zuerst::ADV,тӏоцебе,קדם
686,einmal::ADV,цинцӏул,פעם
687,einmal::ADV,цихӏин,פעם
688,einmal::ADV,цоцӏул,פעם
689,manchmal::ADV,олоцӏул,לפעמים
690,oft::ADV,гӏемерго,לעתים קרובות
691,immer::ADV,кидаго,תמיד
692,niemals::ADV,киданиги,אף פעם
693,hier::ADV,аниб,כאן
694,hierhin::ADV,анибехун,פה
695,von hier::ADV,гьаниса,מפה
696,dort::ADV,гьениб,שם
697,dorthin::ADV,гьадаба,שם
698,geradeaus::ADV,битӏутӏа,ישר
699,vorwärts::ADV,цебехун,קדימה
700,rückwärts::ADV,нахъ-нахъ,לאחור
701,zurück::ADV,нахъе,בחזרה
702,zurück::ADV,нахъе,אחורנית
703,unten::ADV,ахакь,למטה
704,unten::ADV,гъоркь,למטה
705,hinab::ADV,эхебе,למטה
706,oben::ADV,тӏад,מעל
707,oben::ADV,тӏад,למעלה
708,oben::ADV,тӏадехун,מעל
709,oben::ADV,тӏадехун,למעלה
710,hinauf::ADV,эхеде,למעלה
711,überall::ADV,кибго,בכל מקום
712,ein wenig::ADV,дагьабго,קצת
713,kaum::ADV,хӏалалъ,בקשי
714,sehr::ADV,кутакалда,מאוד
715,so::ADV,гьедин,כך
716,so::ADV,гьедин,ככה
717,noch::ADV,жеги,עוד
718,noch::ADV,жеги,עדין
719,nur::ADV,гӏӣцӏго,רק
720,wieder::ADV,на́хъеги,שוב
721,vergebens::ADV,чӏалгӏаде,לריק
722,vergebens::ADV,чӏалгӏаде,לשוא
723,vor::PRP,цебе,מול
724,hinter::PRP,хадуса,מאחורי
725,unter::PRP,ахакь,מתחת
726,unter::PRP,гъоркь,מתחת
727,neben::PRP,аскӏо,ליד
728,neben::PRP,аскӏо,על-יד
729,zwischen::PRP,гьоркьоб,בין
730,wegen::PRP,гьелда,בשל
731,wegen::PRP,гьелда,בגלל
732,dies::PRN,гьаб,זה
733,dies::PRN,гьеб,זה
734,das::PRN,доб,זה
735,ich::PRN,дун,אני
736,du::PRN,дуца,את
737,du::PRN,дуца,אתה
738,er::PRN,доб,הוא
739,wir::PRN,ниж,אנחנו
740,ihr::PRN,нуж,לה
