,Concept_ID,ml,sl
110,Gipfel::N,ഉച്ചകോടി,vŕh
111,Höhle::N,ഗുഹ,jáma
112,Höhle::N,ഗുഹ,votlína
113,Abhang::N,ചരിവ്,pobóčje
114,Quelle::N,ഉറവിടം,izvír
115,Bach::N,അരുവി,pôtok
116,Fluss::N,നദി,réka
117,Ufer::N,തീരം,brég
118,Küste::N,കടൽത്തീരം,obála
119,Küste::N,കടൽത്തീരം,obréžje
120,Festland::N,കര,celína
121,Festland::N,കര,kopnína
122,Meer::N,കടൽ,mórje
123,Bucht::N,ഉൾക്കടല്,zalív
124,Insel::N,ദ്വീപ്,ôtok
125,Blume::N,പൂവ്,cvetlíca
126,Gras::N,പുല്ല്,tráva
127,Wurzel::N,വേര്,korenína
128,Baum::N,മരം,drevó
129,Stamm::N,തായ്ത്തടി,dêblo
130,Rinde::N,പട്ട,lúbje
131,Rinde::N,പട്ട,skórja
132,Ast::N,ശാഖ,véja
133,Zweig::N,ശാഖ,véja
134,Blatt::N,ഇല,líst
135,Birke::N,പൂവരശ്,bréza
136,Kiefer[Baum]::N,പൈൻമരം,bòr
137,Weide[Baum]::N,വില്ലോ,vŕba
138,Tanne::N,ദേവദാരു,hója
139,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,róg
140,Feder::N,തൂവൽ,peró
141,Fell::N,മൃദുരോമം,kŕzno
142,Flügel::N,ചിറക്,krílo
143,Klaue::N,നഖം,párkelj
144,Kralle::N,നഖം,krémpelj
145,Schwanz::N,വാൽ,rèp
146,Ei::N,മുട്ട,jájce
147,Nest::N,കൂട്,gnézdo
148,Bau::N,മാളം,brlòg
149,Tier::N,മൃഗം,živál
150,Herde::N,കൂട്ടം,čréda
151,Kuh::N,പശു,kráva
152,Bulle::N,കാള,bìk
153,Pferd::N,കുതിര,kònj
154,Schaf::N,ആട്,ôvca
155,Schwein::N,പന്നി,svínja
156,Hund::N,നായ്,pès
157,Katze::N,പൂച്ച,máčka
158,Bär::N,കരടി,mêdved
159,Eichhörnchen::N,അണ്ണാൻ,véverica
160,Elch::N,കടമാന്,lós
161,Fuchs::N,കുറുക്കൻ,lisíca
162,Hase::N,മുയൽ,zájec
163,Maus::N,ചുണ്ടലി,mìš
164,Wolf::N,ചെന്നായ,vólk
165,Vogel::N,പക്ഷി,ptìč
166,Vogel::N,പക്ഷി,ptíca
167,Schwarm::N,കൂട്ടം,játa
168,Huhn::N,കോഴി,kokóš
169,Hahn::N,പൂവൻകോഴി,petêlin
170,Gans::N,അരയന്നം,gós
171,Adler::N,കഴുകൻ,ôrel
172,Ente::N,താറാവ്,ráca
173,Eule::N,മൂങ്ങ,sôva
174,Kranich::N,കൊക്ക്,žerjàv
175,Krähe::N,കാക്ക,vrána
176,Kuckuck::N,കുയിൽ,kúkavica
177,Schwan::N,അരയന്നം,labód
178,Fisch::N,മത്സ്യം,ríba
179,Barsch::N,ഒരിനം മത്സ്യം,ostríž
180,Hecht::N,ഒരു മത്സ്യം,ščúka
181,Schlange[Tier]::N,പാമ്പ്,káča
182,Wurm::N,വിര,čr̀v
183,Wurm::N,വിര,glísta
184,Spinne::N,ചിലന്തി,pájek
185,Ameise::N,ഉറുമ്പ്,mrávlja
186,Laus::N,പേന്,úš
187,Mücke::N,മശകം,komár
188,Fliege::N,ഈച്ച,múha
189,Schmetterling::N,ചിത്രശലഭം,metúlj
190,Beere::N,ബെറി,jágoda
191,Apfel::N,ആപ്പിൾ,jábolko
192,Pilz::N,കൂൺ,góba
193,Zwiebel::N,സവാള,čebúla
194,Saat::N,വിത്ത്,séme
195,Korn::N,ധാന്യം,zŕno
196,Heu::N,വയ്ക്കോൽ,senó
197,Schale::N,തൊലി,lupína
198,Grube::N,കുഴി,jáma
199,Falle::N,കെണി,pást
200,Schlinge::N,കുടുക്ക്,zánka
201,Schlinge::N,കുടുക്ക്,pêtlja
202,Spur::N,ചുവട്,sléd
203,Asche::N,ചാരം,pepél
204,Dreck::N,അഴുക്ക്,bláto
205,Eisen::N,ഇരുമ്പ്,želézo
206,Gold::N,സ്വർണ്ണം,zlató
207,Silber::N,വെള്ളി,srebró
208,Kohle::N,കൽക്കരി,ógel
209,Glas::N,ഗ്ലാസ്,stêklo
210,Lehm::N,കളിമണ്ണ്,ílo
211,Sand::N,മണൽ,pések
212,Mensch::N,മനുഷ്യർ,člôvek
213,Mann::N,പുരുഷൻ,móž
214,Mann::N,പുരുഷൻ,môški
215,Frau::N,സ്ത്രീ,gospá
216,Frau::N,സ്ത്രീ,žénska
217,Kind::N,കുഞ്ഞ്,déte
218,Kind::N,കുഞ്ഞ്,otròk
219,Junge::N,ആൺകുട്ടി,fànt
220,Junge::N,ആൺകുട്ടി,déček
221,Mädchen::N,പെൺകുട്ടി,deklè
222,Mädchen::N,പെൺകുട്ടി,déklica
223,Familie::N,കുടുംബം,družína
224,Großvater::N,അപ്പൂപ്പൻ,dèd
225,Großvater::N,അപ്പൂപ്പൻ,dédek
226,Großmutter::N,അമ്മുമ്മ,bábica
227,Eltern::N,മാതാപിതാക്കള്,stárši
228,Vater::N,അച്ഛൻ,ôče
229,Mutter::N,അമ്മ,máma
230,Sohn::N,മകൻ,sín
231,Tochter::N,മകൾ,hčí
232,Tochter::N,മകൾ,hčérka
233,Bruder::N,ചേട്ടൻ,bràt
234,Bruder::N,അനിയൻ,bràt
235,Schwester::N,ചേച്ചി,sêstra
236,Schwester::N,അനിയത്തി,sêstra
237,Onkel::N,അമ്മാവൻ,újec
238,Onkel::N,അമ്മാവൻ,stríc
239,Tante::N,മാമി,têta
240,Tante::N,മാമി,strína
241,Ehemann::N,ഭർത്താവ്,móž
242,Ehemann::N,ഭർത്താവ്,sopróg
243,Ehefrau::N,ഭാര്യ,žêna
244,Ehefrau::N,ഭാര്യ,sopróga
245,Freude::N,ആഹ്ലാദം,rádost
246,Freude::N,ആഹ്ലാദം,vesêlje
247,Gelächter::N,ചിരിയുടെ ശബ്ദം,sméh
248,Gelächter::N,ചിരിയുടെ ശബ്ദം,grohòt
249,Glück::N,സന്തോഷം,sréča
250,Glück::N,സന്തുഷ്ടി,sréča
251,Kummer::N,ശോകം,gorjé
252,Wunsch::N,ആഗ്രഹം,žêlja
253,Lust::N,ആഗ്രഹം,poželênje
254,Geist::N,ചുറുചുറുക്ക്,dúša
255,Gedanke::N,ചിന്ത,mísel
256,Gedächtnis::N,ഓർമ്മശക്തി,pámet
257,Verstand::N,മനസ്സ്,
258,Sinn::N,അർത്ഥം,pomèn
259,Sinn::N,അർത്ഥം,smísel
260,Grund::N,കാരണം,vzròk
261,Wahrheit::N,സത്യം,resníca
262,Gespräch::N,സല്ലാപം,pogóvor
263,Märchen::N,യക്ഷിക്കഥ,právljica
264,Erzählung::N,കഥ,povést
265,Nachricht::N,സന്ദേശം,sporočílo
266,Neuigkeit::N,വാർത്ത,novóst
267,Name::N,പേര്,imé
268,Rätsel::N,പ്രഹേളിക,ugánka
269,Rede::N,സംസാരം,góvor
270,Sprache::N,ഭാഷ,jêzik
271,Stimme::N,സ്വരം,glás
272,Wort::N,വാക്ക്,beséda
273,Zeichen::N,സംജ്ഞ,znák
274,Ruf::N,വിളി,klíc
275,Lärm::N,ആരവം,hrúp
276,Lärm::N,ആരവം,trúšč
277,Laut::N,ശബ്ദം,glás
278,Ton::N,സ്വരഭേദം,tón
279,Lied::N,പാട്ട്,pésem
280,Ruhe::N,നിശ്ചലത,pokòj
281,Leute::N,ജനങ്ങൾ,ljudjé
282,Volk::N,രാഷ്ടം,národ
283,Arbeit::N,ജോലി,délo
284,Gast::N,അതിലി,gòst
285,Geschenk::N,സമ്മാനം,darílo
286,Spiel::N,കളി,ígra
287,Gesellschaft::N,കൂട്ടായ്മ,drúžba
288,Hilfe::N,സഹായം,pomóč
289,Freund::N,സുഹൃത്ത്,prijátelj
290,Kamerad::N,കൂട്ടാളി,továriš
291,Angelegenheit::N,കാര്യം,zadéva
292,Anzahl::N,എണ്ണം,števílo
293,Art::N,തരം,vŕsta
294,Stück::N,കഷണം,kós
295,Teil::N,ഭാഗം,dél
296,Hälfte::N,പകുതി,polovíca
297,Kreis::N,വൃത്തം,króg
298,Kreis::N,വൃത്തം,kolobár
299,Kreuz::N,കുരിശടയാളം,kríž
300,Linie::N,വര,próga
301,Linie::N,രേഖ,próga
302,Strich::N,പക്ഷാഘാതം,čŕta
303,Abstand::N,വിടവ്,preslédek
304,Entfernung::N,അകലം,oddáljenost
305,Gegend::N,പ്രദേശം,kràj
306,Gegend::N,പ്രദേശം,dežêla
307,Platz::N,ഇടം,prôstor
308,Ort::N,സ്ഥലം,mésto
309,Seite::N,വശം,bòk
310,Seite::N,വശം,strán
311,Mitte::N,മധ്യസ്ഥാനം,sredína
312,Gegenstand::N,സാധനം,prédmet
313,Sache::N,വസ്തു,réč
314,Sache::N,വസ്തു,stvár
315,Rand::N,തൊങ്ങൽ,kràj
316,Kante::N,അറ്റം,rób
317,Ecke::N,മൂല,vogál
318,Spitze::N,അഗ്രം,óst
319,Ende::N,അവസാനം,kônec
320,Loch::N,ദ്വാരം,lúknja
321,Winkel::N,കോൺ,kót
322,Muster::N,ക്രമം,vzórec
323,Größe::N,വലുപ്പം,veličína
324,Länge::N,നീളം,dolžína
325,Höhe::N,ഉയരം,vršína
326,Gewicht::N,കട്ടി,téža
327,Menge::N,അളവ്,količína
328,Haufen::N,കൂമ്പാരം,kùp
329,Haufen::N,കൂമ്പാരം,kopíca
330,Reihe::N,വരി,níz
331,Reihe::N,വരി,vŕsta
332,Boot::N,ബോട്ട്,čóln
333,Ruder::N,പങ്കായം,vêslo
334,Schlitten::N,ഉരുളില്ലാവണ്ടി,saní
335,Ski::N,ഹിമപാദുകം,smučí
336,Lagerfeuer::N,തീ,táborni ôgenj
337,Last::N,ഭാരം,tôvor
338,Gang::N,നടത്തം,hòd
339,Schritt::N,ചുവട്,korák
340,Norden::N,വടക്ക്,séver
341,Süden::N,തെക്ക്,júg
342,Westen::N,പടിഞ്ഞാറ്,zapàd
343,Osten::N,കിഴക്ക്,vzhòd
344,Holz::N,തടി,lés
345,Brett::N,ബോർഡ്,deskà
346,Platte::N,തകിട്,plôča
347,Stütze::N,താങ്ങ്,opóra
348,Stütze::N,താങ്ങ്,zaslómba
349,Stange::N,കമ്പ്,gréd
350,Stock::N,വടി,pálica
351,Stab::N,കുറുവടി,pálica
352,Rohr::N,കുഴൽ,cév
353,Haus::N,വീട്,híša
354,Heim::N,വീട്,dóm
355,Ofen::N,സ്റ്റൌ,péč
356,Fußboden::N,തറ,pòd
357,Tisch::N,മേശ,míza
358,Stuhl::N,കസേര,stòl
359,Wiege::N,തൊട്ടിൽ,zíbel
360,Bett::N,കിടക്ക,póstelja
361,Regal::N,ഷെൽഫ്,políca
362,Kiste::N,പെട്ടി,zabòj
363,Fenster::N,ജനൽ,ôkno
364,Tür::N,വാതിൽ,vráta
365,Tor::N,കവാടം,velíka vráta
366,Zaun::N,വേലി,ográja
367,Dach::N,മേൽക്കുര,stréha
368,Leiter::N,ഏണി,léstev
369,Besen::N,ചൂല്,mêtla
370,Spaten::N,തൂമ്പ,lopáta
371,Schaufel::N,തൂമ്പ,lopáta
372,Gabel::N,മുൾക്കത്തി,vílice
373,Löffel::N,സ്പൂൺ,žlíca
374,Messer::N,കത്തി,nòž
375,Nagel::N,ആണി,žebèlj
376,Netz::N,വല,mréža
377,Haken::N,കൊളുത്ത്,kljúka
378,Griff::N,കൈപ്പിടി,ročáj
379,Griff::N,കൈപ്പിടി,oprijèm
380,Schloss::N,പൂട്ട്,ključávnica
381,Bild::N,ചിത്രം,slíka
382,Figur::N,കണക്ക്,figúra
383,Figur::N,കണക്ക്,postáva
384,Puppe::N,പാവ,lútka
385,Beutel::N,ബാഗ്,môšnja
386,Bündel::N,കെട്ട്,cúla
387,Bündel::N,കെട്ട്,svéženj
388,Tasche::N,ബാഗ്,tórba
389,Tasche::N,ബാഗ്,tobôlec
390,Eimer::N,ബക്കറ്റ്,vêdro
391,Deckel::N,ഉറ,pokròv
392,Deckel::N,ഉറ,poklópec
393,Geschirr::N,പിഞ്ഞാണം,posóda
394,Sack::N,ചാക്ക്,vréča
395,Tasse::N,കപ്പ്,skodélica
396,Topf::N,പാത്രം,lônec
397,Kessel::N,കെറ്റ്ല്,kôtel
398,Essen::N,ആഹാരസമയം,hrána
399,Nahrung::N,ഭക്ഷണം,živílo
400,Speise::N,ഡിഷ്,jéd
401,Fleisch::N,മാംസം,mesó
402,Getreide::N,ചോളം,žíto
403,Brei::N,കഞ്ഞി,káša
404,Brot::N,റോട്ടി,krùh
405,Scheibe::N,തുണ്ട്,réženj
406,Fett::N,കൊഴുപ്പ്,mást
407,Fett::N,കൊഴുപ്പ്,maščôba
408,Butter::N,വെണ്ണ,máslo
409,Öl::N,എണ്ണ,ólje
410,Salz::N,ഉപ്പ്,sól
411,Suppe::N,സൂപ്പ്,júha
412,Honig::N,തേൻ,méd
413,Milch::N,പാൽ,mléko
414,Tee::N,ചായ,čáj
415,Leder::N,തുകൽ,úsnje
416,Wolle::N,കമ്പിളി,vólna
417,Stoff::N,തുണി,blagó
418,Nadel::N,സൂചി,ígla
419,Faden::N,നൂല്,nít
420,Knopf::N,ബട്ടൺ,gúmb
421,Knoten::N,കുരുക്ക്,vôzel
422,Farbe::N,പെയിൻറ്,bárva
423,Kleidung::N,വസ്ത്രങ്ങൾ,obléka
424,Hemd::N,ഷർട്ട്,srájca
425,Kragen::N,കുപ്പായക്കഴുത്ത്,ovrátnik
426,Ärmel::N,കുപ്പായക്കൈ,rokáv
427,Hose::N,ട്രൌസർ,hláče
428,Gürtel::N,ബെൽറ്റ്,pás
429,Mütze::N,തൊപ്പി,kápa
430,Mütze::N,തൊപ്പി,čépica
431,Schuh::N,ഷൂ,čévelj
432,Stiefel::N,ബൂട്ട്,škórenj
433,Ring::N,മോതിരം,pŕstan
434,Band::N,റിബൺ,trák
435,Kamm::N,ചീപ്പ്,glavník
436,Spiegel::N,കണ്ണാടി,zrcálo
437,Spiegel::N,കണ്ണാടി,ogledálo
438,Riemen::N,സ്ട്രാപ്പ്,jêrmen
439,Schnur::N,ചരട്,vŕvca
440,Leine::N,കെട്ടാനുള്ള തോൽവാർ,konôpec
441,Decke::N,പുതപ്പ്,odéja
442,Kissen::N,തലയിണ,blazína
443,Tuch::N,സ്കാർഫ്,pŕt
444,Tuch::N,സ്കാർഫ്,rúta
445,Handtuch::N,തോർത്ത്,brisáča
446,Kraft::N,ശക്തി,síla
447,Stärke::N,ശക്തി,jákost
448,Gesundheit::N,ആരോഗ്യം,zdrávje
449,Krankheit::N,അസുഖം,bolézen
450,Schmerz::N,വേദന,ból
451,Schmerz::N,വേദന,bolečína
452,Wunde::N,മുറിവ്,rána
453,Fieber::N,പനി,vročína
454,Arznei::N,മരുന്ന്,lék
455,Arznei::N,മരുന്ന്,zdravílo
456,Brücke::N,പാലം,móst
457,Brunnen::N,കിണർ,vodnják
458,Weide::N,മേച്ചൽ,páša
459,Pfad::N,വഴി,stezà
460,Weg::N,വഴി,pót
461,Straße::N,റോഡ്,césta
462,Dorf::N,ഗ്രാമം,vás
463,Stadt::N,നഗരം,mésto
464,Brief::N,കത്ത്,písmo
465,Buch::N,പുസ്തകം,knjíga
466,Buchstabe::N,അക്ഷരം,čŕka
467,Zeitung::N,വർത്തമാനപത്രം,čásnik
468,Leben::N,ജീവൻ,življênje
469,Tod::N,മരണം,smŕt
470,Grab::N,ശവക്കുഴി,gròb
471,Kirche::N,പള്ളി,cérkev
472,Sünde::N,പാപം,gréh
473,Gott::N,ദൈവം,bóg
474,Arbeiter::N,ജോലിക്കാരൻ,délavec
475,Chef::N,മേധാവി,šéf
476,Meister::N,യജമാനൻ,mójster
477,Arzt::N,ഡോക്ടർ,zdravník
478,Lehrer::N,അധ്യാപകൻ,učítelj
479,Geld::N,പണം,denár
480,Geschäft::N,ബിസിനസ്,kupčíja
481,Laden::N,കട,trgovína
482,Preis::N,വില,céna
483,Ware::N,ചരക്ക്,róba
484,Nutzen::N,ലാഭം,príd
485,Reichtum::N,ധനം,bogástvo
486,Welt::N,ലോകം,svét
487,Land::N,രാജ്യം,dežêla
488,Staat::N,രാജ്യം,držáva
489,König::N,രാജാവ്,králj
490,Macht::N,അധികാരം,oblást
491,Grenze::N,അതിർത്തി,mêja
492,Krieg::N,യുദ്ധം,vôjna
493,Feind::N,ശത്രു,sovrážnik
494,Gewalt::N,അക്രമം,nasílje
495,Kampf::N,പോരാട്ടം,bòj
496,Kampf::N,പോരാട്ടം,bórba
497,Bogen[Waffe]::N,വില്ല്,lók
498,Pfeil::N,അമ്പ്,puščíca
499,Gewehr::N,തോക്ക്,púška
500,Fehler::N,പിശക്,zmóta
501,Lüge::N,കള്ളം,láž
502,Schaden::N,കേടുപാട്,okvára
503,Unglück::N,ദൌർഭാഗ്യം,nesréča
504,Schuld::N,തെറ്റ്,krívda
505,Alter::N,വയസ്സ്,dôba
506,Schluss::N,നിഗമനം,kônec
507,Zeit::N,സമയം,čàs
508,Tag::N,ദിവസം,dán
509,Morgen::N,പ്രഭാതം,jútro
510,Mittag::N,ഉച്ച,póldan
511,Abend::N,സായാഹ്നം,večér
512,Nacht::N,രാത്രി,nóč
513,Woche::N,ആഴ്ച,téden
514,Monat::N,മാസം,mésec
515,Jahr::N,വർഷം,léto
516,Frühling::N,വസന്തം,pomlád
517,Sommer::N,വേനൽ,polétje
518,Herbst::N,ശരത്കാലം,jesén
519,Winter::N,ശൈത്യം,zíma
520,Januar::N,ജനുവരി,jánuar
521,Februar::N,ഫെബ്രുവരി,fébruar
522,März::N,മാർച്ച്,márec
523,April::N,ഏപ്രിൾ മാസം,apríl
524,Mai::N,മെയ് മാസം,máj
525,Juni::N,ജൂൺ,júnij
526,Juli::N,ജൂലൈ,júlij
527,August::N,ആഗസ്റ്റ്,avgúst
528,September::N,സെപ്തംബർ,septêmber
529,Oktober::N,ഒക്ടോബർ,október
530,November::N,നവംബർ,novêmber
531,Dezember::N,ഡിസംബർ,decémber
532,Montag::N,തിങ്കളാഴ്ച,ponedéljek
533,Dienstag::N,ചൊവ്വ,tôrek
534,Mittwoch::N,ബുധനാഴ്ച,sréda
535,Donnerstag::N,വ്യാഴാഴ്ച,četŕtek
536,Freitag::N,വെള്ളിയാഴ്ച,pétek
537,Samstag::N,ശനിയാഴ്ച,sobóta
538,Sonntag::N,ഞായറാഴ്ച,nedélja
539,groß::A,വലിയ,vêlik
540,klein::A,ചെറിയ,májhen
541,lang::A,നീണ്ട,dólg
542,kurz::A,ഹ്രസ്വമായ,krátek
543,breit::A,വിശാലമായ,širòk
544,schmal::A,ഇടുങ്ങിയ,ózek
545,dicht::A,നിബിഡമായ,góst
546,dick[Gegenstand]::A,തടിച്ച,dêbel
547,dünn::A,മെലിഞ്ഞ,tánek
548,fein::A,നേർത്ത,drôben
549,fest::A,ഉറപ്പുള്ള,tŕden
550,flach::A,പരന്ന,plán
551,flach::A,പരന്ന,plòsk
552,glatt::A,മിനുസമുള്ള,gládek
553,hart::A,കട്ടിയുള്ള,tŕd
554,weich::A,മൃദുവായ,mehák
555,rund::A,വട്ടത്തിലുള്ള,okrógel
556,spitz::A,മുനയുള്ള,šílast
557,scharf::A,മൂർച്ചയുള്ള,óster
558,stumpf::A,തുറന്നടിക്കുന്ന,tóp
559,stumpf::A,തുറന്നടിക്കുന്ന,skŕhan
560,schwer::A,ഭാരമുള്ള,têžek
561,schön::A,മനോഹരമായ,lép
562,schön::A,മനോഹരമായ,krásen
563,heiß::A,ചൂടുള്ള,vròč
564,warm::A,ചൂടുള്ള,tôpel
565,kalt::A,തണുത്ത,mŕzel
566,kalt::A,തണുത്ത,hláden
567,kühl::A,തണുപ്പുള്ള,hláden
568,frisch::A,ശുദ്ധമായ,svéž
569,feucht::A,ഈറനുള്ള,vlážen
570,nass::A,നനഞ്ഞ,móker
571,trocken::A,വരണ്ട,súh
572,voll::A,നിറയെ,póln
573,leer::A,ഒഴിഞ്ഞ,prázen
574,offen::A,തുറന്ന,odpŕt
575,geschlossen::A,അടച്ച,zapŕt
576,sauber::A,വൃത്തിയുള്ള,číst
577,sauber::A,വൃത്തിയുള്ള,líčen
578,schmutzig::A,അഴുക്കുനിറഞ്ഞ,umázan
579,roh::A,അസംസ്കൃതമായ,suròv
580,reif::A,പഴുത്ത,zrèl
581,lecker::A,രുചികരമായ,okúsen
582,süß::A,മധുരമുള്ള,sládek
583,bitter::A,കടുത്ത,grenák
584,sauer::A,പുളിപ്പുള്ള,kísel
585,hell::A,ജ്വലിക്കുന്ന,svetèl
586,dunkel::A,ഇരുണ്ട,temèn
587,schwarz::A,കറുത്ത,čŕn
588,weiß::A,വെളുത്ത,bél
589,rot::A,ചുവന്ന,rdèč
590,gelb::A,മഞ്ഞനിറമായ,žólt
591,gelb::A,മഞ്ഞനിറമായ,rumèn
592,blau::A,നീലനിറമുള്ള,móder
593,grün::A,പച്ചനിറമുള്ള,zelèn
594,grau::A,ചാരനിറത്തിലുള്ള,sív
595,bunt::A,വർണ്ണശബളമായ,písan
596,billig::A,വിലകുറഞ്ഞ,pocéni
597,teuer::A,ചെലവേറിയ,drág
598,wertvoll::A,വിലപിടിപ്പുള്ള,dragocén
599,blind::A,അന്ധനായ,slép
600,taub::A,കേൾവിക്കുറവുള്ള,glúh
601,kräftig::A,ശക്തിയുള്ള,močán
602,stark::A,ബലമുള്ള,ják
603,schwach::A,ക്ഷീണിച്ച,šíbek
604,fett::A,കൊഴുപ്പുള്ള,dêbel
605,schlank::A,മെലിഞ്ഞ,vítek
606,hübsch::A,മനോഹരമായ,lép
607,böse::A,പാപിയായ,zèl
608,böse::A,പാപിയായ,hudôben
609,dumm::A,വിവരംകെട്ട,glúp
610,dumm::A,വിവരംകെട്ട,bédast
611,faul::A,അലസനായ,lén
612,fleißig::A,അദ്ധ്വാനശീലമുള്ള,marljív
613,geizig::A,പിശുക്കനായ,škŕt
614,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,pámeten
615,geschickt::A,പ്രതിഭാശാലി,spréten
616,lieb::A,പ്രിയപ്പെട്ട,míl
617,lieb::A,പ്രിയപ്പെട്ട,ljúb
618,lustig::A,ആനന്ദകരമായ,vesél
619,sanft::A,സൌമ്യമായ,láhek
620,hungrig::A,വിശപ്പുള്ള,láčen
621,krank::A,അസുഖമുള്ള,bolán
622,nackt::A,നഡമായ,nág
623,traurig::A,വിഷമമുള്ള,túžen
624,lebendig::A,ഉപജീവനം,žív
625,gut::A,നല്ല,dóber
626,schlecht::A,മോശമായ,malopríden
627,richtig::A,ശരിയായ,pravílen
628,schlimm::A,വൃത്തികെട്ട,húd
629,wahr::A,ശരിയായ,resníčen
630,alt::A,പഴയ,stàr
631,neu::A,പുതിയ,nòv
632,ehemalig::A,മുൻ,nekdánji
633,alt[Lebewesen]::A,വയസ്സുള്ള,stàr
634,jung::A,കൌമാരമായ,mlád
635,arm::A,പാവപ്പെട്ട,ubóg
636,arm::A,പാവപ്പെട്ട,réven
