,Concept_ID,az,el
82,Erde::N,yer torpaq,γη
83,Staub::N,toz,σκόνη
84,Rauch::N,tüstü,καπνός
85,Funke::N,qığılcım,σπίθα
86,Funke::N,qığılcım,σπινθήρας
87,Feuer::N,od,φωτιά
88,Licht::N,işıq,φως
89,Schatten::N,kölgə,σκιά
90,Schatten::N,kölgə,ίσκιος
91,Wetter::N,hava,καιρός
92,Nebel::N,duman,ομίχλη
93,Wolke::N,bulud,σύννεφο
94,Regen::N,yağış,βροχή
95,Regen::N,yağmur,βροχή
96,Schnee::N,qar,χιόνι
97,Eis::N,buz,πάγος
98,Frost::N,ayaz,παγωνία
99,Kälte::N,soyuq,κρύο
100,Kälte::N,soyuq,ψύχος
101,Hitze::N,coşğunluq,ζέστη
102,Raureif::N,qırov,πάχνη
103,Regenbogen::N,göy qurşağı,ουράνιο τόξο
104,Donner::N,göy gurultusu,βροντή
105,Strömung::N,axın,ρεύμα
106,Tropfen::N,damcı,στάλα
107,Schaum::N,köpük,αφρός
108,Schmutz::N,çamır,βρωμιά
109,See::N,göl,λίμνη
110,Sumpf::N,bataqlıq,βάλτος
111,Moor::N,bataqlıq,έλος
112,Wiese::N,çəmən,λιβάδι
113,Wald::N,meşə,δάσος
114,Hügel::N,təpə,λόφος
115,Anhöhe::N,təpə,ύψωμα
116,Berg::N,dağ,όρος
117,Berg::N,dağ,βουνό
118,Gipfel::N,zirvə,κορυφή
119,Höhle::N,mağara,σπηλιά
120,Abhang::N,yamac,πλαγιά
121,Quelle::N,bulaq,πηγή
122,Quelle::N,bulaq,βρύση
123,Bach::N,kiçik çay,ρυάκι
124,Fluss::N,çay,ποτάμι
125,Fluss::N,çay,ποταμός
126,Ufer::N,kənar,όχθη
127,Küste::N,sahil,ακτή
128,Küste::N,sahil,ακρογιαλιά
129,Festland::N,materik,στεριά
130,Meer::N,dəniz,θάλασσα
131,Bucht::N,körfəz,κόλπος
132,Insel::N,ada,νησί
133,Insel::N,ada,νήσος
134,Blume::N,çiçək,άνθος
135,Blume::N,çiçək,λουλούδι
136,Gras::N,ot,χόρτο
137,Gras::N,ot,χορτάρι
138,Wurzel::N,kök,ρίζα
139,Baum::N,ağac,δέντρο
140,Stamm::N,gövdə,κορμός
141,Rinde::N,qabıq,φλούδα
142,Ast::N,şax,κλαδί
143,Zweig::N,budaq,κλαδί
144,Zweig::N,budaq,κλάδος
145,Blatt::N,yarpaq,φύλλο
146,Birke::N,tozağacı,σημύδα
147,Kiefer[Baum]::N,şam,πεύκο
148,Weide[Baum]::N,söyüd,ιτιά
149,Tanne::N,küknar,έλατο
150,Horn::N,buynuz,κέρας
151,Horn::N,buynuz,κέρατο
152,Feder::N,tük,φτερό
153,Feder::N,lələk,φτερό
154,Fell::N,xəz,δέρμα
155,Fell::N,xəz,τομάρι
156,Flügel::N,qanad,πτερύγιο
157,Klaue::N,pəncə,κουλό
158,Kralle::N,dırnaq,νύχι
159,Schwanz::N,quyruq,ουρά
160,Ei::N,yumurta,αβγό
161,Nest::N,yuva,φωλιά
162,Bau::N,yuva,φωλιά
163,Tier::N,heyvan,ζώο
164,Herde::N,sürü,κοπάδι
165,Kuh::N,inək,αγελάδα
166,Bulle::N,öküz,ταύρος
167,Pferd::N,at,άλογο
168,Schaf::N,qoyun,πρόβατο
169,Schwein::N,donuz,γουρούνι
170,Hund::N,it,σκυλί
171,Hund::N,it,σκύλος
172,Hund::N,köpək,σκυλί
173,Hund::N,köpək,σκύλος
174,Katze::N,pişik,γάτα
175,Bär::N,ayı,άρκτος
176,Bär::N,ayı,αρκούδα
177,Eichhörnchen::N,dələ,βερβερίτσα
178,Elch::N,sığın,άλκη
179,Fuchs::N,tülkü,αλεπού
180,Hase::N,dovşan,λαγός
181,Maus::N,siçan,ποντικός
182,Wolf::N,qurd,λύκος
183,Vogel::N,quş,πουλί
184,Schwarm::N,sürü,σμήνος
185,Huhn::N,toyuq,κότα
186,Huhn::N,toyuq,όρνιθα
187,Hahn::N,xoruz,πετεινός
188,Gans::N,qaz,χήνα
189,Adler::N,qartal,αετός
190,Adler::N,qaraquş,αετός
191,Ente::N,ördək,πάπια
192,Eule::N,bayquş,κουκουβάγια
193,Kranich::N,durna,γερανός
194,Krähe::N,qarğa,καρακάξα
195,Kuckuck::N,ququ,κούκος
196,Schwan::N,qu quşu,κύκνος
197,Fisch::N,balıq,ψάρι
198,Barsch::N,tar,πέρκα
199,Hecht::N,durnabalığı,λούτσος
200,Schlange[Tier]::N,ilan,φίδι
201,Wurm::N,qurd,σκουλήκι
202,Spinne::N,hörümçək,αράχνη
203,Ameise::N,qarışqa,μυρμήγκι
204,Laus::N,bit,ψείρα
205,Mücke::N,ağcaqanad,κουνούπι
206,Fliege::N,milçək,μύγα
207,Schmetterling::N,kəpənək,πεταλούδα
208,Beere::N,gilə,ρόγα
209,Apfel::N,alma,μήλο
210,Pilz::N,göbələk,μανιτάρι
211,Zwiebel::N,soğan,κρεμμύδι
212,Saat::N,əkin,σπόρος
213,Korn::N,taxıl,σπυρί
214,Heu::N,quru ot,σανός
215,Schale::N,qabıq,τσόφλι
216,Grube::N,çuxur,λάκκος
217,Falle::N,tələ,παγίδα
218,Falle::N,duzaq,παγίδα
219,Schlinge::N,ilmək,θηλειά
220,Spur::N,iz,ίχνος
221,Asche::N,kül,στάχτη
222,Dreck::N,kir,βρωμιά
223,Eisen::N,dəmir,σίδερο
224,Gold::N,altun,μάλαμα
225,Gold::N,altun,χρυσάφι
226,Silber::N,gümüş,ασήμι
227,Silber::N,gümüş,άργυρος
228,Kohle::N,kömür,κάρβουνο
229,Glas::N,şüşə,γυαλί
230,Lehm::N,gil,πηλός
231,Lehm::N,palçıq,πηλός
232,Sand::N,qum,άμμος
233,Mensch::N,adam,άνθρωπος
234,Mensch::N,insan,άνθρωπος
235,Mann::N,kişi,άνδρας
236,Frau::N,qadın,γυναίκα
237,Kind::N,uşaq,παιδί
238,Junge::N,oğlan,αγόρι
239,Mädchen::N,qız,κοπέλα
240,Mädchen::N,qız,κορίτσι
241,Familie::N,ailə,οικογένεια
242,Großvater::N,baba,παππούς
243,Großmutter::N,nənə,γιαγιά
244,Eltern::N,valideyn,γονείς
245,Vater::N,ata,πατέρας
246,Mutter::N,ana,μητέρα
247,Sohn::N,oğul,γιος
248,Tochter::N,qız,κόρη
249,Bruder::N,qardaş,αδελφός
250,Schwester::N,bacı,αδελφή
251,Onkel::N,əmi,θείος
252,Onkel::N,dayı,θείος
253,Tante::N,bibi,θεία
254,Ehemann::N,ər,σύζυγος
255,Ehefrau::N,arvad,σύζυγος
256,Freude::N,nəşə,χαρά
257,Freude::N,sevinc,χαρά
258,Gelächter::N,gülüş,γέλια
259,Gelächter::N,qəhqəhə,γέλια
260,Glück::N,səadət,ευτυχία
261,Glück::N,xoşbəxtlik,ευτυχία
262,Kummer::N,qəm,έγνοια
263,Kummer::N,kədər,έγνοια
264,Wunsch::N,arzu,επιθυμία
265,Lust::N,həvəs,όρεξη
266,Geist::N,ruh,πνέυμα
267,Gedanke::N,fikir,σκέψη
268,Gedanke::N,düşüncə,σκέψη
269,Gedächtnis::N,xatir,μνήμη
270,Gedächtnis::N,hafizə,μνήμη
271,Verstand::N,ağıl,νους
272,Sinn::N,məna,νόημα
273,Grund::N,səbəb,λόγος
274,Wahrheit::N,haqq,αλήθεια
275,Wahrheit::N,doğruluq,αλήθεια
276,Gespräch::N,söhbət,συνομιλία
277,Gespräch::N,qonuşma,συνομιλία
278,Märchen::N,nağıl,παραμύθι
279,Erzählung::N,hekayə,διήγημα
280,Nachricht::N,xəbər,είδηση
281,Neuigkeit::N,xəbər,νέο
282,Neuigkeit::N,yenilik,νέο
283,Name::N,ad,όνομα
284,Rätsel::N,tapmaca,αίνιγμα
285,Rede::N,nitq,λόγος
286,Rede::N,nitq,ομιλία
287,Sprache::N,dil,γλώσσα
288,Stimme::N,səs,φωνή
289,Wort::N,söz,λέξη
290,Wort::N,kəlmə,λέξη
291,Zeichen::N,nişan,σημείο
292,Ruf::N,çığırtı,κραυγή
293,Lärm::N,gurultu,θόρυβος
294,Laut::N,səs,ήχος
295,Ton::N,ton,ήχος
296,Ton::N,ton,τόνος
297,Lied::N,mahnı,τραγούδι
298,Ruhe::N,sakitlik,ησυχία
299,Leute::N,xalq,κόσμος
300,Leute::N,xalq,άνθρωποι
301,Volk::N,millət,λαός
302,Arbeit::N,iş,εργασία
303,Arbeit::N,əmək,εργασία
304,Gast::N,qonaq,επισκέπτης
305,Gast::N,müsafir,επισκέπτης
306,Geschenk::N,hədiyyə,δώρο
307,Spiel::N,oyun,παιχνίδι
308,Spiel::N,tamaşa,παιχνίδι
309,Gesellschaft::N,cəmiyyet,κοινωνία
310,Hilfe::N,kömək,βοήθεια
311,Hilfe::N,yardım,βοήθεια
312,Freund::N,dost,φίλος
313,Kamerad::N,yoldaş,σύντροφος
314,Angelegenheit::N,iş,υπόθεση
315,Anzahl::N,say,αριθμός
316,Art::N,çeşid,είδος
317,Stück::N,dənə,κομμάτι
318,Stück::N,parça,κομμάτι
319,Teil::N,qisim,μέρος
320,Hälfte::N,yarım,μισό
321,Kreis::N,dairə,κύκλος
322,Kreuz::N,xaç,σταυρός
323,Linie::N,xətt,γραμμή
324,Strich::N,cızıq,γραμμή
325,Abstand::N,məsafə,απόσταση
326,Entfernung::N,məsafə,απόσταση
327,Entfernung::N,uzaqlıq,απόσταση
328,Gegend::N,bölgə,περιοχή
329,Gegend::N,bölgə,τοποθεσία
330,Platz::N,yer,χώρος
331,Ort::N,yer,τόπος
332,Seite::N,yan,πλευρά
333,Seite::N,tərəf,πλευρά
334,Mitte::N,orta,μέση
335,Gegenstand::N,şey,αντικείμενο
336,Sache::N,şey,πράγμα
337,Rand::N,kənar,άκρη
338,Rand::N,kənar,χείλος
339,Kante::N,tiyə,άκρη
340,Kante::N,kənar,άκρη
341,Ecke::N,bucaq,γωνιά
342,Spitze::N,uc,μύτη
343,Ende::N,son,άκρη
344,Ende::N,axır,άκρη
345,Loch::N,deşik,τρύπα
346,Winkel::N,guşə,γωνία
347,Muster::N,ülgü,σχέδιο
348,Größe::N,böyüklük,μέγεθος
349,Länge::N,uzunluq,μήκος
350,Höhe::N,yüksəklik,ύψος
351,Gewicht::N,çəki,βάρος
352,Gewicht::N,ağırlıq,βάρος
353,Menge::N,miqdar,ποσότητα
354,Haufen::N,yığın,σωρός
355,Reihe::N,səf,αράδα
356,Reihe::N,sıra,αράδα
357,Boot::N,qayıq,βάρκα
358,Ruder::N,kürək,κουπί
359,Schlitten::N,kirşə,έλκηθρο
360,Ski::N,xizək,σκι
361,Lagerfeuer::N,düşərgə tonqalı,φωτιά
362,Last::N,yük,φορτίο
363,Gang::N,yeriş,δρόμος
364,Schritt::N,addım,βήμα
365,Norden::N,şimal,βορράς
366,Süden::N,cənub,νότος
367,Westen::N,qərb,δύση
368,Osten::N,şərq,ανατολή
369,Holz::N,ağac,ξύλο
370,Holz::N,taxta,ξύλο
371,Brett::N,taxta,σανίδι
372,Platte::N,lövhə,πλάκα
373,Stütze::N,dayaq,στήριγμα
374,Stütze::N,dəstək,στήριγμα
375,Stange::N,şüvül,ραβδί
376,Stange::N,şüvül,κοντός
377,Stock::N,dəyənək,ξύλο
378,Stock::N,dəyənək,μπαστούνι
379,Stab::N,əsa,ραβδί
380,Stab::N,şüvül,ραβδί
381,Rohr::N,boru,σωλήνας
382,Rohr::N,truba,σωλήνας
383,Haus::N,ev,σπίτι
384,Heim::N,ev,σπίτι
385,Ofen::N,peç,σόμπα
386,Ofen::N,peç,θερμάστρα
387,Ofen::N,soba,σόμπα
388,Ofen::N,soba,θερμάστρα
389,Fußboden::N,döşəmə,πάτωμα
390,Tisch::N,masa,τραπέζι
391,Stuhl::N,stul,καρέκλα
392,Wiege::N,beşik,κούνια
393,Bett::N,yataq,κρεβάτι
394,Regal::N,rəf,ράφι
395,Kiste::N,yeşik,κιβώτιο
396,Kiste::N,sandıq,κιβώτιο
397,Fenster::N,pəncərə,παράθυρο
398,Tür::N,qapı,πόρτα
399,Tor::N,darvaza,πύλη
400,Zaun::N,çəpər,φράχτης
401,Dach::N,dam,στέγη
402,Leiter::N,nərdivan,σκάλα
403,Leiter::N,nərdivan,κλίμακα
404,Besen::N,süpürgə,σκούπα
405,Spaten::N,kürək,φτυάρι
406,Schaufel::N,kürək,φτυάρι
407,Gabel::N,çəngəl,πιρούνι
408,Löffel::N,qaşıq,κουτάλι
409,Messer::N,bıçaq,μαχαίρι
410,Nagel::N,mıx,καρφί
411,Netz::N,tor,δίχτυ
412,Haken::N,çəngəl,γάντζος
413,Haken::N,çəngəl,αγκίστρι
414,Griff::N,qulp,λαβή
415,Griff::N,tutacaq,λαβή
416,Schloss::N,qıfıl,κλειδαριά
417,Bild::N,rəsm,εικόνα
418,Figur::N,şəkil,ανάστημα
419,Figur::N,heykəl,ανάστημα
420,Puppe::N,kukla,κούκλα
421,Puppe::N,gəlincik,κούκλα
422,Beutel::N,kisə,πουγγί
423,Beutel::N,torba,πουγγί
424,Bündel::N,bağlama,δεμάτι
425,Tasche::N,çanta,τσάντα
426,Eimer::N,vedrə,κουβάς
427,Eimer::N,çəllək,κουβάς
428,Deckel::N,qapaq,καπάκι
429,Geschirr::N,qab-qazan,σκεύη
430,Sack::N,çuval,σάκος
431,Tasse::N,fincan,φλιτζάνι
432,Topf::N,qazan,χύτρα
433,Kessel::N,qazan,καζάνι
434,Essen::N,yemək,φαγητό
435,Nahrung::N,qida,τροφή
436,Speise::N,xörək,φαγητό
437,Fleisch::N,ət,κρέας
438,Getreide::N,taxıl,σιτάρι
439,Brei::N,aş,χυλός
440,Brei::N,sıyıq,χυλός
441,Brot::N,çörək,ψωμί
442,Brot::N,çörək,άρτος
443,Scheibe::N,dilim,φέτα
444,Fett::N,yağ,πάχος
445,Butter::N,kərə yağı,βούτυρο
446,Öl::N,yağ,λάδι
447,Salz::N,duz,αλάτι
448,Suppe::N,şorba,σούπα
449,Honig::N,bal,μέλι
450,Milch::N,süd,γάλα
451,Tee::N,çay,τσάι
452,Leder::N,dəri,πετσί
453,Wolle::N,yun,μαλλί
454,Stoff::N,qumaş,ύφασμα
455,Nadel::N,iynə,βελόνα
456,Faden::N,sap,κλωστή
457,Knopf::N,düymə,κουμπί
458,Knoten::N,düyün,κόμπος
459,Farbe::N,boya,μπογιά
460,Kleidung::N,geyim,ρούχα
461,Kleidung::N,geyim,ενδυμασία
462,Hemd::N,köynək,πουκάμισο
463,Kragen::N,yaxa,κολάρο
464,Ärmel::N,qol,μανίκι
465,Hose::N,şalvar,πανταλόνι
466,Gürtel::N,kəmər,ζώνη
467,Mütze::N,şapka,σκούφος
468,Schuh::N,tufli,παπούτσι
469,Schuh::N,ayaqqabı,παπούτσι
470,Stiefel::N,çəkmə,μπότα
471,Ring::N,üzük,δαχτυλίδι
472,Band::N,lent,κορδέλα
473,Kamm::N,daraq,χτένα
474,Spiegel::N,güzgü,καθρέφτης
475,Riemen::N,qayış,λουρί
476,Schnur::N,ip,κορδόνι
477,Leine::N,kəmsik,σχοινί
478,Decke::N,ədyal,κουβέρτα
479,Decke::N,yorğan,κουβέρτα
480,Kissen::N,yastıq,μαξιλάρι
481,Tuch::N,şarf,πανί
482,Tuch::N,şarf,μαντήλι
483,Tuch::N,kaşne,πανί
484,Tuch::N,kaşne,μαντήλι
485,Handtuch::N,dəsmal,πετσέτα
486,Kraft::N,güc,δύναμη
487,Stärke::N,qüvvət,ισχύς
488,Stärke::N,qüvvət,δύναμη
489,Gesundheit::N,sağlamlıq,υγεία
490,Krankheit::N,xəstəlik,αρρώστια
491,Schmerz::N,ağrı,πόνος
492,Schmerz::N,sancı,πόνος
493,Wunde::N,yara,πληγή
494,Fieber::N,isitmə,πυρετός
495,Fieber::N,qızdırma,πυρετός
496,Arznei::N,ilaç,φάρμακο
497,Arznei::N,dərman,φάρμακο
498,Brücke::N,körpü,γέφυρα
499,Brunnen::N,quyu,πηγάδι
500,Weide::N,otlaq,βοσκή
501,Pfad::N,cığır,μονοπάτι
502,Weg::N,yol,δρόμος
503,Straße::N,küçə,οδός
504,Straße::N,küçə,δρόμος
505,Dorf::N,kənd,χωριό
506,Stadt::N,şəhər,πόλη
507,Brief::N,məktub,γράμμα
508,Brief::N,məktub,επιστολή
509,Buch::N,kitab,βιβλίο
510,Buchstabe::N,hərf,γράμμα
511,Zeitung::N,qəzet,εφημερίδα
512,Leben::N,həyat,ζωή
513,Leben::N,həyat,βίος
514,Tod::N,ölüm,θάνατος
515,Grab::N,qəbir,τάφος
516,Kirche::N,kilsə,εκκλησία
517,Sünde::N,günah,αμαρτία
518,Gott::N,tanrı,θεός
519,Arbeiter::N,işçi,εργάτης
520,Chef::N,şef,προϊστάμενος
521,Chef::N,rəis,προϊστάμενος
522,Meister::N,usta,μάστορας
523,Meister::N,usta,αρχιτεχνίτης
524,Arzt::N,həkim,γιατρός
525,Arzt::N,doktor,γιατρός
526,Lehrer::N,müəllim,δάσκαλος
527,Geld::N,pul,λεφτά
528,Geld::N,pul,χρήματα
529,Geschäft::N,ticarət,συναλλαγή
530,Laden::N,dükan,μαγαζί
531,Laden::N,dükan,κατάστημα
532,Preis::N,qiymət,τιμή
533,Ware::N,mal,εμπόρευμα
534,Nutzen::N,fayda,όφελος
535,Reichtum::N,zənginlik,πλούτος
536,Welt::N,aləm,κόσμος
537,Welt::N,dünya,κόσμος
538,Land::N,ölkə,χώρα
539,Staat::N,dövlət,κράτος
540,Staat::N,dövlət,πολιτεία
541,König::N,kral,βασιλιάς
542,König::N,məlik,βασιλιάς
543,Macht::N,qüdrət,εξουσία
544,Grenze::N,hüdud,σύνορα
545,Grenze::N,sərhət,σύνορα
546,Krieg::N,hərb,πόλεμος
547,Krieg::N,müharibə,πόλεμος
548,Feind::N,düşmən,εχθρός
549,Gewalt::N,cəbr,βία
550,Kampf::N,savaş,αγώνας
551,Bogen[Waffe]::N,yay,τόξο
552,Pfeil::N,ox,σαΐτα
553,Gewehr::N,tüfəng,τουφέκι
554,Fehler::N,xəta,λάθος
555,Fehler::N,xəta,σφάλμα
556,Lüge::N,yalan,ψέμα
557,Lüge::N,yalan,ψεύδος
558,Schaden::N,ziyan,ζημία
559,Unglück::N,bəla,δυστυχία
560,Schuld::N,təqsir,ενοχή
561,Schuld::N,təqsir,φταίξιμο
562,Alter::N,yaş,ηλικία
563,Schluss::N,son,τέλος
564,Zeit::N,vaxt,χρόνος
565,Zeit::N,zaman,χρόνος
566,Tag::N,gün,μέρα
567,Tag::N,gün,ημέρα
568,Morgen::N,sabah,πρωί
569,Mittag::N,günorta,μεσημέρι
570,Abend::N,axşam,βράδυ
571,Nacht::N,gecə,νύχτα
572,Woche::N,həftə,εβδομάδα
573,Monat::N,ay,μήνας
574,Jahr::N,il,έτος
575,Jahr::N,il,χρόνος
576,Frühling::N,yaz,άνοιξη
577,Frühling::N,bahar,άνοιξη
578,Sommer::N,yay,καλοκαίρι
579,Herbst::N,payız,φθινόπωρο
580,Winter::N,qış,χειμώνας
581,Januar::N,Janvar,Ιανουάριος
582,Februar::N,Fevral,Φεβρουάριος
583,März::N,Mart,Μάρτιος
584,April::N,Aprel,Απρίλιος
585,Mai::N,May,Μάιος
586,Juni::N,İyun,Ιούνιος
587,Juli::N,İyul,Ιούλιος
588,August::N,Avqust,Αύγουστος
589,September::N,Sentyabr,Σεπτέμβριος
590,Oktober::N,Oktyabr,Οκτώβριος
591,November::N,Noyabr,Νοέμβριος
592,Dezember::N,Dekabr,Δεκέμβριος
593,Montag::N,bazar ertəsi,Δευτέρα
594,Dienstag::N,çərşənbə axşamı,Τρίτη
595,Mittwoch::N,çərşənbə,Τετάρτη
596,Donnerstag::N,cüme axşamı,Πέμπτη
597,Freitag::N,cüme,Παρασκευή
598,Samstag::N,şənbə,Σάββατο
599,Sonntag::N,bazar,Κυριακή
600,groß::A,böyük,μεγάλος
601,klein::A,kiçik,μικρός
602,lang::A,uzun,μακρύς
603,kurz::A,qısa,κοντός
604,breit::A,enli,φαρδύς
605,breit::A,geniş,φαρδύς
606,schmal::A,dar,στενός
607,dicht::A,sıx,πυκνός
608,dick[Gegenstand]::A,qalın,παχύς
609,dick[Gegenstand]::A,qalın,χοντρός
610,dünn::A,nazik,ψιλός
611,dünn::A,nazik,λεπτός
612,fein::A,incə,ψιλός
613,fest::A,bərk,στερεός
614,fest::A,möhkəm,στερεός
615,flach::A,düz,επίπεδος
616,glatt::A,hamar,λείος
617,glatt::A,hamar,ομαλός
618,hart::A,sərt,σκληρός
619,weich::A,yumşaq,μαλακός
620,rund::A,yuvarlaq,στρογγυλός
621,spitz::A,uclu,μυτερός
622,spitz::A,sivri,μυτερός
623,scharf::A,kəskin,κοφτερός
624,stumpf::A,küt,αμβλύς
625,schwer::A,ağır,βαρύς
626,schön::A,gözəl,ωραίος
627,schön::A,gözəl,όμορφος
628,schön::A,gəşəng,ωραίος
629,schön::A,gəşəng,όμορφος
630,heiß::A,isti,ζεστός
631,warm::A,ilıq,θερμός
632,kalt::A,soyuq,κρύος
633,kalt::A,soyuq,ψυχρός
634,kühl::A,sərin,δροσερός
635,frisch::A,təzə,νωπός
636,frisch::A,təzə,φρέσκος
637,feucht::A,nəm,υγρός
638,nass::A,yaş,βρεγμένος
639,trocken::A,quru,ξηρός
640,trocken::A,quru,στεγνός
641,voll::A,dolu,γεμάτος
642,leer::A,boş,άδειος
643,offen::A,açıq,ανοιχτός
644,geschlossen::A,qapalı,κλειστός
645,sauber::A,təmiz,καθαρός
646,schmutzig::A,kirli,βρώμικος
647,schmutzig::A,kirli,λερωμένος
648,roh::A,çiy,ωμός
649,reif::A,yetişmiş,ώριμος
650,lecker::A,dadlı,νόστιμος
651,lecker::A,ləzzətli,νόστιμος
652,süß::A,şirin,γλυκός
653,bitter::A,acı,πικρός
654,sauer::A,turş,ξινός
655,hell::A,aydın,φωτεινός
656,dunkel::A,qaranlıq,σκοτεινός
657,schwarz::A,qara,μαύρος
658,schwarz::A,qara,μελανός
659,weiß::A,ağ,άσπρος
660,rot::A,qırmızı,κόκκινος
661,gelb::A,sarı,κίτρινος
662,blau::A,göy,μπλε
663,blau::A,göy,γαλανός
664,blau::A,mavi,μπλε
665,blau::A,mavi,γαλανός
666,grün::A,yaşıl,πράσινος
667,grau::A,boz,γκρίζος
668,bunt::A,əlvan,ποικιλόχρωπος
669,bunt::A,rəngli,ποικιλόχρωπος
670,billig::A,ucuz,φτηνός
671,teuer::A,bahalı,ακριβός
672,wertvoll::A,qiymətli,πολύτιμος
673,blind::A,kor,τυφλός
674,taub::A,kar,κουφός
675,kräftig::A,güclü,δυνατός
676,stark::A,qüvvətli,γερός
677,schwach::A,zəif,αδύνατος
678,schwach::A,gücsüz,αδύνατος
679,fett::A,şişman,παχύς
680,schlank::A,zərif,λεπτός
681,schlank::A,zərif,λυγερός
682,hübsch::A,göyçək,όμορφος
683,hübsch::A,göyçək,χαριτωμένος
684,böse::A,fəna,κακός
685,dumm::A,axmaq,κουτός
686,dumm::A,axmaq,ανόητος
687,faul::A,tənbəl,τεμπέλης
688,fleißig::A,çalışqan,εργατικός
689,geizig::A,xəsis,τσιγγούνης
690,klug::A,ağıllı,έξυπνος
691,geschickt::A,bacarıqlı,επιδέξιος
692,lieb::A,əziz,φίλος
693,lieb::A,əziz,αγαπητός
694,lieb::A,sevimli,φίλος
695,lieb::A,sevimli,αγαπητός
696,lustig::A,məzəli,εύθυμος
697,lustig::A,məzəli,χαρούμενος
698,lustig::A,gülməli,εύθυμος
699,lustig::A,gülməli,χαρούμενος
700,sanft::A,mülayim,ήπιος
701,hungrig::A,ac,πεινασμένος
702,krank::A,xəstə,άρρωστος
703,nackt::A,çılpaq,γυμνός
704,traurig::A,qəmgin,λυπημένος
705,traurig::A,kədərli,λυπημένος
706,lebendig::A,canlı,ζωντανός
707,gut::A,yaxşı,καλός
708,schlecht::A,pis,κακός
709,richtig::A,doğru,σωστός
710,schlimm::A,fəna,άσχημος
711,wahr::A,gərçək,αληθής
712,wahr::A,gərçək,αληθινός
713,alt::A,əski,παλιός
714,alt::A,köhnə,παλιός
715,neu::A,yeni,νέος
716,neu::A,yeni,καινούργιος
717,ehemalig::A,əvvəlki,παλιός
718,alt[Lebewesen]::A,qoca,γέρος
719,jung::A,gənc,νέος
720,arm::A,kasıb,φτωχός
721,arm::A,yoxsul,φτωχός
722,reich::A,zəngin,πλούσιος
723,bekannt::A,tanış,γνωστός
724,berühmt::A,məşhur,περίφημος
725,berühmt::A,məşhur,ξακουσμένος
726,fremd::A,yad,ξένος
