,Concept_ID,bn,da
84,Raureif::N,তুহিন,rimfrost
85,Regenbogen::N,রামধনু,regnbue
86,Donner::N,বজ্রধ্বনি,torden
87,Strömung::N,স্রোত,strømning
88,Tropfen::N,ফোঁটা,dråbe
89,Schaum::N,ফেনা,skum
90,Schmutz::N,ধুলা,snavs
91,See::N,হ্রদ,sø
92,Sumpf::N,জলা,sump
93,Moor::N,মাঠ,mose
94,Wiese::N,তৃণভূমি,eng
95,Wald::N,বন,skov
96,Hügel::N,পাহাড়,høj
97,Hügel::N,পাহাড়,bakke
98,Anhöhe::N,টিলা,høj
99,Anhöhe::N,টিলা,bakke
100,Berg::N,পর্বত,bjerg
101,Gipfel::N,শীর্ষ,top
102,Höhle::N,গুহা,hule
103,Abhang::N,ঢাল,skrænt
104,Abhang::N,ঢাল,skråning
105,Quelle::N,উৎস,kilde
106,Bach::N,ক্ষুদ্র নদী,bæk
107,Fluss::N,নদী,flod
108,Ufer::N,উপকূল,bred
109,Küste::N,তীর,kyst
110,Festland::N,ভূমি,fastland
111,Meer::N,সমুদ্র,hav
112,Bucht::N,উপসাগর,bugt
113,Insel::N,দ্বীপ,ø
114,Blume::N,ফুল,blomst
115,Gras::N,ঘাস,græs
116,Wurzel::N,শিকড়,rod
117,Baum::N,গাছ,træ
118,Stamm::N,স্কন্ধ,stamme
119,Rinde::N,বল্কল,bark
120,Ast::N,শাখা,gren
121,Zweig::N,ডাল,kvist
122,Blatt::N,পর্ণ,blad
123,Birke::N,ভুর্জ,birk
124,Kiefer[Baum]::N,পাইন গাছ,fyrretræ
125,Weide[Baum]::N,উইলো,piletræ
126,Tanne::N,দেবদারূ গাছ,gran
127,Horn::N,শিং,horn
128,Feder::N,পালক,fjer
129,Fell::N,রোম,skind
130,Flügel::N,ডানা,vinge
131,Klaue::N,নখর,klov
132,Kralle::N,নখর,klo
133,Schwanz::N,লেজ,hale
134,Ei::N,ডিম,æg
135,Nest::N,কুলায়,rede
136,Bau::N,ডেরা,bo
137,Tier::N,জন্তু,dyr
138,Herde::N,ঝাঁক,flok
139,Kuh::N,গোরু,ko
140,Bulle::N,বৃষ,tyr
141,Pferd::N,ঘোড়া,hest
142,Schaf::N,ভেড়া,får
143,Schwein::N,শূকর,gris
144,Hund::N,কুকুর,hund
145,Katze::N,বেড়াল,kat
146,Bär::N,ভল্লুক,bjørn
147,Eichhörnchen::N,কাঠবিড়াল,egern
148,Elch::N,হরিণবিশেষ,elg
149,Fuchs::N,পাঁতিশিয়াল,ræv
150,Hase::N,শশক,hare
151,Maus::N,নেংটি ইঁদুর,mus
152,Wolf::N,নেকড়ে,ulv
153,Vogel::N,পক্ষী,fugl
154,Schwarm::N,ঝাঁক,sværm
155,Huhn::N,মোরগ,høne
156,Hahn::N,কুক্কুট,hane
157,Gans::N,হংসী,gås
158,Adler::N,ইগল,ørn
159,Ente::N,হংসী,and
160,Eule::N,পেচক,ugle
161,Kranich::N,সারস,trane
162,Krähe::N,কাক,krage
163,Kuckuck::N,কোকিল,gøg
164,Schwan::N,মরাল,svane
165,Fisch::N,মাছ,fisk
166,Barsch::N,মৎন্যবিশেষ,aborre
167,Hecht::N,বানমাছ,gedde
168,Schlange[Tier]::N,সর্প,slange
169,Wurm::N,কীট,orm
170,Spinne::N,মাকড়সা,edderkop
171,Ameise::N,পিপীলিকা,myre
172,Laus::N,উকুন,lus
173,Mücke::N,মশা,myg
174,Fliege::N,মাছি,flue
175,Schmetterling::N,প্রজাপতি,sommerfugl
176,Beere::N,বেরি,bær
177,Apfel::N,আপেল,æble
178,Pilz::N,ছত্রক,svamp
179,Zwiebel::N,পিয়াজ,løg
180,Saat::N,বীজ,sæd
181,Korn::N,শস্য,korn
182,Heu::N,খড়,hø
183,Schale::N,খোসা,skræl
184,Grube::N,গর্ত,grav
185,Falle::N,ফাঁদ,fælde
186,Schlinge::N,পাশ,snare
187,Spur::N,চিহ্ন,spor
188,Asche::N,ভস্ম,aske
189,Dreck::N,ময়লা,snavs
190,Eisen::N,লোহা,jern
191,Gold::N,স্বর্ণ,guld
192,Silber::N,রৌপ্য,sølv
193,Kohle::N,অঙ্গার,kul
194,Glas::N,কাচ,glas
195,Lehm::N,মৃত্তিকা,ler
196,Sand::N,বালি,sand
197,Mensch::N,নর,mennesge
198,Mensch::N,মানুষ,mennesge
199,Mann::N,মানুষ,mand
200,Frau::N,নারী,kvinde
201,Kind::N,বাচ্চা,barn
202,Junge::N,ছেলে,dreng
203,Mädchen::N,মেয়ে,pige
204,Familie::N,পরিবার,familie
205,Großvater::N,মাতামহ,bedstefar
206,Großmutter::N,মাতামহী,bedstemor
207,Eltern::N,মাতাপিতা,forældre
208,Vater::N,পিতা,far
209,Mutter::N,মাতা,mor
210,Sohn::N,ছেলে,søn
211,Tochter::N,মেয়ে,datter
212,Bruder::N,দাদা,bror
213,Schwester::N,বোন,søster
214,Schwester::N,দিদি,søster
215,Onkel::N,মামা,onkel
216,Tante::N,মাসী,tante
217,Ehemann::N,স্বামী,ægtemand
218,Ehefrau::N,পত্নী,hustru
219,Freude::N,উল্লাস,glæde
220,Gelächter::N,হাসি,latter
221,Glück::N,সুখ,lykke
222,Kummer::N,দুঃখ,sorg
223,Wunsch::N,আকাঙ্ক্ষা,ønske
224,Lust::N,বাসনা,lyst
225,Geist::N,আত্না,ånd
226,Gedanke::N,চিন্তা,tanke
227,Gedächtnis::N,স্মরণশক্তি,hukommelse
228,Verstand::N,মন,forstand
229,Sinn::N,পদার্থ,mening
230,Sinn::N,পদার্থ,betydning
231,Grund::N,কারণ,grund
232,Wahrheit::N,সত্য,sandhed
233,Gespräch::N,কথাবার্তা,samtale
234,Märchen::N,রূপকথা,eventyr
235,Erzählung::N,গল্প,fortælling
236,Nachricht::N,তথ্য,efterretning
237,Neuigkeit::N,খবরাখবর,nyhed
238,Name::N,নাম,navn
239,Rätsel::N,ধাঁধা,gåde
240,Rede::N,বক্তৃতা,tale
241,Sprache::N,ভাষা,sprog
242,Stimme::N,স্বর,stemme
243,Wort::N,শব্দ,ord
244,Zeichen::N,প্রতীক,tegn
245,Ruf::N,ডাক,råb
246,Lärm::N,হৈচৈ,larm
247,Laut::N,ধ্বনি,lyd
248,Ton::N,স্বর,tone
249,Lied::N,গান,sang
250,Ruhe::N,শান্তি,ro
251,Ruhe::N,শান্তি,hvile
252,Leute::N,প্রজাপুঞ্জ,folk
253,Leute::N,প্রজাপুঞ্জ,mennesker
254,Volk::N,জাতি,folk
255,Arbeit::N,চাকরি,arbejde
256,Gast::N,অতিথি,gæst
257,Geschenk::N,উপহার,gave
258,Spiel::N,খেলা,leg
259,Gesellschaft::N,সঙ্গিগণ,selskab
260,Hilfe::N,সাহায্য,hjælp
261,Freund::N,বন্ধু,ven
262,Kamerad::N,সঙ্গী,kammerat
263,Angelegenheit::N,বিষয়,sag
264,Angelegenheit::N,বিষয়,anliggende
265,Anzahl::N,পরিমাণ,antal
266,Art::N,রকম,art
267,Stück::N,টুকরো,stykke
268,Teil::N,অংশ,del
269,Hälfte::N,অর্ধেক,halvdel
270,Kreis::N,বৃত্ত,cirkel
271,Kreuz::N,ক্রুশ,kors
272,Kreuz::N,ক্রুশ,kryds
273,Linie::N,রেখা,linie
274,Strich::N,কষি,streg
275,Abstand::N,ফাঁক,afstand
276,Entfernung::N,ব্যবধান,afstand
277,Gegend::N,ক্ষেত্র,egn
278,Platz::N,জায়গা,plads
279,Ort::N,স্থান,sted
280,Seite::N,পার্শ্ব,side
281,Mitte::N,মধ্য,midte
282,Gegenstand::N,জিনিস,genstand
283,Sache::N,বস্তু,sag
284,Rand::N,কানা,rand
285,Kante::N,ধার,kant
286,Ecke::N,কোণ,hjørne
287,Spitze::N,ডগা,spids
288,Ende::N,প্রান্ত,ende
289,Loch::N,গর্ত,hul
290,Winkel::N,কোণ,vinkel
291,Muster::N,নমুন্,mønster
292,Größe::N,আয়তন,størrelse
293,Länge::N,দৈর্ঘ্য,længde
294,Höhe::N,উচ্চতা,højde
295,Gewicht::N,ওজন,vægt
296,Menge::N,পরিমাণ,mængde
297,Haufen::N,পুঞ্জ,bunke
298,Reihe::N,শ্রেণী,række
299,Boot::N,নৌকা,båd
300,Ruder::N,দাঁড়,åre
301,Schlitten::N,স্নেজ্-গাড়ি,kælk
302,Schlitten::N,স্নেজ্-গাড়ি,slæde
303,Ski::N,শী,ski
304,Lagerfeuer::N,অগ্নি,lejrbål
305,Last::N,বোঝা,last
306,Last::N,বোঝা,byrde
307,Gang::N,হণ্টন,gang
308,Schritt::N,পদ,skridt
309,Norden::N,উত্তরদিক্,nord
310,Süden::N,দক্ষিণদিক,syd
311,Westen::N,পশ্চিমদিক্,vest
312,Osten::N,পূর্বদিক,øst
313,Holz::N,কাঠ,træ
314,Brett::N,তক্তা,bræt
315,Platte::N,ফলক,plade
316,Stütze::N,নাগদণ্ড,støtte
317,Stange::N,দণ্ড,stang
318,Stock::N,ছড়ি,stok
319,Stab::N,যষ্টি,stav
320,Rohr::N,নল,rør
321,Haus::N,ঘর,hus
322,Heim::N,বাসা,hjem
323,Ofen::N,স্টোভ্,ovn
324,Fußboden::N,গহতল,gulv
325,Tisch::N,মেজ,bord
326,Tisch::N,টেবিল,bord
327,Stuhl::N,চেয়ার,stol
328,Stuhl::N,কেদারা,stol
329,Wiege::N,দোলনা,vugge
330,Bett::N,শয্যা,seng
331,Regal::N,তাক,reol
332,Kiste::N,বাক্স,kasse
333,Fenster::N,জানালা,vindue
334,Tür::N,দ্বার,dør
335,Tor::N,দ্বার,port
336,Zaun::N,বেড়া,stakit
337,Dach::N,ছাদ,tag
338,Leiter::N,মই,stige
339,Besen::N,গুল্মবিশেষ,kost
340,Spaten::N,কোদাল,spade
341,Schaufel::N,বেলচা,skovl
342,Gabel::N,কাঁটা,gaffel
343,Löffel::N,চামচ,ske
344,Messer::N,ছুরি,kniv
345,Nagel::N,পেরেক,søm
346,Netz::N,জাল,net
347,Haken::N,কাচি,krog
348,Griff::N,হাতল,tag
349,Griff::N,হাতল,håndtag
350,Schloss::N,তালা,lås
351,Bild::N,ছবি,billede
352,Bild::N,চিত্র,billede
353,Figur::N,আকার,figur
354,Puppe::N,পুতুল,dukke
355,Beutel::N,বটুয়া,pose
356,Bündel::N,আঁটি,bylt
357,Bündel::N,আঁটি,bundt
358,Tasche::N,থলি,taske
359,Eimer::N,বাল্তি,spand
360,Deckel::N,আবরণ,låg
361,Geschirr::N,থালা-বাসন,husgeråd
362,Sack::N,বস্তা,sæk
363,Tasse::N,কাপ,kop
364,Topf::N,পাত্র,gryde
365,Kessel::N,কেটলি,kedel
366,Essen::N,আহার,måltid
367,Nahrung::N,খাদ্য,mad
368,Nahrung::N,খাদ্য,næring
369,Speise::N,খাদ্য,ret
370,Fleisch::N,মাংস,kød
371,Getreide::N,শস্য,korn
372,Brei::N,মণ্ড,grød
373,Brot::N,রুটি,brød
374,Scheibe::N,ফালি,skive
375,Fett::N,মেদ,fedt
376,Butter::N,মাখন,smør
377,Öl::N,তৈল,olie
378,Salz::N,নুন,salt
379,Suppe::N,শুরুয়া,suppe
380,Honig::N,মধু,honning
381,Milch::N,দুধ,mælk
382,Tee::N,চা,te
383,Leder::N,পাকা চামড়া,skind
384,Wolle::N,পশম,uld
385,Stoff::N,বস্ত্র,stof
386,Nadel::N,সুচ,nål
387,Faden::N,সূত্র,tråd
388,Knopf::N,বোতাম,knap
389,Knoten::N,গিঁট,knude
390,Farbe::N,রং,farve
391,Kleidung::N,কাপড়,påklædning
392,Hemd::N,শার্ট,skjorte
393,Kragen::N,গলবন্ধ,krave
394,Ärmel::N,আস্তিন্,ærme
395,Hose::N,ট্রাউজার,bukser
396,Gürtel::N,কটিবন্ধ,bælte
397,Mütze::N,টুপি,hue
398,Schuh::N,জুতো,sko
399,Stiefel::N,বুট,støvle
400,Ring::N,আংটি,ring
401,Band::N,ফিতা,bånd
402,Kamm::N,চিরুনি,kam
403,Spiegel::N,আয়না,spejl
404,Riemen::N,চাবুক,rem
405,Schnur::N,দড়ি,snor
406,Leine::N,শিকল,snor
407,Decke::N,কম্বল,tæppe
408,Kissen::N,উপাধান,pude
409,Tuch::N,বস্ত্র,sjaltørklæde
410,Handtuch::N,তোয়ালে,håndklæde
411,Kraft::N,জোর,kraft
412,Stärke::N,শক্তি,styrke
413,Gesundheit::N,স্বাস্থ্য,sundhed
414,Krankheit::N,অসুখ,sygdom
415,Krankheit::N,ব্যামো,sygdom
416,Schmerz::N,যন্ত্রণা,smerte
417,Wunde::N,ক্ষত,sår
418,Fieber::N,জ্বর,feber
419,Arznei::N,ঔষধ,medicin
420,Arznei::N,ঔষধ,lægemiddel
421,Brücke::N,সেতু,bro
422,Brunnen::N,কূপ,brønd
423,Weide::N,পশুচারণভূমি,græsgang
424,Pfad::N,পথ,sti
425,Weg::N,পথ,vej
426,Straße::N,রাস্তা,gade
427,Dorf::N,গ্রাম,landsby
428,Stadt::N,শহর,by
429,Brief::N,চিঠি,brev
430,Buch::N,বই,bog
431,Buchstabe::N,অক্ষর,bogstav
432,Zeitung::N,সংবাদপত্র,avis
433,Leben::N,জীবন,liv
434,Tod::N,মৃত্যু,død
435,Grab::N,কবর,grav
436,Kirche::N,গির্জা,kirke
437,Sünde::N,পাপ,synd
438,Gott::N,দেবতা,gud
439,Arbeiter::N,শ্রমিক,arbejder
440,Chef::N,নেতা,chef
441,Meister::N,ব্যক্তি,mester
442,Arzt::N,চিকিৎসক,læge
443,Lehrer::N,অধ্যাপক,lærer
444,Geld::N,মুদ্রা,penge
445,Geld::N,টাকাপয়সা,penge
446,Geschäft::N,ব্যস্ততা,forretning
447,Laden::N,দোকান,butik
448,Laden::N,দোকান,forretning
449,Preis::N,মূল্য,pris
450,Ware::N,পণ্যদ্রব্য,vare
451,Nutzen::N,সুবিধা,nytte
452,Reichtum::N,ধনদৌলত,rigdom
453,Welt::N,জগৎ,verden
454,Land::N,খেত,land
455,Staat::N,রাষ্ট্র,stat
456,König::N,রাজা,konge
457,Macht::N,প্রভাব,magt
458,Grenze::N,সীমা,grænse
459,Krieg::N,যুদ্ধ,krig
460,Feind::N,শত্রু,fjende
461,Gewalt::N,জোর,vold
462,Kampf::N,লড়াই,kamp
463,Bogen[Waffe]::N,ধনুক,bue
464,Pfeil::N,বাণ,pil
465,Gewehr::N,বন্দুক,gevær
466,Fehler::N,ভুল,fejl
467,Lüge::N,মিথ্যা,løgn
468,Schaden::N,ক্ষতি,skade
469,Unglück::N,দুর্ভাগ্য,uheld
470,Unglück::N,দুর্ভাগ্য,ulykke
471,Schuld::N,অপরাধ,skyld
472,Alter::N,আয়ু,alder
473,Schluss::N,শেষ,slut
474,Schluss::N,শেষ,slutning
475,Zeit::N,সময়,tid
476,Tag::N,দিন,dag
477,Morgen::N,সকাল,morgen
478,Mittag::N,মধ্যাহু,middag
479,Abend::N,সন্ধ্যা,aften
480,Nacht::N,রাত্রি,nat
481,Woche::N,সপ্তাহ,uge
482,Monat::N,মাস,måned
483,Jahr::N,সৌরবর্ষ,år
484,Frühling::N,বসন্তকাল,forår
485,Sommer::N,গ্রীষ্মকাল,sommer
486,Herbst::N,শরংঋতু,efterår
487,Winter::N,শীতকাল,vinter
488,Januar::N,জানুয়ারী,januar
489,Februar::N,ফেব্রুয়ারী,februar
490,März::N,মার্চ,marts
491,April::N,এপ্রিল,april
492,Mai::N,মে,maj
493,Juni::N,জুন,juni
494,Juli::N,জুলাই,juli
495,August::N,অগাস্ট,august
496,September::N,সেপ্টেম্বর,september
497,Oktober::N,অক্টোবর,oktober
498,November::N,নভেম্বর,november
499,Dezember::N,ডিসেম্বর,december
500,Montag::N,সোমবার,mandag
501,Dienstag::N,মঙ্গলবার,tirsdag
502,Mittwoch::N,বুধবার,onsdag
503,Donnerstag::N,বৃহম্পতিবার,torsdag
504,Freitag::N,শুক্রবার,fredag
505,Samstag::N,শনিবার,lørdag
506,Sonntag::N,রবিবার,søndag
507,groß::A,বৃহৎ,stor
508,klein::A,ছোট,lille
509,lang::A,দীর্ঘ,lang
510,kurz::A,খর্ব,kort
511,kurz::A,হ্রস্ব,kort
512,breit::A,চওড়া,bred
513,schmal::A,সরু,smal
514,dicht::A,ঘন,tæt
515,dick[Gegenstand]::A,পুরু,tyk
516,dünn::A,কৃশ,tynd
517,fein::A,সূক্ষ্ম,fin
518,fest::A,দৃঢ়,fast
519,flach::A,সমতল,flad
520,glatt::A,মসৃণ,glat
521,hart::A,শক্ত,hård
522,weich::A,নরম,blød
523,rund::A,গোলাকার,rund
524,spitz::A,তীক্ষ্ন,spids
525,scharf::A,শাণিত,skarp
526,stumpf::A,ভোঁতা,sløv
527,stumpf::A,ভোঁতা,stump
528,schwer::A,ভারী,tung
529,schön::A,সুন্দর,skøn
530,heiß::A,গরম,hed
531,warm::A,ঈষদুষ্ণ,varm
532,kalt::A,ঠাণ্ডা,kold
533,kühl::A,শীতল,kølig
534,frisch::A,তাজা,frisk
535,feucht::A,ভিজা,fugtig
536,nass::A,ভিজা,våd
537,trocken::A,শুষ্ক,tør
538,voll::A,পূর্ণ,fuld
539,leer::A,খালি,tom
540,offen::A,খোলা,åben
541,geschlossen::A,বন্ধ,lukket
542,sauber::A,নির্মল,ren
543,schmutzig::A,নোংরা,snavset
544,roh::A,কাঁচা,rå
545,reif::A,পাকা,moden
546,lecker::A,সুস্বাদ,lækker
547,süß::A,মিষ্ট,sød
548,bitter::A,তিক্ত,bitter
549,sauer::A,টক,sur
550,hell::A,উজ্জ্বল,lys
551,dunkel::A,অন্ধকারময়,mørk
552,schwarz::A,কালো,sort
553,weiß::A,সাদা,hvid
554,rot::A,লাল,rød
555,gelb::A,হলদে,gul
556,blau::A,নীল,blå
557,grün::A,সবুজ,grøn
558,grau::A,ছাই-রঙা,grå
559,bunt::A,রঙিন,broget
560,billig::A,সস্তা,billig
561,teuer::A,আক্রা,dyr
562,wertvoll::A,মহার্ঘ,værdifuld
563,blind::A,কানা,blind
564,taub::A,বধির,døv
565,kräftig::A,বিশাল,kraftig
566,stark::A,শক্তিশালী,stærk
567,schwach::A,দুর্বল,svag
568,fett::A,মোটা,fed
569,schlank::A,কৃশ,slank
570,hübsch::A,সুন্দর,køn
571,böse::A,খারাপ,ond
572,böse::A,খারাপ,slem
573,dumm::A,মূর্খ,dum
574,faul::A,শ্রমবিমুখ,doven
575,fleißig::A,পরিশ্রমী,flittig
576,geizig::A,ব্যয়কুণ্ঠ,gerrig
577,klug::A,দক্ষ,klog
578,geschickt::A,পটু,dygtig
579,geschickt::A,পটু,behændig
580,lieb::A,প্রেয়,rar
581,lustig::A,প্রফুল্ল,lystig
582,sanft::A,নম্র,blid
583,hungrig::A,ক্ষুধার্ত,sulten
584,krank::A,অসুস্থ,syg
585,nackt::A,উলঙ্গ,nøgen
586,traurig::A,দুঃখিত,bedrøvet
587,lebendig::A,জীবিত,levende
588,gut::A,ভালো,god
589,schlecht::A,মন্দ,dårlig
590,richtig::A,ঠিক,rigtig
591,schlimm::A,কদর্য,slem
592,wahr::A,বাস্তব,sand
593,alt::A,পুরাতন,gammel
594,neu::A,নব,ny
595,neu::A,নূতন,ny
596,ehemalig::A,পূর্বকালীন,forhenværende
597,alt[Lebewesen]::A,বৃদ্ধ,gammel
598,jung::A,তরুণ,ung
599,arm::A,ক্ষুদ্র,fattig
600,reich::A,ধনবান্,rig
601,bekannt::A,সুপরিচিত,kendt
602,berühmt::A,বিখ্যাত,berømt
603,fremd::A,বিদেশি,fremmed
604,verschieden::A,বিসদৃশ,forskellig
605,nah::A,নিকটবতী,nær
606,fern::A,দুরবতী,fjern
607,linker::A,বাম,venstre
608,rechter::A,ডান,højre
609,rechter::A,ডাইন,højre
610,anderer::A,অন্যতর,anden
611,erster::A,প্রথম,første
612,zweiter::A,দ্বিতীয়,anden
613,dritter::A,তৃতীয়,tredje
614,letzter::A,সর্বশেষ,sidste
615,allein::ADV,একক,alene
616,auf einmal::ADV,জলদি,på én gang
617,zusammen::ADV,একসঙ্গে,sammen
618,lange::ADV,লম্বা,længe
619,plötzlich::ADV,হঠাৎ,pludselig
620,sofort::ADV,মুহ্ণর্তমধ্যে,straks
621,später::ADV,পশ্চাতে,senere
622,jetzt::ADV,এখন,nu
623,heute::ADV,আজ,i dag
624,morgen::ADV,আগামিকাল,i morgen
625,bald::ADV,অস্পকালমধ্যে,snart
626,dann::ADV,তখন,så
627,gestern::ADV,গতকাল,i går
628,einst::ADV,একবার মাত্র,engang
629,damals::ADV,তখন,dengang
630,danach::ADV,পরে,derefter
631,vorher::ADV,আগে,før
632,vorher::ADV,আগে,forud
633,zuerst::ADV,আগে,først
634,einmal::ADV,একবার,en gang
635,manchmal::ADV,কখনও কখনও,sommetider
636,oft::ADV,ঘনঘন,ofte
637,immer::ADV,সর্বদা,altid
638,niemals::ADV,কখলও নহে,aldrig
639,hier::ADV,এখানে,her
640,hierhin::ADV,এখানে,hid
641,hierhin::ADV,এখানে,herhen
642,von hier::ADV,ত্রই স্তান হইতে,herfra
643,dort::ADV,ওখানে,der
644,dorthin::ADV,ওখানে,derhen
645,geradeaus::ADV,অগ্রগামী,lige ud
646,vorwärts::ADV,সন্মুখিকে,fremad
647,rückwärts::ADV,খিরিয়া,baglæns
648,zurück::ADV,পিঠ,tilbage
649,unten::ADV,নীচে,nede
650,unten::ADV,নীচে,forneden
651,hinab::ADV,নিম্নগামী,ned
652,hinab::ADV,নিম্নগামী,nedad
653,oben::ADV,উপরে,oppe
654,oben::ADV,উপরে,ovenpå
655,hinauf::ADV,উচ্চতর অংশে,op
656,hinauf::ADV,উচ্চতর অংশে,opad
657,überall::ADV,সর্বত্র,overalt
658,nicht::ADV,না,ikke
659,ein wenig::ADV,অল্প,lidt
660,kaum::ADV,কষ্টসহকাবে,knap
661,kaum::ADV,কষ্টসহকাবে,næppe
662,sehr::ADV,খুব,meget
663,so::ADV,তত,så
664,noch::ADV,এখন পর্যস্ত,endnu
665,nur::ADV,শুধু,kun
666,nur::ADV,শুধু,bare
667,schon::ADV,ইতঃপুর্বে,alt
668,schon::ADV,ইতঃপুর্বে,allerede
669,wieder::ADV,আবার,igen
670,vergebens::ADV,বিফলে,forgæves
671,vor::PRP,সম্মুখে,foran
672,vor::PRP,সম্মুখে,uden for
673,hinter::PRP,পশ্চাতে,bag
674,hinter::PRP,পশ্চাতে,bagved
675,unter::PRP,নীচে,under
676,durch::PRP,দ্বারা,gennem
677,durch::PRP,দ্বারা,igennem
678,neben::PRP,কাছে,ved siden af
679,zwischen::PRP,মধ্যে,mellem
680,wegen::PRP,জন্য,på grund af
681,dies::PRN,এটা,dette
682,das::PRN,ওটা,det
683,alles::PRN,সব,alt
684,ich::PRN,আমি,jeg
685,du::PRN,তুমি,du
686,er::PRN,উনি,han
687,wir::PRN,আমরা,vi
688,ihr::PRN,তোমরা,I
689,sie::PRN,তারা,de
690,was::FPRN,কি,hvad
691,wer::FPRN,কে,hvem
692,wo::FADV,কোথায়,hvor
693,wohin::FADV,কোথায়,hvorhen
694,wie::FADV,কেমন,hvordan
695,warum::FADV,কেন,hvorfor
696,wieviel::FNUM,কত,hvor meget
697,eins::NUM,অক,én
698,zwei::NUM,দুই,to
699,drei::NUM,তিন,tre
700,vier::NUM,চার,fire
701,fünf::NUM,পাঁচ,fem
702,sechs::NUM,ছয়,seks
703,sieben::NUM,সাত,syv
704,acht::NUM,আট,otte
705,neun::NUM,নয়,ni
706,zehn::NUM,দশ,ti
707,elf::NUM,এগারো,elleve
708,zwölf::NUM,দ্বাদশ,tolv
709,zwanzig::NUM,বিশ,tyve
710,dreißig::NUM,ত্রিশ,tredive
711,vierzig::NUM,চল্লিশ,fyrre
712,vierzig::NUM,চল্লিশ,fyrretyve
713,fünfzig::NUM,পঞ্চাশ,halvtreds
714,sechzig::NUM,ষাট,tres
715,siebzig::NUM,সত্তর,halvfjerds
716,achtzig::NUM,আশি,firs
717,neunzig::NUM,নব্বুই,halvfems
718,hundert::NUM,শত,hundrede
719,tausend::NUM,হাজার,tusind
720,und::CNJ,আর,og
721,und::CNJ,এবং,og
722,oder::CNJ,বা,eller
723,stehen::V,দাঁড়ানো,stå
724,sitzen::V,বসা,sidde
725,liegen::V,শোয়া,ligge
726,hängen::V,ঝোলা,hænge
727,werden::V,হইয়া উঠা,blive
728,passieren::V,ঘটা,ske
729,passieren::V,ঘটা,hænde
730,beginnen::V,আরম্ভ হওয়া,begynde
731,enden::V,শেষ হওয়া,ende
732,wechseln::V,রূপাস্তর করা,veksle
