,Concept_ID,sk,kk
78,Funke::N,iskra,ұшқын
79,Feuer::N,oheň,алау
80,Licht::N,svetlo,шұғыла
81,Schatten::N,tieň,көлеңке
82,Wetter::N,počasie,ауа райы
83,Nebel::N,hmla,тұман
84,Wolke::N,oblak,бұлт
85,Wolke::N,mračno,бұлт
86,Regen::N,dážď,жаңбыр
87,Schnee::N,sneh,қар
88,Eis::N,ľad,мұз
89,Frost::N,mráz,суық
90,Kälte::N,zima,ызғар
91,Kälte::N,zima,суықтық
92,Kälte::N,chlad,ызғар
93,Kälte::N,chlad,суықтық
94,Hitze::N,horúčava,аптап
95,Raureif::N,srieň,қырау
96,Raureif::N,inovať,қырау
97,Regenbogen::N,dúha,кемпірқосақ
98,Donner::N,hrom,күн күркіреу
99,Strömung::N,prúdenie,ағын
100,Tropfen::N,kvapka,тамшы
101,Schaum::N,pena,көбік
102,Schmutz::N,špina,кір
103,Schmutz::N,nečistota,кір
104,See::N,jazero,көл
105,Sumpf::N,bahno,саз
106,Moor::N,močiar,саз
107,Wiese::N,lúka,шалғын
108,Wald::N,les,орман
109,Wald::N,hora,орман
110,Hügel::N,vŕšok,төбе
111,Hügel::N,vŕšok,белес
112,Hügel::N,vŕšok,белес-белес
113,Anhöhe::N,výšina,дөң
114,Anhöhe::N,výšina,адыр
115,Anhöhe::N,výšina,қырат
116,Anhöhe::N,vyvýšenina,дөң
117,Anhöhe::N,vyvýšenina,адыр
118,Anhöhe::N,vyvýšenina,қырат
119,Berg::N,hora,тау
120,Gipfel::N,vrchol,төбе
121,Höhle::N,jaskyňa,үңгір
122,Abhang::N,úbočie,бауыр
123,Quelle::N,prameň,қайнар
124,Bach::N,potok,жылға
125,Fluss::N,rieka,өзен
126,Ufer::N,breh,жиек
127,Küste::N,pobrežie,жиегі
128,Küste::N,pobrežie,жағалау
129,Festland::N,pevnina,құрылық
130,Meer::N,more,теңіз
131,Bucht::N,záliv,шығанақ
132,Bucht::N,zátoka,шығанақ
133,Insel::N,ostrov,арал
134,Blume::N,kvet,гүл
135,Blume::N,kvetina,гүл
136,Gras::N,tráva,от
137,Wurzel::N,koreň,түбір
138,Baum::N,strom,ағаш
139,Baum::N,strom,дарақ
140,Stamm::N,kmeň,сояу
141,Stamm::N,kmeň,оқпан
142,Rinde::N,kôra,қабық
143,Ast::N,konár,бұтақ
144,Zweig::N,vetva,шыбық
145,Blatt::N,list,жапырақ
146,Birke::N,breza,қайың
147,Kiefer[Baum]::N,sosna,қарағай
148,Kiefer[Baum]::N,borovica,қарағай
149,Weide[Baum]::N,vŕba,тал
150,Tanne::N,jedľa,шырша
151,Horn::N,roh,мүйіз
152,Feder::N,pero,қаламұш
153,Fell::N,koža,тері
154,Fell::N,kožušina,тері
155,Flügel::N,krídlo,қанат
156,Klaue::N,paznecht,тырнақ
157,Kralle::N,pazúr,аяқ
158,Schwanz::N,chvost,құйрық
159,Ei::N,vajce,жұмыртқа
160,Ei::N,vajíčko,жұмыртқа
161,Nest::N,hniezdo,ұя
162,Bau::N,nora,жатақ
163,Tier::N,zviera,айуан
164,Tier::N,zviera,жануар
165,Herde::N,stádo,пада
166,Kuh::N,krava,сиыр
167,Bulle::N,býk,өгіз
168,Pferd::N,kôň,жылқы
169,Schaf::N,ovca,қой
170,Schwein::N,sviňa,шошқа
171,Hund::N,pes,ит
172,Katze::N,mačka,мысық
173,Bär::N,medveď,аю
174,Eichhörnchen::N,veverička,тиін
175,Elch::N,los,бұғы
176,Fuchs::N,líška,түлкі
177,Hase::N,zajac,қоян
178,Maus::N,myš,қаптесер
179,Wolf::N,vlk,бөрі
180,Wolf::N,vlk,қасқыр
181,Vogel::N,vták,құс
182,Schwarm::N,roj,топ
183,Schwarm::N,roj,үйір
184,Huhn::N,kurča,тауық
185,Huhn::N,kurča,мекиен
186,Huhn::N,sliepka,тауық
187,Huhn::N,sliepka,мекиен
188,Hahn::N,kohút,әтеш
189,Hahn::N,kohút,қораз
190,Gans::N,hus,қаз
191,Adler::N,orol,бүркіт
192,Ente::N,kačka,үйрек
193,Ente::N,kačica,үйрек
194,Eule::N,sova,жапалақ
195,Kranich::N,žeriav,тырна
196,Krähe::N,vrana,қарға
197,Kuckuck::N,kukučka,көкек
198,Schwan::N,labuť,аққу
199,Fisch::N,ryba,балық
200,Barsch::N,ostriež,алабұға
201,Hecht::N,šťuka,шортан
202,Schlange[Tier]::N,had,жылан
203,Wurm::N,červ,шұбалшаң
204,Spinne::N,pavúk,өрмекші
205,Ameise::N,mravec,қүмырска
206,Laus::N,voš,бит
207,Mücke::N,komár,маса
208,Fliege::N,mucha,шыбын
209,Schmetterling::N,motýľ,көбелек
210,Beere::N,bobuľa,жидек
211,Apfel::N,jablko,алма
212,Pilz::N,hríb,қозықұйрық
213,Pilz::N,hríb,саңыраукулақ
214,Zwiebel::N,cibuľa,жуа
215,Saat::N,osivo,тұқым
216,Korn::N,zrno,дән
217,Heu::N,seno,шөп
218,Schale::N,šupa,қабық
219,Schale::N,šupa,қабығы
220,Schale::N,škrupina,қабық
221,Schale::N,škrupina,қабығы
222,Grube::N,jama,ор
223,Falle::N,pasca,дұзақ
224,Falle::N,pasca,қақпан
225,Falle::N,klepec,дұзақ
226,Falle::N,klepec,қақпан
227,Schlinge::N,slučka,ілмек
228,Spur::N,stopa,із
229,Asche::N,popol,күл
230,Dreck::N,kal,былғаныш
231,Dreck::N,blato,былғаныш
232,Eisen::N,železo,темір
233,Gold::N,zlato,алтын
234,Silber::N,striebro,күміс
235,Kohle::N,uhlie,көмір
236,Glas::N,sklo,шыны
237,Lehm::N,íl,балшық
238,Lehm::N,hlina,балшық
239,Sand::N,piesok,құм
240,Mensch::N,človek,адам
241,Mann::N,muž,еркек
242,Mann::N,muž,ер адам
243,Mann::N,chlap,еркек
244,Mann::N,chlap,ер адам
245,Frau::N,žena,бике
246,Frau::N,žena,қатын
247,Kind::N,dieťa,бала
248,Kind::N,dieťa,перзент
249,Junge::N,chlapec,бала
250,Junge::N,chlapec,ер бала
251,Mädchen::N,dievka,қыз
252,Familie::N,rodina,жанұя
253,Großvater::N,dedo,ата
254,Großvater::N,starý otec,ата
255,Großmutter::N,babička,әже
256,Großmutter::N,babička,әжей
257,Großmutter::N,stará mať,әже
258,Großmutter::N,stará mať,әжей
259,Eltern::N,rodičia,ата-аналар
260,Vater::N,otec,әке
261,Mutter::N,mať,ана
262,Mutter::N,matka,ана
263,Sohn::N,syn,ұл
264,Tochter::N,dcéra,қызым
265,Bruder::N,brat,бауырым
266,Schwester::N,sestra,әпке
267,Onkel::N,ujo,көке
268,Onkel::N,strýko,көке
269,Tante::N,teta,тәте
270,Tante::N,tetka,тәте
271,Ehemann::N,muž,ер
272,Ehemann::N,manžel,ер
273,Ehefrau::N,žena,зайып
274,Ehefrau::N,manželka,зайып
275,Freude::N,radosť,қуаныш
276,Freude::N,radosť,сүйініш
277,Freude::N,radosť,шат-думан
278,Freude::N,radosť,қуаныштылық
279,Gelächter::N,smiech,күлу
280,Glück::N,šťastie,бақыт
281,Glück::N,šťastie,бақыттылық
282,Kummer::N,žiaľ,аза
283,Kummer::N,žiaľ,қайғы
284,Kummer::N,žiaľ,қасырет
285,Kummer::N,zármutok,аза
286,Kummer::N,zármutok,қайғы
287,Kummer::N,zármutok,қасырет
288,Wunsch::N,prianie,мүдде
289,Lust::N,chuť,тәбет
290,Lust::N,chuť,ынтызар
291,Lust::N,chuť,құштарлық
292,Geist::N,duch,рух
293,Gedanke::N,myšlienka,ой
294,Gedächtnis::N,pamäť,ес
295,Gedächtnis::N,pamäť,жады
296,Gedächtnis::N,pamäť,ақыл-ес
297,Verstand::N,rozum,ақыл
298,Verstand::N,rozum,парасат
299,Sinn::N,zmysel,мән
300,Sinn::N,zmysel,маныз
301,Sinn::N,zmysel,мағына
302,Sinn::N,zmysel,мән-мағына
303,Grund::N,dôvod,себеп
304,Grund::N,príčina,себеп
305,Wahrheit::N,pravda,рас
306,Gespräch::N,reč,әңгіме
307,Gespräch::N,rozhovor,әңгіме
308,Märchen::N,rozprávka,ертеп
309,Märchen::N,rozprávka,ертек
310,Erzählung::N,poviedka,әңгіме
311,Nachricht::N,správa,хабар
312,Neuigkeit::N,novinka,жаңалық
313,Name::N,meno,ат
314,Name::N,meno,атау
315,Rätsel::N,záhada,жұмбақ
316,Rätsel::N,hádanka,жұмбақ
317,Rede::N,reč,сөз
318,Sprache::N,reč,тіл
319,Sprache::N,jazyk,тіл
320,Stimme::N,hlas,үн
321,Stimme::N,hlas,әуен
322,Stimme::N,hlas,дауыс
323,Wort::N,slovo,сөз
324,Zeichen::N,znak,ишара
325,Ruf::N,volanie,айғай
326,Ruf::N,zavolanie,айғай
327,Lärm::N,hluk,айғай-шу
328,Lärm::N,hluk,айғай-ұйғай
329,Lärm::N,hurhaj,айғай-шу
330,Lärm::N,hurhaj,айғай-ұйғай
331,Laut::N,zvuk,дыбыс
332,Laut::N,zvuk,дауыс
333,Ton::N,tón,әуен
334,Ton::N,zvuk,әуен
335,Lied::N,pieseň,ән
336,Lied::N,pieseň,жыр
337,Lied::N,pieseň,ән-жыр
338,Ruhe::N,pokoj,тыныштық
339,Leute::N,ľudia,кісілер
340,Volk::N,ľud,халық
341,Volk::N,národ,халық
342,Arbeit::N,práca,еңбек
343,Arbeit::N,robota,еңбек
344,Gast::N,hosť,қонақ
345,Gast::N,hosť,мейман
346,Geschenk::N,dar,қадия
347,Spiel::N,hra,ойын
348,Gesellschaft::N,spoločnosť,қауым
349,Gesellschaft::N,spoločnosť,жұртшылық
350,Hilfe::N,pomoc,жэрдем
351,Freund::N,priateľ,дос
352,Kamerad::N,kamarát,дос-жар
353,Angelegenheit::N,vec,жұмыс
354,Angelegenheit::N,záležitosť,жұмыс
355,Anzahl::N,počet,сан
356,Anzahl::N,počet,саны
357,Anzahl::N,množstvo,сан
358,Anzahl::N,množstvo,саны
359,Art::N,druh,түр
360,Stück::N,kus,тілім
361,Stück::N,kúsok,тілім
362,Teil::N,časť,үлес
363,Teil::N,časť,бөлшек
364,Hälfte::N,polka,жарты
365,Hälfte::N,polovica,жарты
366,Kreis::N,kruh,шеңбер
367,Kreuz::N,kríž,крест
368,Linie::N,línia,сызық
369,Strich::N,čiara,сызық
370,Abstand::N,vzdialenosť,ара
371,Abstand::N,vzdialenosť,аралық
372,Entfernung::N,vzdialenosť,аралық
373,Gegend::N,kraj,өңір
374,Gegend::N,krajina,өңір
375,Platz::N,miesto,орны
376,Ort::N,miesto,орын
377,Seite::N,bok,жақ
378,Seite::N,bok,бүйір
379,Seite::N,strana,жақ
380,Seite::N,strana,бүйір
381,Mitte::N,stred,ортасы
382,Gegenstand::N,predmet,зат
383,Gegenstand::N,predmet,нәрсе
384,Sache::N,vec,бұйым
385,Rand::N,kraj,шет
386,Rand::N,kraj,шеті
387,Rand::N,okraj,шет
388,Rand::N,okraj,шеті
389,Kante::N,hrana,қыр
390,Kante::N,hrana,қыры
391,Ecke::N,roh,қыры
392,Ecke::N,roh,бұрыш
393,Spitze::N,hrot,ұшы
394,Spitze::N,špička,ұшы
395,Ende::N,koniec,аяқ
396,Ende::N,koniec,соңы
397,Loch::N,diera,тесік
398,Winkel::N,kút,мүйіс
399,Muster::N,vzor,мәнер
400,Muster::N,vzorka,мәнер
401,Größe::N,veľkosť,ауқым
402,Größe::N,veľkosť,көлемдік
403,Länge::N,dĺžka,бой
404,Länge::N,dĺžka,ұзындық
405,Höhe::N,výška,жоғарылық
406,Höhe::N,výška,биіктік
407,Gewicht::N,váha,салмақ
408,Menge::N,množstvo,мөлшер
409,Haufen::N,hŕba,үйме
410,Haufen::N,hŕba,үйінді
411,Reihe::N,rad,сап
412,Boot::N,čln,қайық
413,Ruder::N,veslo,ескек
414,Schlitten::N,sane,шана
415,Ski::N,lyža,шаңғы
416,Lagerfeuer::N,táborák,алау
417,Last::N,ťarcha,ауырлық
418,Last::N,ťarcha,ауыр зат
419,Last::N,bremeno,ауырлық
420,Last::N,bremeno,ауыр зат
421,Gang::N,chôdza,жүріс
422,Schritt::N,krok,адым
423,Norden::N,sever,солтүстік
424,Norden::N,sever,терістік
425,Süden::N,juh,оңтүстік
426,Westen::N,západ,батыс
427,Osten::N,východ,күншығыс
428,Holz::N,drevo,ағаш
429,Holz::N,drevo,сүрек
430,Brett::N,doska,тақта
431,Platte::N,doska,тақта
432,Platte::N,platňa,тақта
433,Stütze::N,opora,тіреу
434,Stange::N,tyč,қада
435,Stock::N,palica,сойыл
436,Stab::N,palica,сырық
437,Rohr::N,rúra,құбыр
438,Haus::N,dom,үй
439,Heim::N,domov,үйлі
440,Heim::N,domov,шаңырақ
441,Ofen::N,pec,ошақ
442,Ofen::N,pec,пеш
443,Ofen::N,kachle,ошақ
444,Ofen::N,kachle,пеш
445,Fußboden::N,dlážka,еден
446,Fußboden::N,podlaha,еден
447,Tisch::N,stôl,үстел
448,Stuhl::N,stolička,орындық
449,Wiege::N,kolíska,бесік
450,Bett::N,lôžko,кереует
451,Bett::N,posteľ,кереует
452,Regal::N,regál,сөре
453,Regal::N,polica,сөре
454,Kiste::N,debna,жәшік
455,Fenster::N,okno,терезе
456,Fenster::N,oblok,терезе
457,Tür::N,dvere,есік
458,Tor::N,vráta,дарбаза
459,Zaun::N,plot,дуал
460,Zaun::N,ohrada,дуал
461,Dach::N,krov,шатыр
462,Dach::N,strecha,шатыр
463,Leiter::N,rebrík,саты
464,Leiter::N,rebrík,басқыш
465,Leiter::N,rebrina,саты
466,Leiter::N,rebrina,басқыш
467,Besen::N,metla,сыпырғыш
468,Spaten::N,rýľ,күрек
469,Schaufel::N,lopata,қалақ
470,Gabel::N,vidlička,аша
471,Gabel::N,vidlička,шанышқы
472,Löffel::N,lyžica,қасық
473,Messer::N,nôž,пышақ
474,Nagel::N,klinec,мық
475,Nagel::N,klinec,шеге
476,Netz::N,sieť,керегекөз
477,Haken::N,hák,ілмек
478,Haken::N,háčik,ілмек
479,Griff::N,rukoväť,сап
480,Griff::N,rukoväť,тұтқа
481,Schloss::N,zámka,құлып
482,Schloss::N,zámka,бекіткіш
483,Bild::N,obraz,сурет
484,Figur::N,figúra,тұлға
485,Puppe::N,bábka,қуыршақ
486,Puppe::N,bábika,қуыршақ
487,Beutel::N,vrece,қапшық
488,Beutel::N,vrecko,қапшық
489,Bündel::N,uzlík,байлам
490,Bündel::N,zväzok,байлам
491,Tasche::N,taška,дорба
492,Tasche::N,kabelka,дорба
493,Eimer::N,vedro,шелек
494,Deckel::N,vrchnák,жапқыш
495,Deckel::N,pokrývka,жапқыш
496,Geschirr::N,nádoba,ыдыс
497,Sack::N,mech,қап
498,Sack::N,vrece,қап
499,Tasse::N,šálka,шыныаяқ
500,Topf::N,hrniec,кәстрөл
501,Kessel::N,kotol,қазан
502,Essen::N,jedlo,ас
503,Nahrung::N,strava,ас
504,Nahrung::N,strava,тамақ
505,Nahrung::N,potrava,ас
506,Nahrung::N,potrava,тамақ
507,Speise::N,jedlo,тағам
508,Fleisch::N,mäso,ет
509,Getreide::N,obilie,дәнді
510,Brei::N,kaša,ботқа
511,Brot::N,chlieb,күлше
512,Scheibe::N,kotúč,тілім
513,Scheibe::N,krajec,тілім
514,Fett::N,tuk,май
515,Fett::N,masť,май
516,Butter::N,maslo,май
517,Öl::N,olej,май
518,Salz::N,soľ,тұз
519,Suppe::N,polievka,көже
520,Honig::N,med,бал
521,Milch::N,mlieko,сүт
522,Tee::N,čaj,шай
523,Leder::N,koža,көн
524,Wolle::N,vlna,жүн
525,Stoff::N,súkno,мата
526,Stoff::N,súkno,кездеме
527,Nadel::N,ihla,ине
528,Faden::N,niť,жіп
529,Faden::N,vlákno,жіп
530,Knopf::N,gombík,түйме
531,Knoten::N,uzol,түйін
532,Farbe::N,farba,рең
533,Kleidung::N,šaty,киім
534,Kleidung::N,šatstvo,киім
535,Hemd::N,košeľa,жейде
536,Kragen::N,golier,жаға
537,Ärmel::N,rukáv,жең
538,Hose::N,nohavice,шалбар
539,Gürtel::N,pás,белбеу
540,Gürtel::N,opasok,белбеу
541,Mütze::N,čiapka,қалпақ
542,Schuh::N,obuv,кебіс
543,Schuh::N,topánka,кебіс
544,Stiefel::N,čižma,етік
545,Ring::N,prsteň,жүзік
546,Band::N,stuha,таспа
547,Kamm::N,hrebeň,тарақ
548,Spiegel::N,zrkadlo,айна
549,Riemen::N,remeň,қайыс
550,Schnur::N,šnúra,жіп
551,Leine::N,vodidlo,тізгін
552,Decke::N,deka,көрпе
553,Decke::N,prikrývka,көрпе
554,Kissen::N,poduška,жастық
555,Tuch::N,šatka,орамал
556,Handtuch::N,uterák,сүлгі
557,Kraft::N,moc,қуат
558,Kraft::N,moc,қарқын
559,Kraft::N,moc,әл-шама
560,Kraft::N,moc,әл-дәрмен
561,Stärke::N,sila,әл
562,Stärke::N,sila,күш
563,Gesundheit::N,zdravie,денсаулык
564,Krankheit::N,nemoc,ауру
565,Krankheit::N,choroba,ауру
566,Schmerz::N,bolesť,ауру
567,Wunde::N,rana,зақым
568,Wunde::N,rana,жарақат
569,Fieber::N,horúčka,безгек
570,Fieber::N,horúčka,қалтырау
571,Fieber::N,horúčka,қызу көтерілуі
572,Arznei::N,liek,дәрі
573,Arznei::N,liek,дәрі-дәрмек
574,Brücke::N,most,көпір
575,Brunnen::N,studňa,құдық
576,Weide::N,pastva,өріс
577,Weide::N,pastva,жайылым
578,Pfad::N,chodník,жол
579,Weg::N,cesta,жол
580,Straße::N,hradská,жол
581,Dorf::N,dedina,ауыл
582,Stadt::N,mesto,қала
583,Stadt::N,mesto,шаһар
584,Brief::N,list,хат
585,Brief::N,list,жазу
586,Buch::N,kniha,кітап
587,Buchstabe::N,litera,әріп
588,Buchstabe::N,litera,қаріп
589,Buchstabe::N,písmeno,әріп
590,Buchstabe::N,písmeno,қаріп
591,Zeitung::N,noviny,газет
592,Leben::N,život,өмір
593,Leben::N,život,тіршілік
594,Tod::N,smrť,опат
595,Grab::N,hrob,мола
596,Grab::N,hrob,мазар
597,Kirche::N,kostol,шіркеу
598,Sünde::N,hriech,күнә
599,Gott::N,boh,алла
600,Gott::N,boh,құдай
601,Gott::N,boh,тәңірі
602,Gott::N,boh,пәруардігер
603,Gott::N,boh,жаратқан тәңірі
604,Arbeiter::N,robotník,жүмысшы
605,Arbeiter::N,pracnovík,жүмысшы
606,Chef::N,šéf,басшы
607,Chef::N,šéf,жұмыс басқарушысы
608,Chef::N,riaditeľ,басшы
609,Chef::N,riaditeľ,жұмыс басқарушысы
610,Meister::N,majster,шебер
611,Meister::N,majster,өнерпаз
612,Arzt::N,lekár,дәрігер
613,Lehrer::N,učiteľ,мұғалім
614,Geld::N,peniaze,пұл
615,Geschäft::N,obchod,бизнес
616,Laden::N,obchod,дүкен
617,Preis::N,cena,ақы
618,Preis::N,cena,құны
619,Preis::N,cena,нарық
620,Ware::N,tovar,тауар
621,Nutzen::N,osoh,пайда
622,Nutzen::N,úžitok,пайда
623,Reichtum::N,bohatstvo,бақ-дәулет
624,Welt::N,svet,әлем
625,Welt::N,svet,жиһан
626,Land::N,územie,аймақ
627,Land::N,krajina,аймақ
628,Staat::N,štát,мемлекет
629,König::N,kráľ,патша
630,Macht::N,moc,өкімет
631,Macht::N,moc,қожалық
632,Macht::N,mocnosť,өкімет
633,Macht::N,mocnosť,қожалық
634,Grenze::N,hranica,шек
635,Krieg::N,vojna,соғыс
636,Feind::N,nepriateľ,жау
637,Feind::N,nepriateľ,дұшпан
638,Gewalt::N,násilie,зорлык
639,Gewalt::N,násilie,зорлық-зомбылык
640,Kampf::N,boj,күрес
641,Kampf::N,boj,алыспақ
642,Bogen[Waffe]::N,luk,саржа
643,Pfeil::N,šíp,жебе
644,Pfeil::N,strela,жебе
645,Gewehr::N,puška,қару
646,Fehler::N,omyl,әбес
647,Fehler::N,omyl,қаталық
648,Fehler::N,chyba,әбес
649,Fehler::N,chyba,қаталық
650,Lüge::N,lož,өтірік
651,Schaden::N,ujma,зиян
652,Schaden::N,ujma,зарар
653,Schaden::N,škoda,зиян
654,Schaden::N,škoda,зарар
655,Unglück::N,nešťastie,пәле
656,Unglück::N,nešťastie,қасырет
657,Unglück::N,nešťastie,ауыртпалық
658,Schuld::N,vina,айыптылық
659,Schuld::N,previnenie,айыптылық
660,Alter::N,vek,жас
661,Alter::N,vek,жас шамасы
662,Schluss::N,záver,ада
663,Schluss::N,záver,бітуі
664,Schluss::N,koniec,ада
665,Schluss::N,koniec,бітуі
666,Zeit::N,čas,уақыт
667,Tag::N,deň,күн
668,Morgen::N,ráno,таң
669,Morgen::N,ráno,таңертең
670,Mittag::N,poludnie,талтүс
671,Abend::N,večer,кеш
672,Nacht::N,noc,түн
673,Woche::N,týždeň,апта
674,Monat::N,mesiac,ай
675,Jahr::N,rok,жыл
676,Frühling::N,jar,көктем
677,Sommer::N,leto,жаз
678,Herbst::N,jeseň,күз
679,Winter::N,zima,қыс
680,Januar::N,január,каңтар
681,Februar::N,február,ақпан
682,März::N,marec,наурыз
683,April::N,apríl,сәуір
684,Mai::N,máj,мамыр
685,Juni::N,jún,маусым
686,Juli::N,júl,шілде
687,August::N,august,сүмбіле
688,August::N,august,тамыз
689,September::N,september,қыркүйек
690,Oktober::N,október,ақырап
691,November::N,november,қараша
692,Dezember::N,december,желтоқсан
693,Montag::N,pondelok,дүйсенбі
694,Dienstag::N,utorok,сейсенбі
695,Mittwoch::N,streda,сәрсенбі
696,Donnerstag::N,štvrtok,бейсенбі
697,Freitag::N,piatok,жұма
698,Samstag::N,sobota,сенбі
699,Sonntag::N,nedeľa,жексембі
700,groß::A,veľký,алпамсадай
701,klein::A,malý,кішкене
702,klein::A,malý,қарғадай
703,lang::A,dlhý,сопақ
704,lang::A,dlhý,сорайған
705,kurz::A,krátky,кеспелтек
706,breit::A,široký,айдынды
707,schmal::A,úzky,қысық
708,dicht::A,hustý,жиі
709,dick[Gegenstand]::A,tlstý,шомбал
710,dünn::A,tenký,жұқа
711,dünn::A,tenký,жіңішке
712,fein::A,jemný,қаңылтақ
713,fest::A,pevný,берік
714,fest::A,pevný,мызғымас
715,flach::A,rovný,жалпак
716,flach::A,plochý,жалпак
717,glatt::A,hladký,типыл
718,hart::A,tvrdý,қатты
719,weich::A,mäkký,жұмсақ
720,rund::A,guľatý,домалақ
721,rund::A,okrúhly,домалақ
722,spitz::A,končitý,үшкір
723,scharf::A,ostrý,сүйрік
724,stumpf::A,tupý,доғал
725,stumpf::A,tupý,өтпейтін
726,schwer::A,ťažký,салмақты
727,schön::A,pekný,сұлу
728,schön::A,krásny,сұлу
729,heiß::A,horúci,ыссы
730,warm::A,teplý,жылы
731,kalt::A,studený,аязды
732,kühl::A,chladný,салқын
733,frisch::A,svieži,таза
734,frisch::A,svieži,жаңа
735,feucht::A,vlhký,нам
736,feucht::A,vlhký,дымқылды
737,feucht::A,zvlhnutý,нам
738,feucht::A,zvlhnutý,дымқылды
739,nass::A,mokrý,сулы
740,trocken::A,suchý,құрғақ
741,voll::A,plný,толы
742,leer::A,prázdny,бос
743,offen::A,otvorený,ашып қойылған
744,geschlossen::A,zavretý,жабулы
745,sauber::A,čistý,дақсыз
746,sauber::A,čistý,мұнтаздай
747,schmutzig::A,špinavý,айғыз
748,schmutzig::A,špinavý,сатпақ
749,schmutzig::A,špinavý,сатал-сатал
750,roh::A,surový,шикі
751,reif::A,zrelý,піскен
752,lecker::A,chutný,дәмді
753,süß::A,sladký,тәтті
754,bitter::A,horký,ащы
755,sauer::A,kyslý,қышқыл
756,hell::A,jasný,жарық
757,hell::A,jasný,жарқын
758,hell::A,svetlý,жарық
759,hell::A,svetlý,жарқын
760,dunkel::A,temný,қараңғы
761,schwarz::A,čierny,қара
762,weiß::A,biely,ақ
763,rot::A,červený,қызыл
764,gelb::A,žltý,сары
765,blau::A,modrý,көк
766,blau::A,belasý,көк
767,grün::A,zelený,жасыл
768,grau::A,šedý,бозамық
769,bunt::A,pestrý,алабажак
770,billig::A,lacný,арзан
771,teuer::A,drahý,бағалы
772,wertvoll::A,cenný,құнды
773,wertvoll::A,cenný,қымбат
774,blind::A,slepý,көзсіз
775,blind::A,slepý,көр
776,blind::A,slepý,көр_соқыр
777,taub::A,hluchý,керең
778,taub::A,hluchý,саңырау
779,kräftig::A,silný,қуатты
780,kräftig::A,silný,қарымды
781,stark::A,silný,білекті
782,schwach::A,slabý,әлсіз
783,schwach::A,slabý,күшсіз
784,schwach::A,slabý,қайратсыз
785,schwach::A,bezvládny,әлсіз
786,schwach::A,bezvládny,күшсіз
787,schwach::A,bezvládny,қайратсыз
788,fett::A,tučný,семіз
789,schlank::A,štíhly,ашаң
790,hübsch::A,šumný,ажарлы
791,hübsch::A,šumný,шырайлы
792,hübsch::A,švárny,ажарлы
793,hübsch::A,švárny,шырайлы
794,böse::A,zlý,өш
795,böse::A,zlý,сұм
796,böse::A,zlý,жауыз
797,dumm::A,hlúpy,көкми
798,dumm::A,hlúpy,ақымақ
799,dumm::A,hlúpy,миы жоқ
