,Concept_ID,ml,az
270,Ton::N,സ്വരഭേദം,ton
271,Lied::N,പാട്ട്,mahnı
272,Ruhe::N,നിശ്ചലത,sakitlik
273,Leute::N,ജനങ്ങൾ,xalq
274,Volk::N,രാഷ്ടം,millət
275,Arbeit::N,ജോലി,iş
276,Arbeit::N,ജോലി,əmək
277,Gast::N,അതിലി,qonaq
278,Gast::N,അതിലി,müsafir
279,Geschenk::N,സമ്മാനം,hədiyyə
280,Spiel::N,കളി,oyun
281,Spiel::N,കളി,tamaşa
282,Gesellschaft::N,കൂട്ടായ്മ,cəmiyyet
283,Hilfe::N,സഹായം,kömək
284,Hilfe::N,സഹായം,yardım
285,Freund::N,സുഹൃത്ത്,dost
286,Kamerad::N,കൂട്ടാളി,yoldaş
287,Angelegenheit::N,കാര്യം,iş
288,Anzahl::N,എണ്ണം,say
289,Art::N,തരം,çeşid
290,Stück::N,കഷണം,dənə
291,Stück::N,കഷണം,parça
292,Teil::N,ഭാഗം,qisim
293,Hälfte::N,പകുതി,yarım
294,Kreis::N,വൃത്തം,dairə
295,Kreuz::N,കുരിശടയാളം,xaç
296,Linie::N,വര,xətt
297,Linie::N,രേഖ,xətt
298,Strich::N,പക്ഷാഘാതം,cızıq
299,Abstand::N,വിടവ്,məsafə
300,Entfernung::N,അകലം,məsafə
301,Entfernung::N,അകലം,uzaqlıq
302,Gegend::N,പ്രദേശം,bölgə
303,Platz::N,ഇടം,yer
304,Ort::N,സ്ഥലം,yer
305,Seite::N,വശം,yan
306,Seite::N,വശം,tərəf
307,Mitte::N,മധ്യസ്ഥാനം,orta
308,Gegenstand::N,സാധനം,şey
309,Sache::N,വസ്തു,şey
310,Rand::N,തൊങ്ങൽ,kənar
311,Kante::N,അറ്റം,tiyə
312,Kante::N,അറ്റം,kənar
313,Ecke::N,മൂല,bucaq
314,Spitze::N,അഗ്രം,uc
315,Ende::N,അവസാനം,son
316,Ende::N,അവസാനം,axır
317,Loch::N,ദ്വാരം,deşik
318,Winkel::N,കോൺ,guşə
319,Muster::N,ക്രമം,ülgü
320,Größe::N,വലുപ്പം,böyüklük
321,Länge::N,നീളം,uzunluq
322,Höhe::N,ഉയരം,yüksəklik
323,Gewicht::N,കട്ടി,çəki
324,Gewicht::N,കട്ടി,ağırlıq
325,Menge::N,അളവ്,miqdar
326,Haufen::N,കൂമ്പാരം,yığın
327,Reihe::N,വരി,səf
328,Reihe::N,വരി,sıra
329,Boot::N,ബോട്ട്,qayıq
330,Ruder::N,പങ്കായം,kürək
331,Schlitten::N,ഉരുളില്ലാവണ്ടി,kirşə
332,Ski::N,ഹിമപാദുകം,xizək
333,Lagerfeuer::N,തീ,düşərgə tonqalı
334,Last::N,ഭാരം,yük
335,Gang::N,നടത്തം,yeriş
336,Schritt::N,ചുവട്,addım
337,Norden::N,വടക്ക്,şimal
338,Süden::N,തെക്ക്,cənub
339,Westen::N,പടിഞ്ഞാറ്,qərb
340,Osten::N,കിഴക്ക്,şərq
341,Holz::N,തടി,ağac
342,Holz::N,തടി,taxta
343,Brett::N,ബോർഡ്,taxta
344,Platte::N,തകിട്,lövhə
345,Stütze::N,താങ്ങ്,dayaq
346,Stütze::N,താങ്ങ്,dəstək
347,Stange::N,കമ്പ്,şüvül
348,Stock::N,വടി,dəyənək
349,Stab::N,കുറുവടി,əsa
350,Stab::N,കുറുവടി,şüvül
351,Rohr::N,കുഴൽ,boru
352,Rohr::N,കുഴൽ,truba
353,Haus::N,വീട്,ev
354,Heim::N,വീട്,ev
355,Ofen::N,സ്റ്റൌ,peç
356,Ofen::N,സ്റ്റൌ,soba
357,Fußboden::N,തറ,döşəmə
358,Tisch::N,മേശ,masa
359,Stuhl::N,കസേര,stul
360,Wiege::N,തൊട്ടിൽ,beşik
361,Bett::N,കിടക്ക,yataq
362,Regal::N,ഷെൽഫ്,rəf
363,Kiste::N,പെട്ടി,yeşik
364,Kiste::N,പെട്ടി,sandıq
365,Fenster::N,ജനൽ,pəncərə
366,Tür::N,വാതിൽ,qapı
367,Tor::N,കവാടം,darvaza
368,Zaun::N,വേലി,çəpər
369,Dach::N,മേൽക്കുര,dam
370,Leiter::N,ഏണി,nərdivan
371,Besen::N,ചൂല്,süpürgə
372,Spaten::N,തൂമ്പ,kürək
373,Schaufel::N,തൂമ്പ,kürək
374,Gabel::N,മുൾക്കത്തി,çəngəl
375,Löffel::N,സ്പൂൺ,qaşıq
376,Messer::N,കത്തി,bıçaq
377,Nagel::N,ആണി,mıx
378,Netz::N,വല,tor
379,Haken::N,കൊളുത്ത്,çəngəl
380,Griff::N,കൈപ്പിടി,qulp
381,Griff::N,കൈപ്പിടി,tutacaq
382,Schloss::N,പൂട്ട്,qıfıl
383,Bild::N,ചിത്രം,rəsm
384,Figur::N,കണക്ക്,şəkil
385,Figur::N,കണക്ക്,heykəl
386,Puppe::N,പാവ,kukla
387,Puppe::N,പാവ,gəlincik
388,Beutel::N,ബാഗ്,kisə
389,Beutel::N,ബാഗ്,torba
390,Bündel::N,കെട്ട്,bağlama
391,Tasche::N,ബാഗ്,çanta
392,Eimer::N,ബക്കറ്റ്,vedrə
393,Eimer::N,ബക്കറ്റ്,çəllək
394,Deckel::N,ഉറ,qapaq
395,Geschirr::N,പിഞ്ഞാണം,qab-qazan
396,Sack::N,ചാക്ക്,çuval
397,Tasse::N,കപ്പ്,fincan
398,Topf::N,പാത്രം,qazan
399,Kessel::N,കെറ്റ്ല്,qazan
400,Essen::N,ആഹാരസമയം,yemək
401,Nahrung::N,ഭക്ഷണം,qida
402,Speise::N,ഡിഷ്,xörək
403,Fleisch::N,മാംസം,ət
404,Getreide::N,ചോളം,taxıl
405,Brei::N,കഞ്ഞി,aş
406,Brei::N,കഞ്ഞി,sıyıq
407,Brot::N,റോട്ടി,çörək
408,Scheibe::N,തുണ്ട്,dilim
409,Fett::N,കൊഴുപ്പ്,yağ
410,Butter::N,വെണ്ണ,kərə yağı
411,Öl::N,എണ്ണ,yağ
412,Salz::N,ഉപ്പ്,duz
413,Suppe::N,സൂപ്പ്,şorba
414,Honig::N,തേൻ,bal
415,Milch::N,പാൽ,süd
416,Tee::N,ചായ,çay
417,Leder::N,തുകൽ,dəri
418,Wolle::N,കമ്പിളി,yun
419,Stoff::N,തുണി,qumaş
420,Nadel::N,സൂചി,iynə
421,Faden::N,നൂല്,sap
422,Knopf::N,ബട്ടൺ,düymə
423,Knoten::N,കുരുക്ക്,düyün
424,Farbe::N,പെയിൻറ്,boya
425,Kleidung::N,വസ്ത്രങ്ങൾ,geyim
426,Hemd::N,ഷർട്ട്,köynək
427,Kragen::N,കുപ്പായക്കഴുത്ത്,yaxa
428,Ärmel::N,കുപ്പായക്കൈ,qol
429,Hose::N,ട്രൌസർ,şalvar
430,Gürtel::N,ബെൽറ്റ്,kəmər
431,Mütze::N,തൊപ്പി,şapka
432,Schuh::N,ഷൂ,tufli
433,Schuh::N,ഷൂ,ayaqqabı
434,Stiefel::N,ബൂട്ട്,çəkmə
435,Ring::N,മോതിരം,üzük
436,Band::N,റിബൺ,lent
437,Kamm::N,ചീപ്പ്,daraq
438,Spiegel::N,കണ്ണാടി,güzgü
439,Riemen::N,സ്ട്രാപ്പ്,qayış
440,Schnur::N,ചരട്,ip
441,Leine::N,കെട്ടാനുള്ള തോൽവാർ,kəmsik
442,Decke::N,പുതപ്പ്,ədyal
443,Decke::N,പുതപ്പ്,yorğan
444,Kissen::N,തലയിണ,yastıq
445,Tuch::N,സ്കാർഫ്,şarf
446,Tuch::N,സ്കാർഫ്,kaşne
447,Handtuch::N,തോർത്ത്,dəsmal
448,Kraft::N,ശക്തി,güc
449,Stärke::N,ശക്തി,qüvvət
450,Gesundheit::N,ആരോഗ്യം,sağlamlıq
451,Krankheit::N,അസുഖം,xəstəlik
452,Schmerz::N,വേദന,ağrı
453,Schmerz::N,വേദന,sancı
454,Wunde::N,മുറിവ്,yara
455,Fieber::N,പനി,isitmə
456,Fieber::N,പനി,qızdırma
457,Arznei::N,മരുന്ന്,ilaç
458,Arznei::N,മരുന്ന്,dərman
459,Brücke::N,പാലം,körpü
460,Brunnen::N,കിണർ,quyu
461,Weide::N,മേച്ചൽ,otlaq
462,Pfad::N,വഴി,cığır
463,Weg::N,വഴി,yol
464,Straße::N,റോഡ്,küçə
465,Dorf::N,ഗ്രാമം,kənd
466,Stadt::N,നഗരം,şəhər
467,Brief::N,കത്ത്,məktub
468,Buch::N,പുസ്തകം,kitab
469,Buchstabe::N,അക്ഷരം,hərf
470,Zeitung::N,വർത്തമാനപത്രം,qəzet
471,Leben::N,ജീവൻ,həyat
472,Tod::N,മരണം,ölüm
473,Grab::N,ശവക്കുഴി,qəbir
474,Kirche::N,പള്ളി,kilsə
475,Sünde::N,പാപം,günah
476,Gott::N,ദൈവം,tanrı
477,Arbeiter::N,ജോലിക്കാരൻ,işçi
478,Chef::N,മേധാവി,şef
479,Chef::N,മേധാവി,rəis
480,Meister::N,യജമാനൻ,usta
481,Arzt::N,ഡോക്ടർ,həkim
482,Arzt::N,ഡോക്ടർ,doktor
483,Lehrer::N,അധ്യാപകൻ,müəllim
484,Geld::N,പണം,pul
485,Geschäft::N,ബിസിനസ്,ticarət
486,Laden::N,കട,dükan
487,Preis::N,വില,qiymət
488,Ware::N,ചരക്ക്,mal
489,Nutzen::N,ലാഭം,fayda
490,Reichtum::N,ധനം,zənginlik
491,Welt::N,ലോകം,aləm
492,Welt::N,ലോകം,dünya
493,Land::N,രാജ്യം,ölkə
494,Staat::N,രാജ്യം,dövlət
495,König::N,രാജാവ്,kral
496,König::N,രാജാവ്,məlik
497,Macht::N,അധികാരം,qüdrət
498,Grenze::N,അതിർത്തി,hüdud
499,Grenze::N,അതിർത്തി,sərhət
500,Krieg::N,യുദ്ധം,hərb
501,Krieg::N,യുദ്ധം,müharibə
502,Feind::N,ശത്രു,düşmən
503,Gewalt::N,അക്രമം,cəbr
504,Kampf::N,പോരാട്ടം,savaş
505,Bogen[Waffe]::N,വില്ല്,yay
506,Pfeil::N,അമ്പ്,ox
507,Gewehr::N,തോക്ക്,tüfəng
508,Fehler::N,പിശക്,xəta
509,Lüge::N,കള്ളം,yalan
510,Schaden::N,കേടുപാട്,ziyan
511,Unglück::N,ദൌർഭാഗ്യം,bəla
512,Schuld::N,തെറ്റ്,təqsir
513,Alter::N,വയസ്സ്,yaş
514,Schluss::N,നിഗമനം,son
515,Zeit::N,സമയം,vaxt
516,Zeit::N,സമയം,zaman
517,Tag::N,ദിവസം,gün
518,Morgen::N,പ്രഭാതം,sabah
519,Mittag::N,ഉച്ച,günorta
520,Abend::N,സായാഹ്നം,axşam
521,Nacht::N,രാത്രി,gecə
522,Woche::N,ആഴ്ച,həftə
523,Monat::N,മാസം,ay
524,Jahr::N,വർഷം,il
525,Frühling::N,വസന്തം,yaz
526,Frühling::N,വസന്തം,bahar
527,Sommer::N,വേനൽ,yay
528,Herbst::N,ശരത്കാലം,payız
529,Winter::N,ശൈത്യം,qış
530,Januar::N,ജനുവരി,Janvar
531,Februar::N,ഫെബ്രുവരി,Fevral
532,März::N,മാർച്ച്,Mart
533,April::N,ഏപ്രിൾ മാസം,Aprel
534,Mai::N,മെയ് മാസം,May
535,Juni::N,ജൂൺ,İyun
536,Juli::N,ജൂലൈ,İyul
537,August::N,ആഗസ്റ്റ്,Avqust
538,September::N,സെപ്തംബർ,Sentyabr
539,Oktober::N,ഒക്ടോബർ,Oktyabr
540,November::N,നവംബർ,Noyabr
541,Dezember::N,ഡിസംബർ,Dekabr
542,Montag::N,തിങ്കളാഴ്ച,bazar ertəsi
543,Dienstag::N,ചൊവ്വ,çərşənbə axşamı
544,Mittwoch::N,ബുധനാഴ്ച,çərşənbə
545,Donnerstag::N,വ്യാഴാഴ്ച,cüme axşamı
546,Freitag::N,വെള്ളിയാഴ്ച,cüme
547,Samstag::N,ശനിയാഴ്ച,şənbə
548,Sonntag::N,ഞായറാഴ്ച,bazar
549,groß::A,വലിയ,böyük
550,klein::A,ചെറിയ,kiçik
551,lang::A,നീണ്ട,uzun
552,kurz::A,ഹ്രസ്വമായ,qısa
553,breit::A,വിശാലമായ,enli
554,breit::A,വിശാലമായ,geniş
555,schmal::A,ഇടുങ്ങിയ,dar
556,dicht::A,നിബിഡമായ,sıx
557,dick[Gegenstand]::A,തടിച്ച,qalın
558,dünn::A,മെലിഞ്ഞ,nazik
559,fein::A,നേർത്ത,incə
560,fest::A,ഉറപ്പുള്ള,bərk
561,fest::A,ഉറപ്പുള്ള,möhkəm
562,flach::A,പരന്ന,düz
563,glatt::A,മിനുസമുള്ള,hamar
564,hart::A,കട്ടിയുള്ള,sərt
565,weich::A,മൃദുവായ,yumşaq
566,rund::A,വട്ടത്തിലുള്ള,yuvarlaq
567,spitz::A,മുനയുള്ള,uclu
568,spitz::A,മുനയുള്ള,sivri
569,scharf::A,മൂർച്ചയുള്ള,kəskin
570,stumpf::A,തുറന്നടിക്കുന്ന,küt
571,schwer::A,ഭാരമുള്ള,ağır
572,schön::A,മനോഹരമായ,gözəl
573,schön::A,മനോഹരമായ,gəşəng
574,heiß::A,ചൂടുള്ള,isti
575,warm::A,ചൂടുള്ള,ilıq
576,kalt::A,തണുത്ത,soyuq
577,kühl::A,തണുപ്പുള്ള,sərin
578,frisch::A,ശുദ്ധമായ,təzə
579,feucht::A,ഈറനുള്ള,nəm
580,nass::A,നനഞ്ഞ,yaş
581,trocken::A,വരണ്ട,quru
582,voll::A,നിറയെ,dolu
583,leer::A,ഒഴിഞ്ഞ,boş
584,offen::A,തുറന്ന,açıq
585,geschlossen::A,അടച്ച,qapalı
586,sauber::A,വൃത്തിയുള്ള,təmiz
587,schmutzig::A,അഴുക്കുനിറഞ്ഞ,kirli
588,roh::A,അസംസ്കൃതമായ,çiy
589,reif::A,പഴുത്ത,yetişmiş
590,lecker::A,രുചികരമായ,dadlı
591,lecker::A,രുചികരമായ,ləzzətli
592,süß::A,മധുരമുള്ള,şirin
593,bitter::A,കടുത്ത,acı
594,sauer::A,പുളിപ്പുള്ള,turş
595,hell::A,ജ്വലിക്കുന്ന,aydın
596,dunkel::A,ഇരുണ്ട,qaranlıq
597,schwarz::A,കറുത്ത,qara
598,weiß::A,വെളുത്ത,ağ
599,rot::A,ചുവന്ന,qırmızı
600,gelb::A,മഞ്ഞനിറമായ,sarı
601,blau::A,നീലനിറമുള്ള,göy
602,blau::A,നീലനിറമുള്ള,mavi
603,grün::A,പച്ചനിറമുള്ള,yaşıl
604,grau::A,ചാരനിറത്തിലുള്ള,boz
605,bunt::A,വർണ്ണശബളമായ,əlvan
606,bunt::A,വർണ്ണശബളമായ,rəngli
607,billig::A,വിലകുറഞ്ഞ,ucuz
608,teuer::A,ചെലവേറിയ,bahalı
609,wertvoll::A,വിലപിടിപ്പുള്ള,qiymətli
610,blind::A,അന്ധനായ,kor
611,taub::A,കേൾവിക്കുറവുള്ള,kar
612,kräftig::A,ശക്തിയുള്ള,güclü
613,stark::A,ബലമുള്ള,qüvvətli
614,schwach::A,ക്ഷീണിച്ച,zəif
615,schwach::A,ക്ഷീണിച്ച,gücsüz
616,fett::A,കൊഴുപ്പുള്ള,şişman
617,schlank::A,മെലിഞ്ഞ,zərif
618,hübsch::A,മനോഹരമായ,göyçək
619,böse::A,പാപിയായ,fəna
620,dumm::A,വിവരംകെട്ട,axmaq
621,faul::A,അലസനായ,tənbəl
622,fleißig::A,അദ്ധ്വാനശീലമുള്ള,çalışqan
623,geizig::A,പിശുക്കനായ,xəsis
624,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,ağıllı
625,geschickt::A,പ്രതിഭാശാലി,bacarıqlı
626,lieb::A,പ്രിയപ്പെട്ട,əziz
627,lieb::A,പ്രിയപ്പെട്ട,sevimli
628,lustig::A,ആനന്ദകരമായ,məzəli
629,lustig::A,ആനന്ദകരമായ,gülməli
630,sanft::A,സൌമ്യമായ,mülayim
631,hungrig::A,വിശപ്പുള്ള,ac
632,krank::A,അസുഖമുള്ള,xəstə
633,nackt::A,നഡമായ,çılpaq
