,Concept_ID,uk,cs
63,Stern::N,зірка,hvězda
64,Luft::N,повітря,vzduch
65,Wind::N,вітер,vítr
66,Welle::N,хвиля,vlna
67,Wasser::N,вода,voda
68,Stein::N,камінь,kámen
69,Boden::N,ґрунт,půda
70,Erde::N,земля,země
71,Staub::N,пил,prach
72,Rauch::N,дим,dým
73,Rauch::N,дим,kouř
74,Funke::N,іскра,jiskra
75,Feuer::N,вогонь,oheň
76,Licht::N,світло,světlo
77,Schatten::N,тінь,stín
78,Wetter::N,погода,počasí
79,Nebel::N,туман,mlha
80,Wolke::N,хмара,mrak
81,Wolke::N,хмара,oblak
82,Regen::N,дощ,déšť
83,Schnee::N,сніг,sníh
84,Eis::N,лід,led
85,Frost::N,мороз,mráz
86,Kälte::N,холод,chlad
87,Hitze::N,жар,horko
88,Raureif::N,іній,jinovatka
89,Regenbogen::N,райдуга,duha
90,Donner::N,грім,hrom
91,Strömung::N,струмина,proudění
92,Tropfen::N,крапля,kapka
93,Schaum::N,піна,pěna
94,Schmutz::N,бруд,špína
95,See::N,озеро,jezero
96,Sumpf::N,драговина,močál
97,Sumpf::N,драговина,bažina
98,Moor::N,болото,bažina
99,Moor::N,болото,slatina
100,Wiese::N,луг,louka
101,Wiese::N,лука,louka
102,Wald::N,ліс,les
103,Hügel::N,горб,kopec
104,Anhöhe::N,височина,pahorek
105,Berg::N,гора,hora
106,Gipfel::N,вершина,vrchol
107,Höhle::N,печера,jeskyně
108,Abhang::N,схил,svah
109,Abhang::N,схил,stráň
110,Quelle::N,джерело,pramen
111,Bach::N,струмок,potok
112,Fluss::N,річка,řeka
113,Ufer::N,берег,břeh
114,Küste::N,узбережжя,pobřeží
115,Festland::N,суша,souš
116,Festland::N,суша,pevnina
117,Meer::N,море,moře
118,Bucht::N,бухта,záliv
119,Bucht::N,бухта,zátoka
120,Bucht::N,затока,záliv
121,Bucht::N,затока,zátoka
122,Insel::N,острів,ostrov
123,Blume::N,квітка,květina
124,Gras::N,трава,tráva
125,Wurzel::N,корінь,kořen
126,Baum::N,дерево,strom
127,Stamm::N,стовбур,kmen
128,Rinde::N,кора,kůra
129,Ast::N,гілка,větev
130,Zweig::N,галузь,větev
131,Blatt::N,лист,lupen
132,Birke::N,береза,bříza
133,Kiefer[Baum]::N,сосна,sosna
134,Kiefer[Baum]::N,сосна,borovice
135,Weide[Baum]::N,верба,vrba
136,Tanne::N,ялиця,jedle
137,Horn::N,ріг,roh
138,Feder::N,перо,pero
139,Fell::N,хутро,srst
140,Flügel::N,крило,křídlo
141,Klaue::N,кіготь,dráp
142,Klaue::N,кіготь,pazneht
143,Kralle::N,лапа,dráp
144,Schwanz::N,хвіст,ocas
145,Ei::N,яйце,vejce
146,Nest::N,гніздо,hnízdo
147,Bau::N,лігво,nora
148,Tier::N,тварина,zvíře
149,Herde::N,стадо,stádo
150,Kuh::N,корова,kráva
151,Bulle::N,бик,býk
152,Bulle::N,бугай,býk
153,Pferd::N,кінь,kůň
154,Schaf::N,вівця,ovce
155,Schwein::N,свиня,vepř
156,Schwein::N,свиня,prase
157,Hund::N,собака,pes
158,Katze::N,кішка,kočka
159,Bär::N,ведмідь,medvěd
160,Eichhörnchen::N,білка,veverka
161,Elch::N,лось,los
162,Fuchs::N,лисиця,liška
163,Hase::N,заєць,zajíc
164,Maus::N,миша,myš
165,Wolf::N,вовк,vlk
166,Vogel::N,птах,pták
167,Schwarm::N,зграя,roj
168,Schwarm::N,зграя,hejno
169,Huhn::N,курка,kuře
170,Huhn::N,курка,slepice
171,Hahn::N,півень,kohout
172,Gans::N,гуска,husa
173,Adler::N,орел,orel
174,Ente::N,качка,kachna
175,Eule::N,сова,sova
176,Kranich::N,журавель,jeřáb
177,Krähe::N,ворона,vrána
178,Kuckuck::N,зозуля,kukačka
179,Schwan::N,лебідь,labuť
180,Fisch::N,риба,ryba
181,Barsch::N,окунь,okoun
182,Hecht::N,щука,štika
183,Schlange[Tier]::N,змія,had
184,Wurm::N,черв’як,červ
185,Spinne::N,павук,pavouk
186,Ameise::N,мурашка,mravenec
187,Laus::N,воша,veš
188,Mücke::N,комар,komár
189,Fliege::N,муха,moucha
190,Schmetterling::N,метелик,motýl
191,Beere::N,ягода,bobule
192,Apfel::N,яблуко,jablko
193,Pilz::N,гриб,houba
194,Zwiebel::N,цибуля,cibule
195,Saat::N,сім’я,osivo
196,Korn::N,зерно,zrno
197,Heu::N,сіно,seno
198,Schale::N,шкірка,slupka
199,Schale::N,шкірка,skořápka
200,Grube::N,яма,jáma
201,Falle::N,пастка,past
202,Falle::N,пастка,léčka
203,Schlinge::N,петля,smyčka
204,Spur::N,слід,stopa
205,Asche::N,зола,popel
206,Asche::N,попіл,popel
207,Dreck::N,бруд,špína
208,Eisen::N,залізо,železo
209,Gold::N,золото,zlato
210,Silber::N,срібло,stříbro
211,Kohle::N,вугілля,uhlí
212,Glas::N,скло,sklo
213,Lehm::N,глина,jíl
214,Lehm::N,глина,hlína
215,Sand::N,пісок,písek
216,Mensch::N,людина,člověk
217,Mann::N,чоловік,muž
218,Frau::N,жінка,žena
219,Kind::N,дитина,dítě
220,Junge::N,хлопець,hoch
221,Junge::N,хлопець,chlapec
222,Mädchen::N,дівчина,děvče
223,Familie::N,сім’я,rodina
224,Familie::N,родина,rodina
225,Großvater::N,дідусь,děd
226,Großvater::N,дідусь,dědeček
227,Großmutter::N,бабуся,babička
228,Eltern::N,батьки,rodiče
229,Vater::N,батько,otec
230,Mutter::N,мати,matka
231,Sohn::N,син,syn
232,Tochter::N,дочка,dcera
233,Bruder::N,брат,bratr
234,Schwester::N,сестра,sestra
235,Onkel::N,дядько,strýc
236,Tante::N,тітка,teta
237,Ehemann::N,чоловік,choť
238,Ehemann::N,чоловік,manžel
239,Ehefrau::N,жінка,choť
240,Ehefrau::N,жінка,manželka
241,Ehefrau::N,дружина,choť
242,Ehefrau::N,дружина,manželka
243,Freude::N,радощі,radost
244,Gelächter::N,сміх,smích
245,Glück::N,щастя,štěstí
246,Kummer::N,горе,žal
247,Kummer::N,горе,trápení
248,Wunsch::N,бажання,přání
249,Lust::N,бажання,chuť
250,Geist::N,дух,duch
251,Gedanke::N,думка,myšlenka
252,Gedächtnis::N,пам’ять,paměť
253,Verstand::N,розум,rozum
254,Sinn::N,зміст,smysl
255,Sinn::N,значення,smysl
256,Grund::N,причина,důvod
257,Wahrheit::N,правда,pravda
258,Gespräch::N,розмова,rozhovor
259,Märchen::N,байка,pohádka
260,Erzählung::N,повість,povídka
261,Erzählung::N,оповідання,povídka
262,Nachricht::N,повідомлення,zpráva
263,Neuigkeit::N,новина,novina
264,Neuigkeit::N,новина,novinka
265,Name::N,ім’я,jméno
266,Rätsel::N,загадка,hádanka
267,Rede::N,промова,řeč
268,Rede::N,промова,proslov
269,Sprache::N,мова,řeč
270,Sprache::N,мова,jazyk
271,Stimme::N,голос,hlas
272,Wort::N,слово,slovo
273,Zeichen::N,знак,znamení
274,Ruf::N,оклик,zavolání
275,Lärm::N,шум,hluk
276,Laut::N,звук,zvuk
277,Ton::N,тон,tón
278,Lied::N,пісня,píseň
279,Ruhe::N,спокій,klid
280,Ruhe::N,спокій,pokoj
281,Leute::N,люди,lidé
282,Volk::N,народ,národ
283,Arbeit::N,робота,práce
284,Gast::N,гість,host
285,Geschenk::N,подарунок,dar
286,Spiel::N,гра,hra
287,Gesellschaft::N,товариство,společnost
288,Hilfe::N,допомога,pomoc
289,Freund::N,друг,přítel
290,Freund::N,приятель,přítel
291,Kamerad::N,товариш,kamarád
292,Angelegenheit::N,справа,záležitost
293,Anzahl::N,число,počet
294,Art::N,рід,druh
295,Stück::N,кусок,kus
296,Stück::N,кусок,kousek
297,Teil::N,частина,díl
298,Teil::N,частина,část
299,Hälfte::N,половина,půl
300,Kreis::N,круг,kruh
301,Kreis::N,коло,kruh
302,Kreuz::N,хрест,kříž
303,Linie::N,лінія,linka
304,Strich::N,штрих,čára
305,Strich::N,штрих,čárka
306,Abstand::N,проміжок,vzdálenost
307,Entfernung::N,відстань,vzdálenost
308,Gegend::N,місцевість,krajina
309,Platz::N,площа,prostor
310,Ort::N,місце,místo
311,Seite::N,сторона,strana
312,Mitte::N,середина,střed
313,Mitte::N,середина,prostředek
314,Gegenstand::N,предмет,předmět
315,Sache::N,річ,věc
316,Rand::N,край,kraj
317,Rand::N,край,okraj
318,Kante::N,ребро,hrana
319,Ecke::N,ріг,roh
320,Spitze::N,кінчик,hrot
321,Spitze::N,кінчик,špička
322,Ende::N,кінець,konec
323,Loch::N,діра,díra
324,Winkel::N,куток,kout
325,Muster::N,узор,vzor
326,Größe::N,розмір,velikost
327,Länge::N,довжина,délka
328,Höhe::N,висота,výška
329,Gewicht::N,вага,váha
330,Menge::N,кількість,množství
331,Haufen::N,купа,kupa
332,Haufen::N,купа,hromada
333,Reihe::N,ряд,řada
334,Reihe::N,ряд,řádek
335,Boot::N,човен,člun
336,Ruder::N,весло,veslo
337,Schlitten::N,сани,sáně
338,Ski::N,лижа,lyže
339,Lagerfeuer::N,вогнище,táborák
340,Last::N,тягар,náklad
341,Last::N,тягар,břemeno
342,Last::N,вантаж,náklad
343,Last::N,вантаж,břemeno
344,Gang::N,хід,chůze
345,Gang::N,хід,chodba
346,Schritt::N,крок,krok
347,Norden::N,північ,sever
348,Süden::N,південь,jih
349,Westen::N,захід,západ
350,Osten::N,схід,východ
351,Holz::N,дрова,dřevo
352,Brett::N,дошка,prkno
353,Platte::N,плита,deska
354,Stütze::N,підпірка,opěra
355,Stange::N,жердина,tyč
356,Stange::N,жердина,tyčka
357,Stock::N,палиця,hůlka
358,Stab::N,палиця,hůl
359,Rohr::N,труба,trubka
360,Haus::N,дім,dům
361,Haus::N,хата,dům
362,Heim::N,житло,domov
363,Ofen::N,піч,kamna
364,Fußboden::N,підлога,podlaha
365,Tisch::N,стіл,stůl
366,Stuhl::N,стілець,židle
367,Wiege::N,колиска,kolébka
368,Bett::N,ліжко,postel
369,Bett::N,постіль,postel
370,Regal::N,полиця,regál
371,Regal::N,полиця,police
372,Kiste::N,ящик,bedna
373,Fenster::N,вікно,okno
374,Tür::N,двері,dveře
375,Tor::N,ворота,vrata
376,Zaun::N,паркан,plot
377,Zaun::N,огорожа,plot
378,Dach::N,дах,střecha
379,Leiter::N,драбина,žebřík
380,Besen::N,мітла,koště
381,Besen::N,мітла,smeták
382,Spaten::N,заступ,rýč
383,Schaufel::N,совок,lopata
384,Schaufel::N,лопата,lopata
385,Gabel::N,виделка,vidlička
386,Löffel::N,ложка,lžíce
387,Messer::N,ніж,nůž
388,Nagel::N,цвях,hřebík
389,Netz::N,сіть,síť
390,Haken::N,крюк,hák
391,Griff::N,ручка,držadlo
392,Griff::N,держак,držadlo
393,Schloss::N,замок,zámek
394,Bild::N,картина,obraz
395,Figur::N,фігура,figura
396,Puppe::N,лялька,panenka
397,Beutel::N,мішечок,pytlík
398,Beutel::N,торбинка,pytlík
399,Bündel::N,в’язка,svazek
400,Tasche::N,сумка,taška
401,Tasche::N,сумка,brašna
402,Eimer::N,відро,kýbl
403,Eimer::N,відро,vědro
404,Deckel::N,кришка,víko
405,Deckel::N,кришка,příklop
406,Geschirr::N,посуд,nádobí
407,Sack::N,мішок,pytel
408,Tasse::N,чашка,šálek
409,Topf::N,горщик,hrnec
410,Kessel::N,котел,kotel
411,Essen::N,їжа,jídlo
412,Nahrung::N,харч,strava
413,Nahrung::N,харч,potrava
414,Speise::N,страва,jídlo
415,Fleisch::N,м’ясо,maso
416,Getreide::N,хліб,obilí
417,Getreide::N,збіжжя,obilí
418,Brei::N,каша,kaše
419,Brot::N,хліб,chléb
420,Scheibe::N,скибочка,krajíc
421,Fett::N,жир,tuk
422,Fett::N,жир,omastek
423,Butter::N,масло,máslo
424,Öl::N,олія,olej
425,Salz::N,сіль,sůl
426,Suppe::N,суп,polévka
427,Honig::N,мед,med
428,Milch::N,молоко,mléko
429,Tee::N,чай,čaj
430,Leder::N,шкіра,kůže
431,Wolle::N,шерсть,vlna
432,Stoff::N,тканина,látka
433,Nadel::N,голка,jehla
434,Faden::N,нитка,nit
435,Knopf::N,ґудзик,knoflík
436,Knoten::N,вузол,uzel
437,Farbe::N,фарба,barva
438,Kleidung::N,одяг,šaty
439,Kleidung::N,одяг,šatstvo
440,Kleidung::N,убрання,šaty
441,Kleidung::N,убрання,šatstvo
442,Hemd::N,сорочка,košile
443,Kragen::N,комір,límec
444,Ärmel::N,рукав,rukáv
445,Hose::N,брюки,kalhoty
446,Gürtel::N,пояс,pás
447,Gürtel::N,пояс,opasek
448,Mütze::N,шапка,čepice
449,Schuh::N,ботинок,bota
450,Stiefel::N,чобіт,holínka
451,Ring::N,кільце,prsten
452,Band::N,стрічка,pásek
453,Kamm::N,гребінець,hřeben
454,Spiegel::N,дзеркало,zrcadlo
455,Riemen::N,ремінь,řemen
456,Schnur::N,вірьовка,šňůra
457,Leine::N,шворка,vodítko
458,Decke::N,ковдра,pokrývka
459,Decke::N,ковдра,přikrývka
460,Kissen::N,подушка,polštář
461,Tuch::N,хустка,šátek
462,Handtuch::N,рушник,ručník
463,Kraft::N,сила,síla
464,Stärke::N,сила,síla
465,Gesundheit::N,здоров’я,zdraví
466,Krankheit::N,хвороба,nemoc
467,Krankheit::N,хвороба,choroba
468,Schmerz::N,біль,bolest
469,Wunde::N,рана,rána
470,Fieber::N,гарячка,horečka
471,Arznei::N,ліки,lék
472,Brücke::N,міст,most
473,Brunnen::N,колодязь,studna
474,Weide::N,пасовище,pastva
475,Weide::N,пасовище,pastvina
476,Pfad::N,стежка,pěšina
477,Weg::N,шлях,cesta
478,Weg::N,дорога,cesta
479,Straße::N,вулиця,silnice
480,Dorf::N,село,vesnice
481,Stadt::N,місто,město
482,Brief::N,лист,dopis
483,Buch::N,книга,kniha
484,Buch::N,книжка,kniha
485,Buchstabe::N,буква,písmeno
486,Buchstabe::N,літера,písmeno
487,Zeitung::N,газета,noviny
488,Leben::N,життя,život
489,Tod::N,смерть,smrt
490,Grab::N,могила,hrob
491,Kirche::N,церква,kostel
492,Sünde::N,гріх,hřích
493,Gott::N,бог,bůh
494,Arbeiter::N,робітник,dělník
495,Arbeiter::N,робітник,pracovník
496,Chef::N,хазяїн,šéf
497,Chef::N,хазяїн,vedoucí
498,Meister::N,умілець,mistr
499,Arzt::N,лікар,lékař
500,Lehrer::N,вчитель,učitel
501,Geld::N,гроші,peníze
502,Geschäft::N,заняття,obchod
503,Laden::N,магазин,krám
504,Laden::N,крамниця,krám
505,Preis::N,ціна,cena
506,Ware::N,товар,zboží
507,Nutzen::N,вигода,užitek
508,Nutzen::N,користь,užitek
509,Reichtum::N,багатство,bohatství
510,Welt::N,світ,svět
511,Land::N,країна,země
512,Staat::N,держава,stát
513,König::N,король,král
514,Macht::N,влада,moc
515,Macht::N,влада,mocnost
516,Grenze::N,кордон,hranice
517,Krieg::N,війна,válka
518,Feind::N,ворог,nepřítel
519,Gewalt::N,насильство,násilí
520,Kampf::N,бій,boj
521,Kampf::N,боротьба,boj
522,Bogen[Waffe]::N,лук,luk
523,Pfeil::N,стріла,šíp
524,Gewehr::N,рушниця,puška
525,Gewehr::N,рушниця,ručnice
526,Gewehr::N,гвинтівка,puška
527,Gewehr::N,гвинтівка,ručnice
528,Fehler::N,помилка,chyba
529,Lüge::N,брехня,lež
530,Schaden::N,шкода,škoda
531,Schaden::N,збиток,škoda
532,Unglück::N,нещастя,neštěstí
533,Schuld::N,провина,vina
534,Alter::N,вік,věk
535,Alter::N,літа,věk
536,Schluss::N,кінець,konec
537,Zeit::N,час,čas
538,Tag::N,день,den
539,Morgen::N,ранок,ráno
540,Morgen::N,ранок,jitro
541,Mittag::N,південь,poledne
542,Abend::N,вечір,večer
543,Nacht::N,ніч,noc
544,Woche::N,тиждень,týden
545,Monat::N,місяць,měsíc
546,Jahr::N,рік,rok
547,Frühling::N,весна,jaro
548,Sommer::N,літо,léto
549,Herbst::N,осінь,podzim
550,Winter::N,зима,zima
551,Januar::N,січень,leden
552,Februar::N,лютий,únor
553,März::N,березень,březen
554,April::N,квітень,duben
555,Mai::N,травень,květen
556,Juni::N,червень,červen
557,Juli::N,липень,červenec
558,August::N,серпень,srpen
559,September::N,вересень,září
560,Oktober::N,жовтень,říjen
561,November::N,листопад,listopad
562,Dezember::N,грудень,prosinec
563,Montag::N,понеділок,pondělí
564,Montag::N,понеділок,pondělek
565,Dienstag::N,вівторок,úterý
566,Mittwoch::N,середа,středa
567,Donnerstag::N,четвер,čtvrtek
568,Freitag::N,п’ятниця,pátek
569,Samstag::N,субота,sobota
570,Sonntag::N,неділя,neděle
571,groß::A,великий,velký
572,klein::A,малий,malý
573,klein::A,маленький,malý
574,lang::A,довгий,dlouhý
575,kurz::A,короткий,krátký
576,breit::A,широкий,široký
577,schmal::A,вузький,úzký
578,dicht::A,густий,hustý
579,dick[Gegenstand]::A,товстий,tlustý
580,dünn::A,тонкий,tenký
581,fein::A,дрібний,jemný
582,fest::A,міцний,pevný
583,flach::A,плоский,plochý
584,flach::A,плоский,placatý
585,glatt::A,рівний,hladký
586,glatt::A,гладенький,hladký
587,hart::A,твердий,tvrdý
588,weich::A,м’який,měkký
589,rund::A,круглий,kulatý
590,rund::A,круглий,okrouhlý
591,spitz::A,гострокінцевий,špičatý
592,scharf::A,гострий,ostrý
593,stumpf::A,тупий,tupý
594,schwer::A,важкий,těžký
595,schön::A,вродливий,pěkný
596,schön::A,вродливий,krásný
597,heiß::A,жаркий,horký
598,heiß::A,гарячий,horký
599,warm::A,теплий,teplý
600,kalt::A,холодний,studený
601,kühl::A,прохолодний,chladný
602,frisch::A,свіжий,svěží
603,feucht::A,вогкий,vlhký
604,nass::A,мокрий,mokrý
605,trocken::A,сухий,suchý
606,voll::A,повний,plný
607,leer::A,пустий,prázdný
608,offen::A,відкритий,otevřený
609,geschlossen::A,закритий,zavřený
610,geschlossen::A,зачинений,zavřený
611,sauber::A,чистий,čistý
612,sauber::A,охайний,čistý
613,schmutzig::A,брудний,špinavý
614,roh::A,сирий,syrový
615,reif::A,зрілий,zralý
616,lecker::A,смачний,chutný
617,süß::A,солодкий,sladký
618,bitter::A,гіркий,hořký
619,sauer::A,кислий,kyselý
620,hell::A,світлий,světlý
621,dunkel::A,темний,temný
622,schwarz::A,чорний,černý
623,weiß::A,сивий,bílý
624,rot::A,червоний,rudý
625,rot::A,червоний,červený
626,gelb::A,жовтий,žlutý
627,blau::A,синій,modrý
628,grün::A,зелений,zelený
629,grau::A,сірий,šedý
630,grau::A,сірий,šedivý
631,bunt::A,барвистий,pestrý
632,billig::A,дешевий,levný
633,billig::A,дешевий,laciný
634,teuer::A,дорогий,drahý
635,wertvoll::A,цінний,cenný
636,blind::A,сліпий,slepý
637,taub::A,глухий,hluchý
638,kräftig::A,могутній,silný
639,stark::A,сильний,silný
640,schwach::A,слабкий,slabý
641,fett::A,жирний,tučný
642,fett::A,жирний,tlustý
643,fett::A,товстий,tučný
644,fett::A,товстий,tlustý
645,schlank::A,тонкий,štíhlý
646,schlank::A,стрункий,štíhlý
647,hübsch::A,чарівний,hezký
648,böse::A,злий,zlý
649,böse::A,лихий,zlý
650,dumm::A,дурний,hloupý
651,faul::A,ледачий,líný
652,fleißig::A,старанний,pilný
653,geizig::A,скупий,lakomý
654,klug::A,мудрий,chytrý
655,klug::A,розумний,chytrý
656,geschickt::A,умілий,šikovný
657,lieb::A,милий,milý
658,lustig::A,веселий,veselý
659,sanft::A,лагідний,mírný
660,hungrig::A,голодний,hladový
661,krank::A,слабий,nemocný
662,nackt::A,голий,nahý
663,traurig::A,сумний,smutný
664,traurig::A,сумний,truchlivý
665,lebendig::A,живий,živý
666,gut::A,добрий,dobrý
667,schlecht::A,поганий,špatný
668,schlecht::A,кепський,špatný
669,richtig::A,правильний,pravý
670,richtig::A,правильний,správný
671,schlimm::A,бридкий,zlý
672,wahr::A,справжній,pravdivý
673,alt::A,старий,starý
674,neu::A,новий,nový
675,ehemalig::A,колишній,bývalý
676,alt[Lebewesen]::A,старий,starý
677,jung::A,молодий,mladý
678,arm::A,бідний,chudý
679,reich::A,багатий,bohatý
680,bekannt::A,знайомий,známý
681,berühmt::A,славетний,slavný
682,fremd::A,чужий,cizí
683,verschieden::A,різний,různý
684,verschieden::A,різний,rozličný
685,nah::A,близький,blízký
686,fern::A,далекий,daleký
687,linker::A,лівий,levý
688,rechter::A,правий,pravý
689,anderer::A,інакший,jiný
690,erster::A,перший,první
691,zweiter::A,другий,druhý
692,dritter::A,третій,třetí
693,letzter::A,останній,poslední
694,allein::ADV,сам,sám
695,allein::ADV,один,sám
696,auf einmal::ADV,відразу,najednou
697,zusammen::ADV,разом,spolu
698,zusammen::ADV,разом,dohromady
699,zusammen::ADV,спільно,spolu
700,zusammen::ADV,спільно,dohromady
701,lange::ADV,довго,dlouho
702,plötzlich::ADV,раптом,vtom
703,plötzlich::ADV,раптом,náhle
704,sofort::ADV,зараз,hned
705,sofort::ADV,зараз,ihned
706,später::ADV,пізніше,později
707,jetzt::ADV,тепер,teď
708,jetzt::ADV,тепер,nyní
709,heute::ADV,сьогодні,dnes
710,heute::ADV,сьогодні,dneska
711,morgen::ADV,завтра,zítra
712,bald::ADV,незабаром,brzo
713,dann::ADV,потім,pak
714,dann::ADV,потім,potom
715,gestern::ADV,вчора,včera
716,einst::ADV,колись,kdysi
717,damals::ADV,тоді,tehdy
718,damals::ADV,тоді,tenkrát
719,danach::ADV,згодом,podle toho
720,vorher::ADV,раніше,dříve
721,vorher::ADV,раніше,napřed
722,zuerst::ADV,спершу,nejprve
723,zuerst::ADV,спершу,nejdříve
724,zuerst::ADV,спочатку,nejprve
725,zuerst::ADV,спочатку,nejdříve
726,einmal::ADV,один раз,jednou
727,manchmal::ADV,іноді,někdy
728,manchmal::ADV,інколи,někdy
729,oft::ADV,часто,často
730,immer::ADV,завжди,vždy
731,immer::ADV,завжди,stále
732,niemals::ADV,ніколи,nikdy
733,hier::ADV,тут,zde
734,hier::ADV,тут,tady
735,hierhin::ADV,сюди,sem
736,von hier::ADV,звідси,odtud
737,dort::ADV,там,tam
738,dorthin::ADV,туди,tam
739,geradeaus::ADV,прямо,rovně
740,vorwärts::ADV,вперед,kupředu
741,rückwärts::ADV,назад,zpět
742,zurück::ADV,назад,zpět
743,zurück::ADV,назад,nazpět
744,unten::ADV,внизу,dole
745,hinab::ADV,вниз,dolů
746,oben::ADV,вгорі,nahoře
747,oben::ADV,вгорі,navrchu
748,hinauf::ADV,вгору,nahoru
749,überall::ADV,скрізь,všude
750,nicht::ADV,не,ne
751,ein wenig::ADV,трохи,trochu
752,ein wenig::ADV,небагато,trochu
753,kaum::ADV,ледве,sotva
754,sehr::ADV,дуже,velmi
755,sehr::ADV,дуже,velice
756,so::ADV,так,tak
757,so::ADV,так,takto
758,noch::ADV,ще,ještě
759,nur::ADV,лише,jen
760,nur::ADV,лише,jenom
761,nur::ADV,тільки,jen
762,nur::ADV,тільки,jenom
763,schon::ADV,вже,už
764,schon::ADV,вже,již
765,wieder::ADV,знову,zase
766,vergebens::ADV,дарма,marně
767,vor::PRP,перед,před
768,hinter::PRP,ззаду,za
769,hinter::PRP,позаду,za
770,unter::PRP,під,pod
771,durch::PRP,крізь,skrz
772,neben::PRP,біля,vedle
773,zwischen::PRP,між,mezi
774,wegen::PRP,з-за,pro
775,wegen::PRP,через,pro
776,dies::PRN,це,toto
777,dies::PRN,це,tohle
778,das::PRN,то,to
779,alles::PRN,все,všechno
780,ich::PRN,я,já
781,du::PRN,ти,ty
782,er::PRN,він,on
783,wir::PRN,ми,my
784,ihr::PRN,ви,vy
785,sie::PRN,вони,oni
786,was::FPRN,що,co
787,wer::FPRN,хто,kdo
788,wo::FADV,де,kde
789,wohin::FADV,куди,kam
790,wie::FADV,як,jak
791,warum::FADV,чому,proč
792,wieviel::FNUM,скільки,kolik
793,eins::NUM,один,jeden
794,zwei::NUM,два,dva
795,drei::NUM,три,tři
796,vier::NUM,чотири,čtyři
797,fünf::NUM,п’ять,pět
798,sechs::NUM,шість,šest
799,sieben::NUM,сім,sedm
800,acht::NUM,вісім,osm
801,neun::NUM,дев’ять,devět
802,zehn::NUM,десять,deset
803,elf::NUM,одинадцять,jedenáct
804,zwölf::NUM,дванадцять,dvanáct
805,zwanzig::NUM,двадцять,dvacet
806,dreißig::NUM,тридцять,třicet
807,vierzig::NUM,сорок,čtyřicet
808,fünfzig::NUM,п’ятдесят,padesát
809,sechzig::NUM,шістдесят,šedesát
810,siebzig::NUM,сімдесят,sedmdesát
811,achtzig::NUM,вісімдесят,osmdesát
812,neunzig::NUM,дев’яносто,devadesát
813,hundert::NUM,сто,sto
814,tausend::NUM,тисяча,tisíc
815,und::CNJ,і,a
816,oder::CNJ,або,nebo
817,stehen::V,стояти,stát
818,sitzen::V,сидіти,sedět
819,liegen::V,лежати,ležet
820,hängen::V,висіти,viset
821,werden::V,стати,stát se
822,werden::V,робитися,stát se
823,passieren::V,трапитися,stát se
824,beginnen::V,початися,počít
825,enden::V,кінчитися,končit
826,enden::V,кінчитися,skončit
827,wechseln::V,мінятися,měnit se
828,aufgehen[Sonne]::V,зійти,vyjít
829,untergehen[Sonne]::V,зайти,zapadnout
830,scheinen[Sonne]::V,світити,svítit
831,donnern::V,гриміти,hřmět
832,wehen::V,віяти,vát
833,wehen::V,віяти,vanout
834,strömen::V,литися,proudit
835,fließen::V,текти,téct
836,sich drehen::V,обертатися,točit se
837,schwanken::V,коливатися,kolísat
838,schwanken::V,коливатися,houpat se
839,schwingen::V,хитатися,kývat se
840,schwingen::V,гойдатися,kývat se
