,Concept_ID,ba,ja
120,Stamm::N,көбәк,幹
121,Rinde::N,ҡабыҡ,皮層
122,Ast::N,ботаҡ,枝
123,Zweig::N,ботаҡ,小枝
124,Zweig::N,тармаҡ,小枝
125,Blatt::N,япраҡ,葉
126,Birke::N,ҡайын,樺
127,Kiefer[Baum]::N,ҡарғай,松
128,Weide[Baum]::N,тал,柳
129,Tanne::N,шыршы,樅
130,Horn::N,мөғөҙ,角
131,Feder::N,ҡауырһын,羽根
132,Fell::N,тире,毛皮
133,Flügel::N,ҡанат,羽
134,Klaue::N,тырнаҡ,鉤爪
135,Kralle::N,аяҡ,爪
136,Schwanz::N,ҡойроҡ,尻尾
137,Ei::N,йомортҡа,卵
138,Nest::N,оя,巣
139,Bau::N,оң,穴
140,Tier::N,жайуан,動物
141,Tier::N,йыртҡыс,動物
142,Herde::N,көтөү,群れ
143,Kuh::N,һыйыр,牛
144,Bulle::N,үгеҙ,雄牛
145,Pferd::N,ат,馬
146,Schaf::N,һарыҡ,羊
147,Schwein::N,сусҡа,豚
148,Hund::N,эт,犬
149,Katze::N,бесәй,猫
150,Bär::N,айыу,熊
151,Eichhörnchen::N,тейен,栗鼠
152,Elch::N,мышы,ヘラジカ
153,Fuchs::N,төлкө,狐
154,Hase::N,ҡуян,兎
155,Maus::N,сысҡан,鼠
156,Wolf::N,бүре,狼
157,Vogel::N,ҡош,鳥
158,Schwarm::N,көтөү,群れ
159,Huhn::N,тауыҡ,鶏
160,Hahn::N,әтәс,雄鶏
161,Gans::N,ҡаҙ,ガチョウ
162,Adler::N,бөркөт,鷲
163,Ente::N,өйрәк,鴨
164,Eule::N,өкө,フクロウ
165,Eule::N,ябалаҡ,フクロウ
166,Kranich::N,торна,鶴
167,Krähe::N,ҡарға,烏
168,Kuckuck::N,кәкүк,郭公
169,Schwan::N,аҡҡош,白鳥
170,Fisch::N,балыҡ,魚
171,Barsch::N,алабуға,鱸
172,Hecht::N,суртан,川魳
173,Schlange[Tier]::N,йылан,蛇
174,Wurm::N,селяүсен,虫
175,Spinne::N,үрмәксе,蜘蛛
176,Ameise::N,ҡырмыҫҡа,蟻
177,Laus::N,бет,虱
178,Mücke::N,серәкәй,蚊
179,Fliege::N,себен,蝿
180,Schmetterling::N,күбәләк,蝶
181,Beere::N,еләк,漿果
182,Apfel::N,алма,林檎
183,Pilz::N,бәшмәк,茸
184,Zwiebel::N,һуган,玉葱
185,Saat::N,орлоҡ,種
186,Korn::N,иген,粒
187,Heu::N,бесән,干し草
188,Schale::N,ҡабыҡ,皮
189,Grube::N,соҡор,穴
190,Falle::N,тоҙак,わな
191,Falle::N,ҡапҡан,わな
192,Schlinge::N,тоҙак,輪
193,Spur::N,әҫер,跡
194,Asche::N,көл,灰
195,Dreck::N,батҡаҡ,泥
196,Eisen::N,тимер,鉄
197,Gold::N,алтын,金
198,Silber::N,көмөш,銀
199,Kohle::N,күмер,炭
200,Glas::N,быяла,ガラス
201,Lehm::N,балсыҡ,ローム
202,Sand::N,ҡом,砂
203,Mensch::N,кеше,人
204,Mann::N,ир,男
205,Mann::N,ир,男性
206,Frau::N,ҡатын,女
207,Frau::N,ҡатын,女性
208,Kind::N,бала,子
209,Kind::N,бала,子供
210,Junge::N,малай,男の子
211,Mädchen::N,ҡыҙ,女の子
212,Mädchen::N,ҡыҙыҡай,女の子
213,Familie::N,ғаилә,家族
214,Großvater::N,олатай,祖父
215,Großvater::N,олатай,おじいさん
216,Großmutter::N,әбәй,祖母
217,Großmutter::N,әбәй,おばあさん
218,Eltern::N,ата-әсә,親
219,Eltern::N,ата-әсә,両親
220,Vater::N,атай,父
221,Vater::N,атай,お父さん
222,Mutter::N,әсә,母
223,Mutter::N,әсә,お母さん
224,Sohn::N,ул,息子
225,Sohn::N,ул,息子さん
226,Tochter::N,ҡыҙ,娘
227,Tochter::N,ҡыҙ,お嬢さん
228,Bruder::N,агай,弟
229,Schwester::N,алай,妹
230,Schwester::N,һеңле,妹
231,Onkel::N,ағай,伯父
232,Onkel::N,ағай,伯父さん
233,Tante::N,апай,叔母
234,Tante::N,апай,叔母さん
235,Ehemann::N,ир,夫
236,Ehemann::N,ир,主人
237,Ehefrau::N,ҡатын,妻
238,Ehefrau::N,ҡатын,奥さん
239,Freude::N,шатлыҡ,喜び
240,Freude::N,ҡыуаныс,喜び
241,Gelächter::N,көлөү,笑い
242,Glück::N,бәхет,幸せ
243,Kummer::N,ҡайғы,悩み
244,Wunsch::N,теләк,希望
245,Lust::N,әүәҫлек,気
246,Geist::N,аң,精神
247,Geist::N,рух,精神
248,Gedanke::N,уй,考え
249,Gedanke::N,фекер,考え
250,Gedächtnis::N,хәтер,記憶
251,Verstand::N,аҡыл,理解力
252,Sinn::N,мәғәня,意味
253,Grund::N,сәбәп,理由
254,Wahrheit::N,дөрөҫлөк,真実
255,Gespräch::N,әңгәмә,会話
256,Märchen::N,әкиәт,童話
257,Erzählung::N,хикәйә,物語
258,Nachricht::N,хәбәр,報告
259,Neuigkeit::N,яңылыҡ,ニュース
260,Name::N,исем,名前
261,Rätsel::N,йомаҡ,謎
262,Rede::N,телмәр,演説
263,Sprache::N,тел,言語
264,Sprache::N,телмәр,言語
265,Stimme::N,тауыш,声
266,Wort::N,һүҙ,言葉
267,Zeichen::N,билдә,記号
268,Ruf::N,саҡырыу,呼び声
269,Lärm::N,шаулау,騒音
270,Laut::N,тауыш,音
271,Ton::N,яңғырау,音
272,Lied::N,йыр,歌
273,Ruhe::N,ял,静けさ
274,Ruhe::N,тыныслыҡ,静けさ
275,Leute::N,кешеләр,人々
276,Volk::N,халҡ,民族
277,Arbeit::N,эш,仕事
278,Gast::N,ҡунаҡ,客
279,Geschenk::N,бүләк,贈り物
280,Spiel::N,уйын,遊び
281,Gesellschaft::N,йәмғиәт,社会
282,Hilfe::N,ярҙам,援助
283,Freund::N,дуҫ,友達
284,Kamerad::N,иптәш,同志
285,Angelegenheit::N,әш,件
286,Anzahl::N,һан,数
287,Art::N,төр,種類
288,Stück::N,киҫәк,部分
289,Teil::N,өлөш,部分
290,Hälfte::N,ярты,半分
291,Kreis::N,түңәрәк,円
292,Kreuz::N,тәре,十字
293,Linie::N,һыҙыҡ,線
294,Strich::N,һыҙат,線
295,Abstand::N,ара,距離
296,Entfernung::N,алыҫлыҡ,距離
297,Gegend::N,урын,辺
298,Gegend::N,урын,地域
299,Platz::N,арауыҡ,ゆとり
300,Ort::N,ерҙәр,所
301,Ort::N,ерҙәр,場所
302,Ort::N,урындар,所
303,Ort::N,урындар,場所
304,Ort::N,эш урыны,所
305,Ort::N,эш урыны,場所
306,Seite::N,яҡ,横
307,Mitte::N,урталыҡ,真ん中
308,Gegenstand::N,нәмә,物件
309,Sache::N,нәмә,物
310,Sache::N,әйбер,物
311,Rand::N,сит,端
312,Kante::N,ҡабырға,縁
313,Kante::N,ян,縁
314,Ecke::N,мөйөш,角
315,Spitze::N,ос,先頭
316,Ende::N,аҙаҡ,端
317,Loch::N,тишек,穴
318,Winkel::N,мөйөш,片隅
319,Muster::N,биҙәк,模様
320,Größe::N,ҙурлыҡ,大きさ
321,Länge::N,оҙонлоҡ,長さ
322,Höhe::N,бейеклек,高さ
323,Gewicht::N,үлсәү,重さ
324,Menge::N,һан,量
325,Haufen::N,өйөм,堆積
326,Reihe::N,рәт,並び
327,Boot::N,кәмә,ボート
328,Ruder::N,ишкәк,オール
329,Schlitten::N,сана,そり
330,Ski::N,саңгы,スキー
331,Lagerfeuer::N,костер,篝火
332,Last::N,ауырлыҡ,荷物
333,Gang::N,барыу,歩み
334,Schritt::N,аҙым,歩
335,Norden::N,төньяҡ,北
336,Süden::N,көньяҡ,南
337,Westen::N,көнбайыш,西
338,Osten::N,көнсығыш,東
339,Holz::N,үағас,木
340,Holz::N,үағас,木材
341,Brett::N,таҡта,板
342,Platte::N,плита,盤
343,Stütze::N,терәк,支柱
344,Stange::N,кәртә,棒
345,Stock::N,таяҡ,杖
346,Stab::N,ҡолға,棒
347,Rohr::N,торба,管
348,Haus::N,өй,家
349,Haus::N,йорт,家
350,Heim::N,өй,家
351,Ofen::N,мейес,ストーブ
352,Fußboden::N,енес,床
353,Tisch::N,өҫтәл,机
354,Stuhl::N,ултырғыс,椅子
355,Wiege::N,бишек,揺籃
356,Bett::N,карауат,ベッド
357,Regal::N,кәштә,棚
358,Kiste::N,йәшинк,箱
359,Fenster::N,тәҙрә,窓
360,Tür::N,ишек,戸
361,Tür::N,ишек,ドア
362,Tor::N,ҡапҡа,門
363,Zaun::N,ҡойма,垣根
364,Dach::N,түбә,屋根
365,Dach::N,ҡыйыҡ,屋根
366,Leiter::N,баҫҡыс,梯子
367,Besen::N,һепертке,ほうき
368,Spaten::N,көрәк,スコップ
369,Schaufel::N,көрәк,シャベル
370,Gabel::N,сәнске,フォーク
371,Löffel::N,ҡалаҡ,スプーン
372,Messer::N,бысаҡ,ナイフ
373,Nagel::N,сөй,釘
374,Netz::N,ау,網
375,Haken::N,ыргаҡ,鉤
376,Haken::N,ыргаҡ,フック
377,Griff::N,тотҡа,取っ手
378,Schloss::N,йоҙаҡ,錠
379,Bild::N,картина,絵
380,Figur::N,һын,像
381,Puppe::N,ҡурсаҡ,人形
382,Beutel::N,тоҡ,袋
383,Bündel::N,төргәк,束
384,Bündel::N,төргәк,包み
385,Tasche::N,сумка,かばん
386,Eimer::N,биҙрә,バケツ
387,Deckel::N,ҡапҡас,蓋
388,Geschirr::N,һауыт-һаба,食器
389,Sack::N,тоҡ,袋
390,Tasse::N,сынаяҡ,カップ
391,Topf::N,кәстрүл,鍋
392,Kessel::N,ҡаҙан,釜
393,Essen::N,ашау,食事
394,Nahrung::N,аҙыҡ,食物
395,Speise::N,аш,料理
396,Fleisch::N,ит,肉
397,Getreide::N,иген,麦
398,Getreide::N,иген,穀物
399,Getreide::N,ашлыҡ,麦
400,Getreide::N,ашлыҡ,穀物
401,Brei::N,бутҡа,粥
402,Brot::N,икмәк,パン
403,Scheibe::N,телем,枚
404,Scheibe::N,телем,切れ
405,Fett::N,май,脂肪
406,Butter::N,май,バター
407,Öl::N,май буяуы,油
408,Salz::N,тоҙ,塩
409,Suppe::N,һурпа,スープ
410,Honig::N,бал,蜂蜜
411,Milch::N,һөт,牛乳
412,Tee::N,сәй,茶
413,Tee::N,сәй,お茶
414,Leder::N,күн,革
415,Wolle::N,йөн,毛糸
416,Stoff::N,туҡыма,布
417,Nadel::N,энә,針
418,Faden::N,еп,糸
419,Knopf::N,төймә,ボタン
420,Knoten::N,төйөн,結び目
421,Farbe::N,буяу,ペンキ
422,Kleidung::N,кейем,衣服
423,Hemd::N,күлдәк,シャツ
424,Kragen::N,яға,襟
425,Ärmel::N,ең,袖
426,Hose::N,салбар,ズボン
427,Gürtel::N,ҡайыш,帯
428,Gürtel::N,ҡайыш,ベルト
429,Mütze::N,бүрк,帽子
430,Schuh::N,туфли,靴
431,Stiefel::N,итек,ブーツ
432,Ring::N,йөҙөк,輪
433,Ring::N,балдаҡ,輪
434,Band::N,таҫма,リボン
435,Kamm::N,тараҡ,櫛
436,Spiegel::N,көзгө,鏡
437,Riemen::N,ҡайыш,緒
438,Schnur::N,бау,紐
439,Leine::N,бау,綱
440,Decke::N,одеяд,掛け布団
441,Kissen::N,мендәр,枕
442,Tuch::N,яулыҡ,スカーフ
443,Handtuch::N,таҫтамал,タオル
444,Kraft::N,көс,力
445,Stärke::N,көс,強さ
446,Gesundheit::N,һаулыҡ,健康
447,Krankheit::N,сир,病気
448,Krankheit::N,ауырыу,病気
449,Schmerz::N,һыҙлау,痛み
450,Schmerz::N,әрнеү,痛み
451,Wunde::N,йәрәхәт,傷
452,Fieber::N,тапма,熱
453,Fieber::N,биҙгәк,熱
454,Arznei::N,дарыу,薬
455,Brücke::N,күпер,橋
456,Brunnen::N,ҡоҙоҡ,井戸
457,Weide::N,көтөүлек,牧場
458,Pfad::N,һуҡмаҡ,小路
459,Weg::N,юл,道
460,Straße::N,урам,街道
461,Dorf::N,ауыл,村
462,Stadt::N,ҡала,町
463,Stadt::N,ҡала,都市
464,Brief::N,хат,手紙
465,Buch::N,китап,本
466,Buch::N,кенәгә,本
467,Buchstabe::N,хәреф,文字
468,Zeitung::N,гәзит,新聞
469,Leben::N,йәшәү,生活
470,Tod::N,үлем,死
471,Grab::N,ҡәбер,墓
472,Kirche::N,сиркәү,教会
473,Sünde::N,гөнаһ,罪
474,Gott::N,алла,神
475,Gott::N,хоҙай,神
476,Arbeiter::N,эшсе,労働者
477,Chef::N,башлыҡ,上司
478,Meister::N,оҫта,達人
479,Meister::N,оҫта,マイスター
480,Arzt::N,врач,医者
481,Lehrer::N,уҡытыусы,先生
482,Geld::N,аҡса,金
483,Geschäft::N,эш,取り引き
484,Laden::N,магазин,店
485,Preis::N,хаҡ,値段
486,Ware::N,тауар,商品
487,Nutzen::N,файҙа,利益
488,Reichtum::N,байлыҡ,豊かさ
489,Welt::N,донъя,世界
490,Land::N,ил,国
491,Staat::N,дәүләт,国家
492,König::N,король,国王
493,Macht::N,власть,権力
494,Grenze::N,сик,国境
495,Krieg::N,һуғыш,戦争
496,Feind::N,йылан,敵
497,Gewalt::N,көслөк,暴力
498,Kampf::N,көрәш,戦い
499,Bogen[Waffe]::N,йәйә,弓
500,Pfeil::N,уҡ,矢
501,Gewehr::N,мылтыҡ,銃
502,Fehler::N,хата,間違い
503,Lüge::N,ялған,嘘
504,Schaden::N,зыян,損害
505,Schaden::N,зарар,損害
506,Unglück::N,ҡаза,不幸
507,Schuld::N,ғәйеп,罪
508,Alter::N,йәш,年
509,Alter::N,йәш,年齢
510,Schluss::N,һуң,終わり
511,Schluss::N,аҙаҡ,終わり
512,Zeit::N,мәл,時
513,Zeit::N,мәл,時間
514,Zeit::N,заман,時
515,Zeit::N,заман,時間
516,Tag::N,көн,日
517,Morgen::N,иртә,朝
518,Morgen::N,иртәнсәк,朝
519,Mittag::N,төш,昼
520,Abend::N,кис,晩
521,Abend::N,кис,夕方
522,Nacht::N,төн,夜
523,Woche::N,аҙна,週
524,Monat::N,ай,月
525,Jahr::N,йыл,年
526,Frühling::N,яҙ,春
527,Sommer::N,йәй,夏
528,Herbst::N,көз,秋
529,Winter::N,ҡыш,冬
530,Januar::N,ғинуар,一月
531,Februar::N,февраль,二月
532,März::N,март,三月
533,April::N,апрель,四月
534,Mai::N,май,五月
535,Juni::N,июнь,六月
536,Juli::N,июль,七月
537,August::N,август,八月
538,September::N,сентябрь,九月
539,Oktober::N,октябрь,十月
540,November::N,ноябрь,十一月
541,Dezember::N,декабрь,十二月
542,Montag::N,дүшәмбе,月曜日
543,Dienstag::N,шишәмбе,火曜日
544,Mittwoch::N,шаршамбы,水曜日
545,Donnerstag::N,кесаҙна,木曜日
546,Freitag::N,йома,金曜日
547,Samstag::N,шәмбе,土曜日
548,Sonntag::N,йәкшәмбе,日曜日
549,groß::A,ҙур,大きい
550,klein::A,бәләкәс,小さい
551,lang::A,оҙон,長い
552,kurz::A,ҡыҫҡа,短い
553,breit::A,киң,広い
554,schmal::A,тар,狭い
555,dicht::A,йыш,密な
556,dicht::A,ҡуйы,密な
557,dick[Gegenstand]::A,ҡалын,厚い
558,dünn::A,йоҡа,薄い
559,dünn::A,нәҙек,薄い
560,fein::A,нескә,細い
561,fest::A,ныҡ,硬い
562,flach::A,яҫы,平らな
563,flach::A,ялпаҡ,平らな
564,glatt::A,шыма,滑らかな
565,hart::A,ҡаты,堅い
566,weich::A,йомшаҡ,柔らかい
567,rund::A,түңәрәк,丸い
568,spitz::A,осло түбәле,尖った
569,scharf::A,үткер,鋭い
570,stumpf::A,утмәҫ,鈍い
571,schwer::A,ауыр,重い
572,schön::A,матур,綺麗な
573,heiß::A,эҫе,熱い
574,warm::A,йылы,温かい
575,kalt::A,һыуыҡ,寒い
576,kalt::A,һыуыҡ,冷たい
577,kühl::A,һалҡынса,涼しい
578,frisch::A,һалҡынса,ひんやりした
579,feucht::A,еүеш,湿った
580,feucht::A,дымлы,湿った
581,nass::A,еүеш,濡れた
582,trocken::A,кипкән,乾いた
583,voll::A,тулы,いっぱいの
584,leer::A,буш,空の
585,offen::A,асыҡ,開いた
586,geschlossen::A,ябыҡ,閉まった
587,sauber::A,таҙа,清潔な
588,schmutzig::A,бысраҡ,汚い
589,roh::A,сей,生の
590,reif::A,өлгөрғән,熟した
591,lecker::A,тәмле,美味しい
592,süß::A,тямле,甘い
593,süß::A,тәм-том,甘い
594,bitter::A,әсе,苦い
595,sauer::A,әсе,酸っぱい
596,hell::A,яҡты,明るい
597,dunkel::A,ҡараңғы,暗い
598,schwarz::A,ҡара,黒い
599,weiß::A,аҡ,白い
600,rot::A,матур,赤い
601,rot::A,һылыу,赤い
602,rot::A,сибәр,赤い
603,gelb::A,һары,黄色い
604,blau::A,күк,青い
605,grün::A,йәшел,緑の
606,grau::A,буҙ,灰色の
607,bunt::A,сыбар,色取り取りの
608,bunt::A,ала-ҡола,色取り取りの
609,billig::A,арзан,安い
610,teuer::A,ҡыйбатлы,高い
611,wertvoll::A,ҡиммәтле,貴重な
612,blind::A,һуҡыр,盲目の
613,taub::A,һаңғырау,耳が聞こえない
614,kräftig::A,көслө,強力な
615,kräftig::A,ҡеүәтле,強力な
616,stark::A,көслө,強い
617,stark::A,ҡеүәтле,強い
618,schwach::A,көсһөҙ,弱い
619,fett::A,һимеҙ,太った
620,schlank::A,зифа,ほっそりした
621,hübsch::A,матур,素敵な
622,böse::A,асыулы,悪い
623,dumm::A,иҫәр,馬鹿な
624,faul::A,иренсәк,怠惰な
625,fleißig::A,тырыш,勤勉な
626,geizig::A,һаран,けちな
627,klug::A,аҡыллы,賢い
628,klug::A,аҡыллы,頭のいい
629,geschickt::A,оҫта,器用な
630,lieb::A,яғымлы,愛らしい
631,lustig::A,күңелле,楽しい
632,sanft::A,йыуаш,温和な
633,hungrig::A,ас,空腹の
634,krank::A,сирле,病気の
635,krank::A,ауырыу,病気の
636,nackt::A,яланғас,裸の
637,traurig::A,яманһыу,悲しい
638,lebendig::A,тере,生きた
639,lebendig::A,йәнле,生きた
640,gut::A,яҡшы,良い
641,schlecht::A,хөрт,悪い
642,schlecht::A,хөрт,駄目な
643,schlecht::A,алама,悪い
644,schlecht::A,алама,駄目な
645,richtig::A,дөрөҫ,正しい
646,schlimm::A,хөрт,ひどい
647,schlimm::A,алама,ひどい
648,wahr::A,дөрөҫ,本当の
649,alt::A,иҫке,古い
650,alt::A,боронғо,古い
651,neu::A,яңы,新しい
652,ehemalig::A,элекке,以前の
653,alt[Lebewesen]::A,ҡарт,年を取った
654,jung::A,йәш,若い
655,arm::A,фәҡир,貧乏な
656,reich::A,бай,裕福な
657,bekannt::A,таныш,有名な
658,berühmt::A,атаҡлы,有名な
659,berühmt::A,данлыҡлы,有名な
660,fremd::A,ят,見知らぬ
661,fremd::A,сит,見知らぬ
662,verschieden::A,төрлө,色々な
663,nah::A,яҡын,近い
664,fern::A,алыҫ,遠い
665,fern::A,йыраҡ,遠い
666,linker::A,һул,左の
667,rechter::A,уң,右の
668,anderer::A,бутән,別の
669,erster::A,тәүге,一番目
670,zweiter::A,икенсе,二番目
671,dritter::A,өсөнсө,三番目
672,letzter::A,һуңғы,最後の
673,allein::ADV,бер үҙе,一人で
674,allein::ADV,яңғыҙ,一人で
675,auf einmal::ADV,бер юлы,同時に
676,zusammen::ADV,бергә,一緒に
677,lange::ADV,оҙаҡ,長い間
678,plötzlich::ADV,ҡапыл,急に
679,sofort::ADV,шунда уҡ,すぐに
680,später::ADV,һуңыраҡ,後で
681,jetzt::ADV,хәҙер,今
682,heute::ADV,бөгөн,今日
683,morgen::ADV,иртәгә,明日
684,bald::ADV,тиҙҙән,間もなく
685,dann::ADV,һуңынан,それから
686,gestern::ADV,кисә,昨日
687,einst::ADV,ҡасандыр,過去に
688,einst::ADV,бер баҡыт,過去に
689,damals::ADV,ул саҡта,あの時
690,danach::ADV,һуңынан,その後で
691,vorher::ADV,элек,以前に
692,zuerst::ADV,башта,まず
693,zuerst::ADV,башта,最初に
694,einmal::ADV,бер,一回
695,manchmal::ADV,ҡайһы берҙә,時々
696,oft::ADV,йыш,よく
697,immer::ADV,һәр ҡасан,いつも
698,niemals::ADV,бер ҡасан да,一度も...ない
699,niemals::ADV,бер ваҡытта ла,一度も...ない
700,hier::ADV,бында,こちら
701,hierhin::ADV,бында,ここへ
702,hierhin::ADV,бында,こちらへ
703,von hier::ADV,бынан,ここから
704,von hier::ADV,ошонан,ここから
705,dort::ADV,шунда,そちら
706,dort::ADV,тегендә,そちら
707,dorthin::ADV,шунда,そこへ
708,dorthin::ADV,шунда,そちらへ
709,dorthin::ADV,тегеләй,そこへ
710,dorthin::ADV,тегеләй,そちらへ
711,geradeaus::ADV,тура,真っ直ぐに
712,vorwärts::ADV,алға,前へ
713,rückwärts::ADV,кирегә,後ろへ
714,zurück::ADV,кирегә,後ろへ
715,unten::ADV,түбәндә,下に
716,hinab::ADV,түбәнгә,下へ
717,oben::ADV,юғарыла,上に
718,hinauf::ADV,юғарыға,上へ
719,überall::ADV,бөтә урында,どこでも
720,nicht::ADV,тугел,ない
721,ein wenig::ADV,аҙ,少し
722,ein wenig::ADV,аҙ,ちょっと
723,kaum::ADV,көскә,ほとんど～ない
724,kaum::ADV,саҡ-саҡ,ほとんど～ない
725,sehr::ADV,ифат,とても
726,so::ADV,шулай,こう
727,noch::ADV,йәнә,まだ
728,nur::ADV,бары,～だけ
729,schon::ADV,инде,もう
730,wieder::ADV,тағы,再び
731,vergebens::ADV,бушҡа,無駄に
732,vor::PRP,алдында,前に
733,hinter::PRP,артында,後ろに
734,unter::PRP,аҫтында,下に
735,durch::PRP,үтә,通して
736,neben::PRP,эргәһендә,横に
737,zwischen::PRP,араһында,間に
738,wegen::PRP,өсөн,為に
739,wegen::PRP,өсөн,せいで
740,wegen::PRP,сәбәпле,為に
741,wegen::PRP,сәбәпле,せいで
742,dies::PRN,был,これ
743,dies::PRN,ошо,これ
744,das::PRN,ул,それ
745,alles::PRN,бөтә,全部
746,ich::PRN,мин,私
747,du::PRN,һин,あなた
748,er::PRN,ул,彼
749,wir::PRN,беҙ,私達
750,ihr::PRN,һеҙ,あなた達
751,sie::PRN,улар,彼ら
752,was::FPRN,ә,何
753,was::FPRN,ни,何
754,was::FPRN,нәмә,何
755,wer::FPRN,ҡем,誰
756,wer::FPRN,ҡем,どなた
757,wo::FADV,ҡайҙа,どこ
758,wo::FADV,ҡайҙа,どこに
759,wohin::FADV,ҡайҙа,どこへ
760,wie::FADV,инидәй,どう
761,warum::FADV,ин өсөн,何故
762,warum::FADV,ин өсөн,どうして
763,wieviel::FNUM,күпме,どのくらい
764,eins::NUM,бер,一
765,zwei::NUM,ике,二
766,zwei::NUM,ике,二つ
767,zwei::NUM,икәү,二
768,zwei::NUM,икәү,二つ
769,drei::NUM,өс,三
770,drei::NUM,өс,三つ
771,vier::NUM,дүрт,四
772,vier::NUM,дүрт,四つ
773,fünf::NUM,биш,五
774,fünf::NUM,биш,五つ
775,sechs::NUM,алты,六
776,sechs::NUM,алты,六つ
777,sieben::NUM,ете,七
778,sieben::NUM,ете,七つ
779,acht::NUM,һигеҙ,八
780,acht::NUM,һигеҙ,八つ
781,neun::NUM,туғыҙ,九
782,neun::NUM,туғыҙ,九つ
783,zehn::NUM,ун,十
784,elf::NUM,ун бер,十一
785,zwölf::NUM,ун ике,十二
786,zwanzig::NUM,егерме,二十
787,dreißig::NUM,утыҙ,三十
788,vierzig::NUM,ҡырҡ,四十
789,fünfzig::NUM,илле,五十
