,Concept_ID,zh,es
85,Raureif::N,霜,escarcha
86,Regenbogen::N,虹,arco iris
87,Donner::N,雷,trueno
88,Strömung::N,水流,corriente
89,Tropfen::N,滴,gota
90,Schaum::N,泡沫,espuma
91,Schmutz::N,赃物,suciedad
92,See::N,湖,lago
93,Sumpf::N,沼泽,pantano
94,Moor::N,沼泽,turbera
95,Wiese::N,草地,prado
96,Wiese::N,草地,pradera
97,Wald::N,森林,bosque
98,Hügel::N,丘陵,colina
99,Anhöhe::N,山丘,cerro
100,Berg::N,山,monte
101,Berg::N,山,montaña
102,Gipfel::N,峰,cima
103,Gipfel::N,峰,cumbre
104,Höhle::N,洞穴,cueva
105,Höhle::N,洞穴,caverna
106,Abhang::N,斜坡,cuesta
107,Abhang::N,斜坡,declive
108,Quelle::N,泉,fuente
109,Quelle::N,泉,manantial
110,Bach::N,溪,arroyo
111,Fluss::N,河流,río
112,Ufer::N,岸,orilla
113,Küste::N,海岸,costa
114,Festland::N,大陆,tierra firme
115,Meer::N,海,mar
116,Bucht::N,海湾,cala
117,Bucht::N,海湾,bahía
118,Insel::N,岛,isla
119,Blume::N,花,flor
120,Gras::N,草,hierba
121,Wurzel::N,根,raíz
122,Baum::N,树,árbol
123,Stamm::N,树干,tronco
124,Rinde::N,树皮,corteza
125,Ast::N,树枝,rama
126,Zweig::N,树枝,ramo
127,Blatt::N,叶子,hoja
128,Birke::N,桦木,abedul
129,Kiefer[Baum]::N,松树,pino
130,Weide[Baum]::N,柳树,sauce
131,Tanne::N,冷杉,abeto
132,Horn::N,角,asta
133,Horn::N,角,cuerno
134,Feder::N,羽毛,pluma
135,Fell::N,皮毛,piel
136,Flügel::N,翅膀,ala
137,Klaue::N,爪子,garra
138,Kralle::N,爪子,uña
139,Kralle::N,爪子,garra
140,Schwanz::N,尾巴,cola
141,Ei::N,蛋,huevo
142,Nest::N,巢,nido
143,Bau::N,穴,madriguera
144,Tier::N,动物,animal
145,Herde::N,群,rebaño
146,Kuh::N,母牛,vaca
147,Bulle::N,公牛,toro
148,Pferd::N,马,caballo
149,Schaf::N,羊,oveja
150,Schwein::N,猪,cerdo
151,Hund::N,狗,perro
152,Katze::N,猫,gato
153,Bär::N,熊,oso
154,Eichhörnchen::N,松鼠,ardilla
155,Elch::N,麋鹿,alce
156,Fuchs::N,狐狸,zorro
157,Hase::N,兔子,liebre
158,Maus::N,老鼠,ratón
159,Wolf::N,狼,lobo
160,Vogel::N,鸟,ave
161,Vogel::N,鸟,pájaro
162,Schwarm::N,群,bandada
163,Huhn::N,鸡,gallina
164,Hahn::N,公鸡,gallo
165,Gans::N,鹅,oca
166,Gans::N,鹅,ganso
167,Adler::N,鹰,águila
168,Ente::N,鸭,pato
169,Eule::N,猫头鹰,lechuza
170,Kranich::N,鹤,grulla
171,Krähe::N,乌鸦,corneja
172,Kuckuck::N,布谷鸟,cuco
173,Schwan::N,天鹅,cisne
174,Fisch::N,鱼,pez
175,Barsch::N,鲈鱼,perca
176,Hecht::N,狗鱼,lucio
177,Schlange[Tier]::N,蛇,serpiente
178,Wurm::N,蠕虫,gusano
179,Spinne::N,蜘蛛,araña
180,Ameise::N,蚂蚁,hormiga
181,Laus::N,虱子,piojo
182,Mücke::N,蚊子,mosquito
183,Fliege::N,苍蝇,mosca
184,Schmetterling::N,蝴蝶,mariposa
185,Beere::N,将果,baya
186,Apfel::N,苹果,manzana
187,Pilz::N,蘑菇,seta
188,Pilz::N,蘑菇,hongo
189,Zwiebel::N,洋葱,cebolla
190,Saat::N,种子,siembra
191,Korn::N,谷粒,grano
192,Heu::N,干草,heno
193,Schale::N,壳,cáscara
194,Grube::N,坑,foso
195,Falle::N,圈套,trampa
196,Schlinge::N,活扣,lazo
197,Spur::N,踪迹,huella
198,Asche::N,灰烬,ceniza
199,Dreck::N,污垢,suciedad
200,Eisen::N,铁,hierro
201,Gold::N,金子,oro
202,Silber::N,银,plata
203,Kohle::N,煤,carbón
204,Glas::N,玻璃,vidrio
205,Glas::N,玻璃,cristal
206,Lehm::N,粘土,barro
207,Sand::N,沙,arena
208,Mensch::N,人,hombre
209,Mensch::N,人,ser humano
210,Mann::N,男子,hombre
211,Frau::N,妇女,mujer
212,Kind::N,小孩,niño
213,Junge::N,男孩,chico
214,Junge::N,男孩,muchacho
215,Mädchen::N,女孩,chica
216,Mädchen::N,女孩,muchacha
217,Familie::N,家庭,familia
218,Großvater::N,祖父,abuelo
219,Großmutter::N,祖母,abuela
220,Eltern::N,父母,padres
221,Vater::N,父亲,padre
222,Mutter::N,母亲,madre
223,Sohn::N,儿子,hijo
224,Tochter::N,女儿,hija
225,Bruder::N,兄弟,hermano
226,Schwester::N,姐妹,hermana
227,Onkel::N,伯父,tío
228,Tante::N,阿姨,tía
229,Ehemann::N,丈夫,esposo
230,Ehefrau::N,妻子,esposa
231,Freude::N,愉快,placer
232,Freude::N,愉快,alegría
233,Gelächter::N,大笑,risa
234,Gelächter::N,大笑,carcajada
235,Glück::N,运气,felicidad
236,Kummer::N,苦恼,pena
237,Wunsch::N,愿望,deseo
238,Lust::N,乐趣,ganas
239,Geist::N,精神,mente
240,Geist::N,精神,espíritu
241,Gedanke::N,思想,idea
242,Gedanke::N,思想,pensamiento
243,Gedächtnis::N,记性,memoria
244,Verstand::N,理智,razón
245,Verstand::N,理智,entendimiento
246,Sinn::N,感觉,sentido
247,Sinn::N,感觉,significado
248,Grund::N,理由,causa
249,Wahrheit::N,真理,verdad
250,Gespräch::N,谈话,conversación
251,Märchen::N,童话,cuento
252,Erzählung::N,故事,cuento
253,Erzählung::N,故事,narración
254,Nachricht::N,消息,mensaje
255,Neuigkeit::N,新闻,noticia
256,Name::N,名字,nombre
257,Rätsel::N,谜语,acertijo
258,Rätsel::N,谜语,adivinanza
259,Rede::N,讲话,discurso
260,Sprache::N,语言,lengua
261,Stimme::N,声音,voz
262,Wort::N,词,palabra
263,Zeichen::N,标记,señal
264,Ruf::N,呼喊,llamada
265,Lärm::N,噪音,ruido
266,Lärm::N,噪音,barullo
267,Laut::N,响声,sonido
268,Ton::N,声音,tono
269,Lied::N,歌曲,canción
270,Ruhe::N,安静,calma
271,Ruhe::N,安静,silencio
272,Leute::N,人们,gente
273,Volk::N,人民,pueblo
274,Arbeit::N,劳动,trabajo
275,Gast::N,客人,huésped
276,Gast::N,客人,invitado
277,Geschenk::N,礼物,regalo
278,Spiel::N,游戏,juego
279,Gesellschaft::N,陪同,compañía
280,Hilfe::N,帮助,ayuda
281,Hilfe::N,帮助,socorro
282,Freund::N,朋友,amigo
283,Kamerad::N,同志,camarada
284,Kamerad::N,同志,compañero
285,Angelegenheit::N,事情,asunto
286,Anzahl::N,数目,cantidad
287,Art::N,种类,tipo
288,Art::N,种类,clase
289,Stück::N,块,pieza
290,Teil::N,部分,parte
291,Hälfte::N,一半,mitad
292,Kreis::N,圆,círculo
293,Kreuz::N,十字架,cruz
294,Linie::N,线条,línea
295,Strich::N,划,raya
296,Strich::N,划,trazo
297,Abstand::N,距离,distancia
298,Entfernung::N,距离,distancia
299,Gegend::N,地区,región
300,Gegend::N,地区,comarca
301,Platz::N,场所,espacio
302,Ort::N,地点,sitio
303,Seite::N,面,lado
304,Seite::N,面,costado
305,Mitte::N,中间,medio
306,Mitte::N,中间,centro
307,Gegenstand::N,物品,objeto
308,Sache::N,物,cosa
309,Rand::N,边,borde
310,Kante::N,棱,borde
311,Ecke::N,角,esquina
312,Spitze::N,尖,punta
313,Ende::N,结尾,cabo
314,Ende::N,结尾,extremo
315,Loch::N,洞,agujero
316,Loch::N,洞,abertura
317,Winkel::N,角度,ángulo
318,Muster::N,模型,dibujo
319,Größe::N,大小,tamaño
320,Länge::N,长度,longitud
321,Höhe::N,高度,altura
322,Höhe::N,高度,altitud
323,Gewicht::N,重量,peso
324,Menge::N,数量,cantidad
325,Haufen::N,堆,montón
326,Reihe::N,行,fila
327,Boot::N,小船,bote
328,Boot::N,小船,barca
329,Ruder::N,奖,remo
330,Schlitten::N,雪橇,trineo
331,Ski::N,雪板,esquí
332,Lagerfeuer::N,营火,hoguera
333,Last::N,负担,carga
334,Gang::N,行走,marcha
335,Schritt::N,步伐,paso
336,Norden::N,北,norte
337,Süden::N,南,sur
338,Westen::N,西,oeste
339,Osten::N,东,este
340,Holz::N,木材,madera
341,Brett::N,木板,tabla
342,Platte::N,平板,placa
343,Platte::N,平板,plancha
344,Stütze::N,支架,sostén
345,Stütze::N,支架,soporte
346,Stange::N,杆,vara
347,Stange::N,杆,percha
348,Stock::N,棒,palo
349,Stock::N,棒,bastón
350,Stab::N,棍,vara
351,Stab::N,棍,bastón
352,Rohr::N,管子,tubo
353,Haus::N,房屋,casa
354,Heim::N,家,hogar
355,Ofen::N,炉子,estufa
356,Fußboden::N,地板,suelo
357,Tisch::N,桌子,mesa
358,Stuhl::N,椅子,silla
359,Wiege::N,摇蓝,cuna
360,Bett::N,床,cama
361,Regal::N,架子,estantería
362,Kiste::N,箱子,caja
363,Fenster::N,窗户,ventana
364,Tür::N,门,puerta
365,Tor::N,大门,puerta
366,Zaun::N,篱笆,valla
367,Zaun::N,篱笆,cercado
368,Dach::N,屋顶,techo
369,Dach::N,屋顶,tejado
370,Leiter::N,梯子,escalera
371,Besen::N,扫帚,escoba
372,Spaten::N,铁锹,pala
373,Schaufel::N,铁锹,pala
374,Schaufel::N,铁锹,paleta
375,Gabel::N,叉,tenedor
376,Löffel::N,食匙,cuchara
377,Messer::N,刀,cuchillo
378,Nagel::N,钉子,clavo
379,Netz::N,网,red
380,Haken::N,钩子,gancho
381,Haken::N,钩子,corchete
382,Griff::N,把柄,asa
383,Griff::N,把柄,mango
384,Schloss::N,锁,cerradura
385,Bild::N,图画,imagen
386,Figur::N,人像,figura
387,Puppe::N,娃娃,muñeca
388,Beutel::N,袋子,bolsa
389,Bündel::N,捆,haz
390,Tasche::N,手提包,bolso
391,Eimer::N,桶,cubo
392,Deckel::N,盖子,tapa
393,Deckel::N,盖子,tapadera
394,Geschirr::N,餐具,vajilla
395,Sack::N,袋子,saco
396,Tasse::N,杯子,taza
397,Topf::N,锅,olla
398,Topf::N,锅,marmita
399,Kessel::N,水壶,caldera
400,Essen::N,进餐,comida
401,Nahrung::N,食物,alimento
402,Speise::N,菜肴,plato
403,Fleisch::N,肉,carne
404,Getreide::N,谷物,cereales
405,Brei::N,粥,puré
406,Brei::N,粥,papilla
407,Brot::N,面包,pan
408,Scheibe::N,片,lonja
409,Scheibe::N,片,rebanada
410,Fett::N,脂肪,grasa
411,Butter::N,黄油,mantequilla
412,Öl::N,油,aceite
413,Salz::N,盐,sal
414,Suppe::N,汤,sopa
415,Honig::N,蜂蜜,miel
416,Milch::N,奶,leche
417,Tee::N,茶,té
418,Leder::N,皮革,cuero
419,Wolle::N,毛线,lana
420,Stoff::N,织物,tela
421,Stoff::N,织物,tejido
422,Nadel::N,针,aguja
423,Faden::N,线,hilo
424,Knopf::N,纽扣,botón
425,Knoten::N,结,nudo
426,Farbe::N,颜色,pintura
427,Kleidung::N,衣服,ropa
428,Kleidung::N,衣服,vestidos
429,Hemd::N,衬衫,camisa
430,Kragen::N,领子,cuello
431,Ärmel::N,袖子,manga
432,Hose::N,裤子,pantalón
433,Gürtel::N,腰带,cinturón
434,Mütze::N,帽子,gorro
435,Schuh::N,鞋,zapato
436,Stiefel::N,靴子,bota
437,Ring::N,戒指,anillo
438,Band::N,带子,cinta
439,Kamm::N,梳子,peine
440,Spiegel::N,镜子,espejo
441,Riemen::N,皮带,correa
442,Schnur::N,绳子,cuerda
443,Leine::N,皮带,correa
444,Decke::N,被子,manta
445,Kissen::N,软垫,almohada
446,Tuch::N,巾,pañuelo
447,Handtuch::N,手巾,toalla
448,Kraft::N,力,fuerza
449,Stärke::N,力量,fuerza
450,Gesundheit::N,健康,salud
451,Krankheit::N,病,enfermedad
452,Schmerz::N,痛,dolor
453,Wunde::N,伤口,llaga
454,Wunde::N,伤口,herida
455,Fieber::N,发烧,fiebre
456,Arznei::N,药,medicina
457,Arznei::N,药,medicamento
458,Brücke::N,桥,puente
459,Brunnen::N,井,pozo
460,Weide::N,牧场,pasto
461,Pfad::N,小路,sendero
462,Weg::N,路,camino
463,Straße::N,街,vía
464,Straße::N,街,carretera
465,Dorf::N,村庄,aldea
466,Dorf::N,村庄,pueblo
467,Stadt::N,城市,ciudad
468,Brief::N,信,carta
469,Buch::N,书,libro
470,Buchstabe::N,字母,letra
471,Buchstabe::N,字母,carácter
472,Zeitung::N,报纸,diario
473,Zeitung::N,报纸,periódico
474,Leben::N,生命,vida
475,Tod::N,死亡,muerte
476,Grab::N,坟墓,tumba
477,Grab::N,坟墓,sepulcro
478,Kirche::N,教堂,iglesia
479,Sünde::N,罪,pecado
480,Gott::N,上帝,dios
481,Arbeiter::N,工人,obrero
482,Arbeiter::N,工人,trabajador
483,Chef::N,上司,jefe
484,Meister::N,师傅,maestro
485,Arzt::N,医生,médico
486,Lehrer::N,教师,profesor
487,Geld::N,钱,dinero
488,Geschäft::N,交易,negocio
489,Laden::N,商店,tienda
490,Preis::N,价格,precio
491,Ware::N,商品,mercancía
492,Nutzen::N,好处,provecho
493,Reichtum::N,财富,riqueza
494,Welt::N,世界,mundo
495,Land::N,国家,país
496,Staat::N,国家,Estado
497,König::N,国王,rey
498,Macht::N,权力,poder
499,Macht::N,权力,potencia
500,Grenze::N,边界,frontera
501,Krieg::N,战争,guerra
502,Feind::N,敌人,enemigo
503,Gewalt::N,暴力,violencia
504,Kampf::N,战斗,lucha
505,Kampf::N,战斗,combate
506,Bogen[Waffe]::N,弓,arco
507,Pfeil::N,箭,flecha
508,Gewehr::N,枪,fusil
509,Gewehr::N,枪,escopeta
510,Fehler::N,错误,error
511,Lüge::N,谎话,mentira
512,Schaden::N,损失,daño
513,Unglück::N,不幸,desgracia
514,Schuld::N,过错,culpa
515,Alter::N,年龄,edad
516,Schluss::N,结束,fin
517,Schluss::N,结束,final
518,Zeit::N,时间,tiempo
519,Tag::N,天,día
520,Morgen::N,早晨,mañana
521,Mittag::N,中午,mediodía
522,Abend::N,晚上,noche
523,Nacht::N,夜,noche
524,Woche::N,星期,semana
525,Monat::N,月,mes
526,Jahr::N,年,año
527,Frühling::N,春天,primavera
528,Sommer::N,夏天,verano
529,Herbst::N,秋天,otoño
530,Winter::N,冬天,invierno
531,Januar::N,一月,enero
532,Februar::N,二月,febrero
533,März::N,三月,marzo
534,April::N,四月,abril
535,Mai::N,五月,mayo
536,Juni::N,六月,junio
537,Juli::N,七月,julio
538,August::N,八月,agosto
539,September::N,九月,septiembre
540,Oktober::N,十月,octubre
541,November::N,十一月,noviembre
542,Dezember::N,十二月,diciembre
543,Montag::N,星期一,lunes
544,Dienstag::N,星期二,martes
545,Mittwoch::N,星期三,miércoles
546,Donnerstag::N,星期四,jueves
547,Freitag::N,星期五,viernes
548,Samstag::N,星期六,sábado
549,Sonntag::N,星期日,domingo
550,groß::A,大,grande
551,klein::A,小,pequeño
552,lang::A,长,largo
553,kurz::A,短,corto
554,breit::A,宽,ancho
555,schmal::A,细长的,estrecho
556,dicht::A,密,denso
557,dick[Gegenstand]::A,厚,grueso
558,dünn::A,薄,fino
559,dünn::A,薄,delgado
560,fein::A,细小,fino
561,fein::A,细小,delicado
562,fest::A,固体,firme
563,fest::A,固体,sólido
564,flach::A,平坦,plano
565,glatt::A,光滑,liso
566,hart::A,硬,duro
567,weich::A,软,muelle
568,rund::A,圆,redondo
569,spitz::A,尖,agudo
570,spitz::A,尖,apuntado
571,scharf::A,锋利,agudo
572,scharf::A,锋利,afilado
573,stumpf::A,钝,sin filo
574,schwer::A,重,pesado
575,schön::A,美丽,bello
576,schön::A,美丽,hermoso
577,heiß::A,烫,caluroso
578,warm::A,暖和,cálido
579,warm::A,暖和,caliente
580,kalt::A,冷,frío
581,kühl::A,凉,fresco
582,frisch::A,新鲜,fresco
583,feucht::A,潮湿,húmedo
584,nass::A,湿,mojado
585,trocken::A,干,seco
586,voll::A,满,lleno
587,leer::A,空,vacío
588,offen::A,敞开,abierto
589,geschlossen::A,关闭,cerrado
590,sauber::A,干净,limpio
591,schmutzig::A,肮脏,sucio
592,roh::A,生,crudo
593,reif::A,成熟,maduro
594,lecker::A,好吃,rico
595,lecker::A,好吃,sabroso
596,süß::A,甜,dulce
597,bitter::A,苦,amargo
598,sauer::A,酸,agrio
599,hell::A,亮,claro
600,dunkel::A,阴暗,oscuro
601,schwarz::A,黑,negro
602,weiß::A,白,blanco
603,rot::A,红,rojo
604,gelb::A,黄,amarillo
605,blau::A,蓝,azul
606,grün::A,绿,verde
607,grau::A,灰色,gris
608,bunt::A,五彩,multicolor
609,billig::A,便宜,barato
610,teuer::A,贵,caro
611,wertvoll::A,贵重,valioso
612,wertvoll::A,贵重,precioso
613,blind::A,瞎,ciego
614,taub::A,聋,sordo
615,kräftig::A,强壮,fuerte
616,stark::A,强壮,fuerte
617,stark::A,强壮,vigoroso
618,schwach::A,弱,débil
619,fett::A,胖,obeso
620,schlank::A,苗条,esbelto
621,hübsch::A,漂亮,mono
622,hübsch::A,漂亮,guapo
623,böse::A,邪恶,malo
624,dumm::A,笨,tonto
625,dumm::A,笨,estúpido
626,faul::A,懒惰,vago
627,faul::A,懒惰,perezoso
628,fleißig::A,勤奋,aplicado
629,fleißig::A,勤奋,diligente
630,geizig::A,吝啬,avaro
631,klug::A,聪明,sensato
632,klug::A,聪明,inteligente
633,geschickt::A,灵巧,hábil
634,lieb::A,可爱,querido
635,lustig::A,快乐,alegre
636,sanft::A,柔和,suave
637,hungrig::A,饥饿,hambriento
638,krank::A,患病,enfermo
639,nackt::A,裸体,desnudo
640,traurig::A,悲哀,triste
641,lebendig::A,活,vivo
642,lebendig::A,活,viviente
643,gut::A,好,bueno
644,schlecht::A,坏,malo
645,richtig::A,正确,justo
646,richtig::A,正确,correcto
647,schlimm::A,糟糕,malo
648,schlimm::A,糟糕,grave
649,wahr::A,真,verídico
650,wahr::A,真,verdadero
651,alt::A,旧,viejo
652,neu::A,新,nuevo
653,ehemalig::A,以前,antiguo
654,alt[Lebewesen]::A,老,viejo
655,jung::A,年轻,joven
656,arm::A,贫穷,pobre
657,reich::A,富裕,rico
658,bekannt::A,出名,conocido
659,berühmt::A,著名,famoso
660,berühmt::A,著名,célebre
661,fremd::A,陌生,extraño
662,verschieden::A,不同,diverso
663,verschieden::A,不同,distinto
664,verschieden::A,不同,diferente
665,nah::A,近,cercano
666,fern::A,遥远,lejano
667,linker::A,左,izquierdo
668,rechter::A,右,derecho
669,anderer::A,别的,otro
670,erster::A,第一,primero
671,zweiter::A,第二,segundo
672,dritter::A,第三,tercero
673,letzter::A,最后,último
674,allein::ADV,单独,a solo
675,auf einmal::ADV,同时,de una vez
676,zusammen::ADV,一起,juntos
677,lange::ADV,许久,mucho tiempo
678,plötzlich::ADV,忽然,de repente
679,sofort::ADV,立刻,en seguida
680,später::ADV,以后,más tarde
681,jetzt::ADV,现在,ahora
682,heute::ADV,今天,hoy
683,morgen::ADV,明天,mañana
684,bald::ADV,即将,pronto
685,bald::ADV,即将,en breve
686,dann::ADV,然后,luego
687,dann::ADV,然后,entonces
688,gestern::ADV,昨天,ayer
689,einst::ADV,曾经,antaño
690,damals::ADV,当时,entonces
691,danach::ADV,随后,después
692,vorher::ADV,事先,antes
693,zuerst::ADV,首先,primero
694,einmal::ADV,一次,una vez
695,manchmal::ADV,有时,a veces
696,oft::ADV,时常,a menudo
697,oft::ADV,时常,con frecuencia
698,immer::ADV,总是,siempre
699,niemals::ADV,从未,jamás
700,hier::ADV,这里,aquí
701,hierhin::ADV,到这里,acá
702,von hier::ADV,由此,desde aquí
703,dort::ADV,那里,ahí
704,dort::ADV,那里,allí
705,dorthin::ADV,到那里,allí
706,dorthin::ADV,到那里,hacia allí
707,geradeaus::ADV,一直往前,todo derecho
708,vorwärts::ADV,向前,adelante
709,rückwärts::ADV,向后,hacia atrás
710,zurück::ADV,退后,atrás
711,unten::ADV,下面,abajo
712,hinab::ADV,向下,hacia abajo
713,oben::ADV,上面,arriba
714,hinauf::ADV,向上,hacia arriba
715,überall::ADV,到处,por todas partes
716,nicht::ADV,不,no
717,ein wenig::ADV,一点儿,un poco
718,kaum::ADV,几乎不,apenas
719,sehr::ADV,很,muy
720,sehr::ADV,很,mucho
721,so::ADV,如此,tan
722,noch::ADV,还,aún
723,noch::ADV,还,todavía
724,nur::ADV,只,solamente
725,schon::ADV,已经,ya
726,wieder::ADV,又,de nuevo
727,vor::PRP,在...面前,antes de
728,vor::PRP,在...面前,delante de
729,hinter::PRP,在...背后,tras
730,hinter::PRP,在...背后,detrás de
731,unter::PRP,在...下面,bajo
732,unter::PRP,在...下面,debajo de
733,durch::PRP,穿过,por
734,durch::PRP,穿过,a través de
735,neben::PRP,在...旁,al lado de
736,zwischen::PRP,在...之间,entre
737,wegen::PRP,由于,por
738,wegen::PRP,由于,a causa de
739,dies::PRN,这,esto
740,das::PRN,那,eso
741,das::PRN,那,esto
742,alles::PRN,一切,todo
743,ich::PRN,我,yo
744,du::PRN,你,tú
745,er::PRN,他,él
746,wir::PRN,我们,nosotros
747,ihr::PRN,你们,vosotros
748,sie::PRN,她,ellos
749,was::FPRN,什么,qué
750,wer::FPRN,谁,quién
751,wo::FADV,哪里,dónde
752,wohin::FADV,去哪里,adónde
753,wohin::FADV,去哪里,hacia dónde
754,wie::FADV,怎么,cómo
755,warum::FADV,为什么,por qué
756,wieviel::FNUM,多少,cuánto
757,eins::NUM,一,uno
758,zwei::NUM,二,dos
759,drei::NUM,三,tres
760,vier::NUM,四,cuatro
761,fünf::NUM,五,cinco
762,sechs::NUM,六,seis
763,sieben::NUM,七,siete
764,acht::NUM,八,ocho
765,neun::NUM,九,nueve
766,zehn::NUM,十,diez
767,elf::NUM,十一,once
768,zwölf::NUM,十二,doce
769,zwanzig::NUM,二十,veinte
770,dreißig::NUM,三十,treinta
771,vierzig::NUM,四十,cuarenta
772,fünfzig::NUM,五十,cincuenta
773,sechzig::NUM,六十,sesenta
774,siebzig::NUM,七十,setenta
775,achtzig::NUM,八十,ochenta
776,neunzig::NUM,九十,noventa
777,hundert::NUM,百,cien
778,hundert::NUM,百,ciento
779,tausend::NUM,千,mil
780,und::CNJ,和,y
781,oder::CNJ,或者,o
782,stehen::V,站,estar de pie
783,sitzen::V,坐,estar sentado
784,liegen::V,躺着,yacer
785,liegen::V,躺着,estar acostado
786,hängen::V,挂着,pender
787,werden::V,成为,hacerse
788,passieren::V,发生,suceder
789,beginnen::V,开始,iniciarse
790,beginnen::V,开始,principiar
791,enden::V,终止,acabar
792,enden::V,终止,terminar
793,wechseln::V,变迁,variar
794,wechseln::V,变迁,alternar
795,aufgehen[Sonne]::V,升起,salir
796,untergehen[Sonne]::V,下落,ponerse
797,untergehen[Sonne]::V,下落,descender
798,scheinen[Sonne]::V,照射,brillar
799,donnern::V,打雷,tronar
800,wehen::V,飘扬,soplar
801,strömen::V,流,afluir
802,fließen::V,流动,fluir
803,fließen::V,流动,correr
804,sich drehen::V,转动,girar
805,schwanken::V,摇摆,vacilar
806,schwingen::V,摇,oscilar
807,fallen::V,坠落,caer
808,brennen::V,燃烧,arder
809,brennen::V,燃烧,quemar
810,rauchen::V,冒烟,humear
811,rauchen::V,冒烟,echar humo
812,regnen::V,下雨,llover
813,gefrieren::V,结冰,helarse
814,tauen::V,融化,deshelarse
815,schmelzen::V,溶化,fundirse
816,schmelzen::V,溶化,derretirse
817,trocknen::V,变干,secarse
818,sieden::V,煮,hervir
819,faulen::V,腐烂,pudrirse
820,verfaulen::V,腐烂,pudrirse
821,reißen::V,撕,romperse
822,versinken::V,下沉,hundirse
823,vergehen::V,流逝,pasar
824,erscheinen::V,出现,aparecer
825,verschwinden::V,消失,desaparecer
826,sinken::V,下降,bajar
827,abnehmen::V,减少,decrecer
828,abnehmen::V,减少,disminuir
829,zunehmen::V,增加,crecer
830,zunehmen::V,增加,aumentar
831,steigen::V,上升,subir
832,steigen::V,上升,ascender
833,wachsen::V,生长,crecer
834,glänzen::V,发光,brillar
835,glänzen::V,发光,resplandecer
836,funkeln::V,闪烁,chispear
837,lärmen::V,吵闹,hacer ruido
838,läuten::V,响,sonar
839,läuten::V,响,repicar
840,klingeln::V,按铃,tocar el timbre
841,brausen::V,疾驶,zumbar
842,klingen::V,听起来,sonar
843,bellen::V,吠,ladrar
844,heulen::V,嗥,ulular
845,blasen::V,吹,soplar
846,pfeifen::V,吹口哨,silbar
847,schreien::V,叫喊,gritar
848,stöhnen::V,呻吟,gemir
849,zittern::V,颤抖,temblar
850,leben::V,生存,vivir
851,geboren werden::V,出生,nacer
852,atmen::V,呼吸,respirar
853,trinken::V,喝,beber
854,essen::V,吃,comer
855,schlucken::V,咽,tragar
856,müde werden::V,疲倦,cansarse
857,müde werden::V,疲倦,fatigarse
858,einschlafen::V,入睡,dormirse
859,schlafen::V,睡觉,dormir
860,aufwachen::V,睡醒,despertarse
