,Concept_ID,pt,be
88,Wetter::N,tempo,надворʼе
89,Nebel::N,nevoeiro,туман
90,Wolke::N,nuvem,воблака
91,Regen::N,chuva,дождж
92,Schnee::N,neve,снег
93,Eis::N,gelo,лёд
94,Frost::N,gelo,мароз
95,Frost::N,geada,мароз
96,Kälte::N,frio,холад
97,Hitze::N,ardor,спёка
98,Raureif::N,geada,іней
99,Regenbogen::N,arco-iris,вясёлка
100,Donner::N,trovão,гром
101,Strömung::N,corrente,цячэнне
102,Tropfen::N,gota,кропля
103,Schaum::N,espuma,пена
104,Schmutz::N,sujidade,гразь
105,Schmutz::N,imundície,гразь
106,See::N,lago,возера
107,Sumpf::N,charco,багна
108,Sumpf::N,pântano,багна
109,Moor::N,pântano,балота
110,Wiese::N,prado,луг
111,Wald::N,bosque,лес
112,Wald::N,floresta,лес
113,Hügel::N,colina,узгорак
114,Anhöhe::N,alto,узвышша
115,Anhöhe::N,outeiro,узвышша
116,Berg::N,monte,гара
117,Berg::N,montanha,гара
118,Gipfel::N,pico,вяршыня
119,Höhle::N,caverna,пячора
120,Abhang::N,encosta,схіл
121,Quelle::N,fonte,крыніца
122,Bach::N,regato,ручай
123,Bach::N,ribeiro,ручай
124,Fluss::N,rio,рака
125,Ufer::N,beira,бераг
126,Küste::N,costa,узбярэжжа
127,Festland::N,terra firme,суша
128,Meer::N,mar,мора
129,Bucht::N,baía,бухта
130,Insel::N,ilha,востраў
131,Blume::N,flor,кветка
132,Gras::N,erva,трава
133,Wurzel::N,raiz,корань
134,Baum::N,árvore,дрэва
135,Stamm::N,tronco,ствол
136,Rinde::N,casca,кара
137,Ast::N,ramo,сук
138,Zweig::N,galho,галіна
139,Blatt::N,folha,ліст
140,Birke::N,bétula,бяроза
141,Kiefer[Baum]::N,pinheiro,хвоя
142,Kiefer[Baum]::N,pinheiro,сасна
143,Weide[Baum]::N,salgueiro,вярба
144,Tanne::N,abeto,яліна
145,Horn::N,corno,рог
146,Horn::N,chifre,рог
147,Feder::N,pena,пяро
148,Fell::N,pele,шкура
149,Flügel::N,asa,крыло
150,Klaue::N,pata,кіпцюр
151,Kralle::N,unha,лапа
152,Kralle::N,garra,лапа
153,Schwanz::N,rabo,хвост
154,Schwanz::N,cauda,хвост
155,Ei::N,ovo,яйка
156,Nest::N,ninho,гняздо
157,Bau::N,toca,нара
158,Bau::N,covil,нара
159,Tier::N,animal,жывёла
160,Herde::N,rebanho,статак
161,Kuh::N,vaca,карова
162,Bulle::N,touro,бык
163,Pferd::N,cavalo,конь
164,Schaf::N,ovelha,авечка
165,Schwein::N,porco,свіння
166,Hund::N,cão,сабака
167,Katze::N,gata,кошка
168,Bär::N,urso,мядзведзь
169,Eichhörnchen::N,esquilo,вавёрка
170,Elch::N,alce,лось
171,Fuchs::N,raposa,ліса
172,Hase::N,lebre,заяц
173,Maus::N,rato,мыш
174,Wolf::N,lobo,воўк
175,Vogel::N,ave,птах
176,Vogel::N,ave,птушка
177,Vogel::N,pássaro,птах
178,Vogel::N,pássaro,птушка
179,Schwarm::N,bando,чарада
180,Schwarm::N,enxame,чарада
181,Huhn::N,galinha,курыца
182,Hahn::N,galo,певень
183,Gans::N,ganso,гусь
184,Adler::N,águia,арол
185,Ente::N,pata,качка
186,Eule::N,mocho,сава
187,Eule::N,coruja,сава
188,Kranich::N,grou,жораў
189,Kranich::N,grou,журавель
190,Krähe::N,gralha,варона
191,Kuckuck::N,cuco,зязюля
192,Schwan::N,cisne,лебедзь
193,Fisch::N,peixe,рыба
194,Barsch::N,perca,акунь
195,Hecht::N,lúcio,шчупак
196,Schlange[Tier]::N,serpente,змяя
197,Wurm::N,verme,чарвяк
198,Spinne::N,aranha,павук
199,Ameise::N,formiga,мурашка
200,Laus::N,piolho,вош
201,Mücke::N,mosquito,камар
202,Fliege::N,mosca,муха
203,Schmetterling::N,borboleta,матыль
204,Beere::N,bago,ягада
205,Apfel::N,maçã,яблык
206,Pilz::N,fungo,грыб
207,Pilz::N,cogumelo,грыб
208,Zwiebel::N,cebola,цыбуля
209,Saat::N,sementeira,семя
210,Korn::N,grão,зерне
211,Heu::N,feno,сена
212,Schale::N,casca,шалупінне
213,Grube::N,cova,яма
214,Grube::N,fossa,яма
215,Falle::N,armadilha,пастка
216,Schlinge::N,laço,сіло
217,Spur::N,pista,след
218,Spur::N,vestígio,след
219,Asche::N,cinza,попел
220,Dreck::N,sujidade,бруд
221,Eisen::N,ferro,жалеза
222,Gold::N,ouro,золата
223,Silber::N,prata,сребра
224,Kohle::N,carvão,вугаль
225,Glas::N,vidro,шкло
226,Lehm::N,barro,гліна
227,Lehm::N,argila,гліна
228,Sand::N,areia,пясок
229,Mensch::N,homem,чалавек
230,Mensch::N,pessoa,чалавек
231,Mann::N,homem,мужчына
232,Frau::N,mulher,жанчына
233,Kind::N,filho,дзіця
234,Kind::N,criança,дзіця
235,Junge::N,rapaz,хлопчык
236,Junge::N,menino,хлопчык
237,Mädchen::N,menina,дзяўчынка
238,Mädchen::N,rapariga,дзяўчынка
239,Familie::N,família,сямʼя
240,Großvater::N,avô,дзядуля
241,Großmutter::N,avó,бабуля
242,Eltern::N,pais,бацькі
243,Vater::N,pai,бацька
244,Mutter::N,mãe,маці
245,Sohn::N,filho,сын
246,Tochter::N,filha,дачка
247,Bruder::N,irmão,брат
248,Schwester::N,irmã,сястра
249,Onkel::N,tio,дзядзька
250,Tante::N,tia,цётка
251,Ehemann::N,esposo,муж
252,Ehefrau::N,esposa,жонка
253,Freude::N,prazer,радасць
254,Freude::N,alegria,радасць
255,Gelächter::N,risada,смех
256,Gelächter::N,gargalhada,смех
257,Glück::N,felicidade,шчасце
258,Kummer::N,aflição,гора
259,Kummer::N,desgosto,гора
260,Wunsch::N,desejo,жаданне
261,Lust::N,vontade,цяга
262,Geist::N,mente,дух
263,Geist::N,espírito,дух
264,Gedanke::N,ideia,думка
265,Gedanke::N,pensamento,думка
266,Gedächtnis::N,memória,памяць
267,Verstand::N,razão,розум
268,Verstand::N,inteligência,розум
269,Sinn::N,sentido,сэнс
270,Sinn::N,significado,сэнс
271,Grund::N,causa,зачэпка
272,Grund::N,motivo,зачэпка
273,Wahrheit::N,verdade,праўда
274,Gespräch::N,conversa,размова
275,Gespräch::N,conversação,размова
276,Märchen::N,conto,казка
277,Erzählung::N,conto,расказ
278,Erzählung::N,conto,апавяданне
279,Erzählung::N,narrativa,расказ
280,Erzählung::N,narrativa,апавяданне
281,Nachricht::N,mensagem,вестка
282,Nachricht::N,mensagem,паведамленне
283,Neuigkeit::N,notícia,навіна
284,Neuigkeit::N,novidade,навіна
285,Name::N,nome,імя
286,Rätsel::N,adivinha,загадка
287,Rede::N,oração,прамова
288,Rede::N,discurso,прамова
289,Sprache::N,língua,мова
290,Stimme::N,voz,голас
291,Wort::N,palavra,слова
292,Zeichen::N,marca,знак
293,Ruf::N,grito,кліч
294,Ruf::N,chamada,кліч
295,Lärm::N,ruído,шум
296,Lärm::N,barulho,шум
297,Laut::N,som,гук
298,Ton::N,tom,гучанне
299,Lied::N,canção,песня
300,Ruhe::N,calma,спакой
301,Ruhe::N,silêncio,спакой
302,Leute::N,gente,людзі
303,Leute::N,pessoas,людзі
304,Volk::N,povo,народ
305,Volk::N,nação,народ
306,Arbeit::N,trabalho,праца
307,Arbeit::N,trabalho,работа
308,Gast::N,hóspede,госць
309,Gast::N,convidado,госць
310,Geschenk::N,prenda,падарунак
311,Geschenk::N,presente,падарунак
312,Spiel::N,jogo,гульня
313,Gesellschaft::N,companhia,таварыства
314,Hilfe::N,ajuda,дапамога
315,Hilfe::N,socorro,дапамога
316,Freund::N,amigo,друг
317,Freund::N,amigo,сябар
318,Kamerad::N,camarada,прыяцель
319,Angelegenheit::N,assunto,справа
320,Anzahl::N,número,колькасць
321,Anzahl::N,quantidade,колькасць
322,Art::N,tipo,від
323,Art::N,espécie,від
324,Stück::N,pedaço,кусок
325,Stück::N,pedaço,кавалак
326,Teil::N,peça,частка
327,Teil::N,parte,частка
328,Hälfte::N,metade,палова
329,Hälfte::N,metade,палавіна
330,Kreis::N,círculo,круг
331,Kreuz::N,cruz,крыж
332,Linie::N,linha,лінія
333,Strich::N,traço,рыса
334,Abstand::N,distância,прамежак
335,Entfernung::N,distância,адлегласць
336,Gegend::N,área,мясцовасць
337,Gegend::N,região,мясцовасць
338,Platz::N,lugar,месца
339,Ort::N,sítio,месца
340,Seite::N,lado,бок
341,Mitte::N,meio,сярэдзіна
342,Gegenstand::N,objecto,прадмет
343,Sache::N,coisa,рэч
344,Rand::N,bordo,край
345,Rand::N,margem,край
346,Kante::N,borda,руб
347,Kante::N,borda,кант
348,Kante::N,aresta,руб
349,Kante::N,aresta,кант
350,Ecke::N,esquina,вугал
351,Spitze::N,ponta,кончык
352,Ende::N,cabo,канец
353,Ende::N,extremo,канец
354,Loch::N,furo,дзірка
355,Loch::N,buraco,дзірка
356,Winkel::N,canto,вугал
357,Winkel::N,ângulo,вугал
358,Muster::N,padrão,узор
359,Muster::N,desenho,узор
360,Größe::N,tamanho,памер
361,Länge::N,comprimento,даўжыня
362,Höhe::N,altura,вышыня
363,Höhe::N,altitude,вышыня
364,Gewicht::N,peso,вага
365,Menge::N,quantidade,колькасць
366,Haufen::N,pilha,куча
367,Reihe::N,fila,рад
368,Boot::N,barco,лодка
369,Ruder::N,remo,вясло
370,Schlitten::N,trenó,сані
371,Ski::N,esqui,лыжа
372,Lagerfeuer::N,fogueira,вогнішча
373,Last::N,carga,цяжар
374,Gang::N,curso,ход
375,Gang::N,caminhada,ход
376,Schritt::N,passo,шаг
377,Schritt::N,passo,крок
378,Norden::N,norte,поўнач
379,Süden::N,sul,поўдзень
380,Westen::N,oeste,захад
381,Westen::N,ocidente,захад
382,Osten::N,este,усход
383,Osten::N,leste,усход
384,Osten::N,oriente,усход
385,Holz::N,madeira,дрэва
386,Holz::N,madeira,драўніна
387,Brett::N,tábua,дошка
388,Brett::N,prancha,дошка
389,Platte::N,laje,пліта
390,Platte::N,chapa,пліта
391,Stütze::N,apoio,падпорка
392,Stütze::N,suporte,падпорка
393,Stange::N,vara,жэрдка
394,Stange::N,barra,жэрдка
395,Stock::N,pau,палка
396,Stock::N,bengala,палка
397,Stab::N,bastão,шост
398,Rohr::N,cano,труба
399,Haus::N,casa,дом
400,Heim::N,lar,дом
401,Heim::N,lar,хата
402,Heim::N,casa,дом
403,Heim::N,casa,хата
404,Ofen::N,estufa,печ
405,Ofen::N,aquecedor,печ
406,Fußboden::N,piso,падлога
407,Tisch::N,mesa,стол
408,Stuhl::N,cadeira,стул
409,Stuhl::N,cadeira,крэсла
410,Wiege::N,berço,калыска
411,Bett::N,cama,ложак
412,Bett::N,cama,пасцель
413,Regal::N,estante,паліца
414,Regal::N,prateleira,паліца
415,Kiste::N,caixa,скрынка
416,Fenster::N,janela,акно
417,Tür::N,porta,дзверы
418,Tor::N,portão,вароты
419,Zaun::N,cerca,агароджа
420,Zaun::N,vedação,агароджа
421,Dach::N,telhado,дах
422,Leiter::N,escada,лесвіца
423,Leiter::N,escada móvel,лесвіца
424,Besen::N,vassoura,мятла
425,Spaten::N,pá,лапата
426,Spaten::N,pá,жалязняк
427,Schaufel::N,pá,шуфлік
428,Schaufel::N,pá,лапатка
429,Gabel::N,garfo,відэлец
430,Löffel::N,colher,лыжка
431,Messer::N,faca,нож
432,Nagel::N,cravo,цвік
433,Netz::N,rede,сетка
434,Haken::N,gancho,крук
435,Griff::N,asa,ручка
436,Griff::N,cabo,ручка
437,Schloss::N,fechadura,замок
438,Bild::N,imagem,карціна
439,Figur::N,figura,фігура
440,Puppe::N,boneca,лялька
441,Beutel::N,saco,мяшок
442,Beutel::N,bolsa,мяшок
443,Bündel::N,fardo,вязка
444,Tasche::N,saco,торба
445,Tasche::N,bolso,торба
446,Eimer::N,balde,вядро
447,Deckel::N,tampa,накрыўка
448,Geschirr::N,louça,пасуда
449,Sack::N,saca,мех
450,Tasse::N,chávena,кубак
451,Topf::N,tacho,каструля
452,Topf::N,panela,каструля
453,Kessel::N,caldeira,кацёл
454,Essen::N,refeição,ежа
455,Nahrung::N,comida,харч
456,Nahrung::N,alimento,харч
457,Speise::N,prato,страва
458,Fleisch::N,carne,мяса
459,Getreide::N,cereais,збожжа
460,Brei::N,puré,каша
461,Brot::N,pão,хлеб
462,Scheibe::N,fatia,луста
463,Scheibe::N,fatia,скібка
464,Fett::N,banha,тлушч
465,Fett::N,gordura,тлушч
466,Butter::N,manteiga,масла
467,Öl::N,azeite,алей
468,Salz::N,sal,соль
469,Suppe::N,sopa,суп
470,Suppe::N,caldo,суп
471,Honig::N,mel,мёд
472,Milch::N,leite,малако
473,Tee::N,chá,чай
474,Tee::N,chá,гарбата
475,Leder::N,couro,скура
476,Wolle::N,lã,воўна
477,Stoff::N,pano,тканіна
478,Stoff::N,tecido,тканіна
479,Nadel::N,agulha,іголка
480,Faden::N,fio,нітка
481,Knopf::N,botão,гузік
482,Knoten::N,nó,вузел
483,Farbe::N,corante,фарба
484,Kleidung::N,roupa,адзенне
485,Kleidung::N,vestuário,адзенне
486,Hemd::N,camisa,кашуля
487,Kragen::N,gola,каўнер
488,Ärmel::N,manga,рукаў
489,Hose::N,calça,штаны
490,Gürtel::N,cinto,пояс
491,Mütze::N,boné,шапка
492,Mütze::N,barrete,шапка
493,Schuh::N,sapato,чаравік
494,Stiefel::N,bota,бот
495,Ring::N,anel,кольца
496,Band::N,fita,стужка
497,Band::N,faixa,стужка
498,Kamm::N,pente,расчоска
499,Spiegel::N,espelho,люстра
500,Riemen::N,correia,рэмень
501,Schnur::N,corda,вяроўка
502,Schnur::N,cordel,вяроўка
503,Leine::N,trela,павадок
504,Decke::N,cobertor,коўдра
505,Kissen::N,almofada,падушка
506,Tuch::N,pano,хустка
507,Handtuch::N,toalha,ручнік
508,Kraft::N,força,сіла
509,Stärke::N,força,моц
510,Gesundheit::N,saúde,здароўе
511,Krankheit::N,doença,хвароба
512,Krankheit::N,enfermidade,хвароба
513,Schmerz::N,dor,боль
514,Wunde::N,chaga,рана
515,Wunde::N,ferida,рана
516,Fieber::N,febre,гарачка
517,Fieber::N,febre,ліхаманка
518,Arznei::N,remédio,лекі
519,Brücke::N,ponte,мост
520,Brunnen::N,poço,калодзеж
521,Weide::N,pastagem,паша
522,Pfad::N,senda,сцежка
523,Pfad::N,trilho,сцежка
524,Weg::N,caminho,шлях
525,Weg::N,caminho,дарога
526,Straße::N,via,вуліца
527,Straße::N,estrada,вуліца
528,Dorf::N,aldeia,вёска
529,Stadt::N,cidade,горад
530,Brief::N,carta,ліст
531,Brief::N,carta,пісьмо
532,Buch::N,livro,кніга
533,Buchstabe::N,letra,літара
534,Zeitung::N,jornal,газета
535,Leben::N,vida,жыццё
536,Tod::N,morte,смерць
537,Grab::N,túmulo,магіла
538,Grab::N,sepultura,магіла
539,Kirche::N,igreja,касцёл
540,Kirche::N,igreja,царква
541,Sünde::N,pecado,грэх
542,Gott::N,deus,бог
543,Arbeiter::N,operário,рабочы
544,Arbeiter::N,trabalhador,рабочы
545,Chef::N,chefe,начальнік
546,Chef::N,patrão,начальнік
547,Meister::N,mestre,майстар
548,Arzt::N,médico,урач
549,Lehrer::N,professor,настаўнік
550,Geld::N,dinheiro,грошы
551,Geschäft::N,negócio,заняцце
552,Laden::N,loja,крама
553,Laden::N,loja,магазін
554,Preis::N,preço,цана
555,Ware::N,mercadoria,тавар
556,Nutzen::N,proveito,выгада
557,Reichtum::N,riqueza,багацце
558,Welt::N,mundo,свет
559,Land::N,país,краіна
560,Staat::N,Estado,дзяржава
561,König::N,rei,кароль
562,Macht::N,poder,улада
563,Macht::N,potência,улада
564,Grenze::N,fronteira,граніца
565,Krieg::N,guerra,вайна
566,Feind::N,inimigo,вораг
567,Gewalt::N,violência,насілле
568,Kampf::N,luta,барацьба
569,Kampf::N,combate,барацьба
570,Bogen[Waffe]::N,arco,лук
571,Pfeil::N,seta,страла
572,Pfeil::N,flecha,страла
573,Gewehr::N,espingarda,ружжо
574,Fehler::N,erro,памылка
575,Fehler::N,falha,памылка
576,Lüge::N,mentira,хлусня
577,Schaden::N,dano,шкода
578,Schaden::N,estrago,шкода
579,Unglück::N,desgraça,ліха
580,Unglück::N,desgraça,бядота
581,Schuld::N,culpa,віна
582,Alter::N,idade,узрост
583,Schluss::N,fim,канец
584,Zeit::N,tempo,час
585,Tag::N,dia,дзень
586,Morgen::N,manhã,ранак
587,Morgen::N,manhã,раніца
588,Mittag::N,meio-dia,паўдня
589,Mittag::N,meio-dia,поўдзень
590,Abend::N,noite,вечар
591,Abend::N,tardinha,вечар
592,Nacht::N,noite,ноч
593,Woche::N,semana,тыдзень
594,Monat::N,mês,месяц
595,Jahr::N,ano,год
596,Frühling::N,primavera,вясна
597,Sommer::N,verão,лета
598,Herbst::N,outono,восень
599,Winter::N,inverno,зіма
600,Januar::N,Janeiro,студзень
601,Februar::N,Fevereiro,люты
602,März::N,Março,сакавік
603,April::N,Abril,красавік
604,Mai::N,Maio,май
605,Mai::N,Maio,травень
606,Juni::N,Junho,чэрвень
607,Juli::N,Julho,ліпень
608,August::N,Agosto,жнівень
609,September::N,Setembro,верасень
610,Oktober::N,Outubro,кастрычнік
611,November::N,Novembro,лістапад
612,Dezember::N,Dezembro,снежань
613,Montag::N,segunda-feira,панядзелак
614,Dienstag::N,terça-feira,аўторак
615,Mittwoch::N,quarta-feira,серада
616,Donnerstag::N,quinta-feira,чацвер
617,Freitag::N,sexta-feira,пятніца
618,Samstag::N,sábado,субота
619,Sonntag::N,domingo,нядзеля
620,groß::A,grande,вялікі
621,klein::A,pequeno,маленькі
622,lang::A,comprido,доўгі
623,kurz::A,curto,кароткі
624,breit::A,largo,шырокі
625,schmal::A,estreito,вузкі
626,dicht::A,denso,густы
627,dick[Gegenstand]::A,grosso,тоўсты
628,dünn::A,delgado,тонкі
629,fein::A,fino,тонкі
630,fein::A,subtil,тонкі
631,fest::A,firme,моцны
632,fest::A,sólido,моцны
633,flach::A,plano,плоскі
634,glatt::A,liso,гладкі
635,hart::A,duro,цвёрды
636,weich::A,mole,мяккі
637,rund::A,redondo,круглы
638,spitz::A,agudo,спічасты
639,spitz::A,agudo,востраканцовы
640,scharf::A,afiado,востры
641,stumpf::A,rombo,тупы
642,schwer::A,pesado,цяжкі
643,schön::A,belo,прыгожы
644,schön::A,bonito,прыгожы
645,heiß::A,quente,гарачы
646,warm::A,quente,цёплы
647,kalt::A,frio,холадны
648,kühl::A,fresco,халаднаваты
649,frisch::A,fresco,свежы
650,feucht::A,húmido,вільготны
651,nass::A,molhado,мокры
652,trocken::A,seco,сухі
653,voll::A,cheio,поўны
654,leer::A,vazio,пусты
655,offen::A,aberto,адкрыты
656,offen::A,aberto,адчынены
657,geschlossen::A,fechado,закрыты
658,geschlossen::A,fechado,зачынены
659,sauber::A,limpo,чысты
660,schmutzig::A,sujo,брудны
661,roh::A,cru,сыры
662,reif::A,maduro,спелы
663,lecker::A,delicioso,смачны
664,süß::A,doce,салодкі
665,bitter::A,amargo,горкі
666,sauer::A,azedo,кіслы
667,hell::A,claro,светлы
668,dunkel::A,escuro,цёмны
669,dunkel::A,sombrio,цёмны
670,schwarz::A,preto,чорны
671,weiß::A,branco,белы
672,rot::A,vermelho,чырвоны
673,gelb::A,amarelo,жоўты
674,blau::A,azul,сіні
675,grün::A,verde,зялёны
676,grau::A,cinzento,шэры
677,bunt::A,colorido,пяресты
678,billig::A,barato,танны
679,teuer::A,caro,дарагі
680,wertvoll::A,valioso,цэнны
681,wertvoll::A,valioso,каштоўны
682,wertvoll::A,precioso,цэнны
683,wertvoll::A,precioso,каштоўны
684,blind::A,cego,сляпы
685,taub::A,surdo,глухі
686,kräftig::A,forte,магутны
687,kräftig::A,poderoso,магутны
688,stark::A,forte,сільны
689,stark::A,robusto,сільны
690,schwach::A,débil,слабы
691,fett::A,gordo,тлусты
692,schlank::A,esbelto,стройны
693,hübsch::A,giro,чароўны
694,hübsch::A,bonito,чароўны
695,böse::A,mau,злы
696,dumm::A,parvo,дурны
697,dumm::A,estúpido,дурны
698,faul::A,preguiçoso,лянівы
699,fleißig::A,aplicado,руплівы
700,fleißig::A,diligente,руплівы
701,geizig::A,avarento,прагны
702,klug::A,prudente,разумны
703,klug::A,inteligente,разумны
704,geschickt::A,hábil,умелы
705,lieb::A,caro,мілы
706,lieb::A,querido,мілы
707,lustig::A,alegre,вясёлы
708,sanft::A,suave,ласкавы
709,sanft::A,brando,ласкавы
710,hungrig::A,faminto,галодны
711,krank::A,doente,хворы
712,krank::A,enfermo,хворы
713,nackt::A,nu,голы
714,nackt::A,despido,голы
715,traurig::A,triste,сумны
716,lebendig::A,vivo,жывы
717,gut::A,bom,добры
718,schlecht::A,mau,кепскі
719,schlecht::A,ruim,кепскі
720,richtig::A,justo,правільны
721,richtig::A,correcto,правільны
722,schlimm::A,mau,агідны
723,schlimm::A,grave,агідны
724,wahr::A,verdadeiro,сапраўдны
725,alt::A,velho,стары
726,alt::A,antigo,стары
727,neu::A,novo,новы
728,ehemalig::A,antigo,былы
729,alt[Lebewesen]::A,velho,стары
730,jung::A,jovem,малады
731,arm::A,pobre,бедны
732,reich::A,rico,багаты
733,bekannt::A,conhecido,знаёмы
734,berühmt::A,famoso,славуты
735,berühmt::A,célebre,славуты
736,fremd::A,alheio,чужы
737,fremd::A,estranho,чужы
738,verschieden::A,diverso,розны
739,verschieden::A,diferente,розны
740,nah::A,próximo,блізкі
741,fern::A,remoto,далёкі
742,fern::A,distante,далёкі
743,linker::A,esquerdo,левы
744,rechter::A,direito,правы
745,anderer::A,outro,іншы
746,anderer::A,outro,другі
747,erster::A,primeiro,першы
748,zweiter::A,segundo,другі
749,dritter::A,terceiro,трэці
750,letzter::A,final,апошні
751,letzter::A,último,апошні
752,allein::ADV,só,сам
753,allein::ADV,só,адзін
754,auf einmal::ADV,de vez,адразу
755,zusammen::ADV,juntos,разам
756,lange::ADV,muito tempo,доўга
757,plötzlich::ADV,de repente,раптам
758,sofort::ADV,imediatamente,зараз
759,später::ADV,mais tarde,пазней
760,jetzt::ADV,agora,цяпер
761,heute::ADV,hoje,сёння
762,morgen::ADV,amanhã,заўтра
763,bald::ADV,logo,хутка
764,bald::ADV,logo,неўзабаве
765,bald::ADV,breve,хутка
766,bald::ADV,breve,неўзабаве
767,dann::ADV,então,потым
768,dann::ADV,depois,потым
769,gestern::ADV,ontem,учора
770,einst::ADV,antigamente,аднойчы
771,damals::ADV,então,тады
772,danach::ADV,logo,затым
773,danach::ADV,depois,затым
774,vorher::ADV,antes,раней
775,zuerst::ADV,primeiro,спярша
776,zuerst::ADV,primeiro,спачатку
777,einmal::ADV,uma vez,адзін раз
778,manchmal::ADV,às vezes,часам
779,oft::ADV,muitas vezes,часта
780,immer::ADV,sempre,заўсёды
781,niemals::ADV,nunca,ніколі
782,hier::ADV,cá,тут
783,hier::ADV,aqui,тут
784,hierhin::ADV,para cá,сюды
785,von hier::ADV,daqui,адсюль
786,von hier::ADV,daqui,адгэтуль
787,dort::ADV,lá,там
788,dort::ADV,ali,там
789,dorthin::ADV,lá,туды
790,dorthin::ADV,para lá,туды
791,geradeaus::ADV,em frente,прама
792,vorwärts::ADV,avante,наперад
793,rückwärts::ADV,para trás,назад
794,zurück::ADV,atrás,назад
795,unten::ADV,debaixo,унізе
796,unten::ADV,em baixo,унізе
797,hinab::ADV,para baixo,уніз
798,oben::ADV,em cima,угары
799,oben::ADV,em cima,наверсе
800,hinauf::ADV,para cima,угару
801,überall::ADV,em toda parte,усюды
802,nicht::ADV,não,не
803,ein wenig::ADV,um pouco,трошкі
804,ein wenig::ADV,um bocado,трошкі
805,kaum::ADV,apenas,ледзьве
806,sehr::ADV,muito,вельмі
807,so::ADV,tão,так
808,so::ADV,assim,так
809,noch::ADV,ainda,яшчэ
810,nur::ADV,só,толькі
811,nur::ADV,apenas,толькі
812,nur::ADV,somente,толькі
813,schon::ADV,já,ужо
814,wieder::ADV,outra vez,зноў
815,vergebens::ADV,em vão,дарма
816,vergebens::ADV,em vão,дарэмна
817,vor::PRP,diante de,перад
818,hinter::PRP,atrás de,за
819,hinter::PRP,atrás de,ззаду
820,unter::PRP,sob,пад
821,unter::PRP,debaixo de,пад
822,durch::PRP,por,праз
823,durch::PRP,através de,праз
824,neben::PRP,junto de,каля
825,neben::PRP,ao lado de,каля
826,zwischen::PRP,entre,між
827,zwischen::PRP,entre,паміж
828,wegen::PRP,por,з-за
829,wegen::PRP,por causa de,з-за
830,dies::PRN,isto,гэта
831,das::PRN,isso,тое
832,das::PRN,aquilo,тое
833,alles::PRN,todo,усё
834,ich::PRN,eu,я
835,du::PRN,tu,ты
836,er::PRN,ele,ён
837,wir::PRN,nós,мы
838,ihr::PRN,vós,вы
